System,Setting,Bucket,Theme,Tweet,anno_1,anno_2,Agree,tiebreak_1,tiebreak_2,,,,,,,,
Fang,Async,0-25,IndigenousAndBlackAdvocacy,"#BREAKING: Speaker Announcement! Joining us at CCR Convention 2021... Ambassador Richard Grenell! 🔥 

Amb. Grenell served as Ambassador to Germany and Acting Director of National Intelligence during the Trump Administration. He has been an advocate for many of the Trump admin policies, the MAGA movement, and the need to oust Governor Gavin Newsom! We look forward to him joining us on July 10th. 🇺🇸 Tickets (public can watch on zoom!) 👉 cacollegegop.com/convention

For more background on Ambassador Grenell:

Richard A. Grenell was confirmed by the United States Senate as United States Ambassador to Germany on April 26, 2018 and served until May of 2020. Grenell was appointed Presidential Envoy for Kosovo-Serbia Negotiations in 2019, and as Acting Director of National Intelligence in 2020. Grenell also led the U.S. government’s initiative to Decriminalize Homosexuality in more than 70 countries around the world. 
 
Grenell started his tenure in Berlin by successfully negotiating with German businesses to sever their ties with the Islamic Regime in Iran and getting the German government to accept the return of former Nazi prison guard Jakiw Palij. He also successfully pressured the German government to increase its defense spending, ban Hezbollah in Germany, and shut down the North Korean Youth Hostel in Berlin. Grenell also focused on stopping the Nord Stream 2 Russian gas pipeline, combating anti-Semitism, and growing German companies’ investment in the U.S.     
 
As Acting Director of National Intelligence, Grenell streamlined the intelligence community, implemented $19 million in budget savings, and declassified documents related to the Russian investigation that had been previously unreleased.  
 
Grenell was the longest-serving U.S. Spokesman at the U.N. serving from 2001 to 2008 and advising four U.S. Ambassadors.  In 2004, he was appointed as Alternative Representative to the U.N. Security Council with full voting rights and privileges.   
 
He has served as the primary communications adviser for public officials at the local, state, federal, and international levels.  In 2012, he briefly served as National Security and Foreign Affairs Spokesman for Presidential Candidate Mitt Romney, making him the first openly gay spokesman for a Republican Presidential candidate. Grenell is also the first openly gay U.S. Government Cabinet official. 
 
Grenell previously taught at the University of Southern California's Annenberg School of Communications and is currently a Fellow at Carnegie Mellon University. He received his Master's Degree in Public Administration from Harvard University's John F. Kennedy School of Management and his Bachelor's Degree in Government and Public Administration from Evangel University.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,PassBidenAct,Rep. O’Halleran: Investing in clean energy can help tribal communities build back better.,0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiOilPolitician,"Katlyn Mullins is a Mining Engineering student set to graduate from the University of Kentucky in May 2022. She would like to pursue a career within the mining industry, specializing in production. Katlyn is a recipient of the Friends of Coal Scholarship, which has allowed her to pay for classes and housing. When you purchase a Friends of Coal license plate, you are supporting students like Katlyn.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiPropertyTax,"Residents of Franklin County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,ProUSOilIndustry,"After postponing last year’s show – the first disruption since World War II – because of the COVID-19 pandemic, the Permian Basin International Oil Show will open its gates Oct. 19-21.

https://www.mrt.com/oilreport_specialedition/article/Oil-Show-organizers-ready-welcome-back-industry-16543654.php. ",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,ProtectRivers,"Your legislator, Representative Alec Garnett, was a champion for Colorado’s rivers this legislative session! That means a stronger economy, better resiliency in the face of climate change, and restoring our rivers. Show your support for our rivers by signing our card today!",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,TPUSAAd,"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses what the Milwaukee DA said about the Christmas parade murderer, China plans to establish a Naval Base in the Atlantic Ocean, the White House urges Ukraine defense amid Hunter Biden and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Morgan Zegers and GETTR Senior VP of Marketing and Global Engagement, Kaelan Dorr who will talk about social media and free speech, big tech collusion, Beijing Olympics and more!

Freedom Papers host Morgan Zegers covers Federalist 8, detailing Alexander Hamilton's continued warning & advice on how best to prevent conflict between states, why and how a union exists & the consequences that hostility can bring.

We will wrap up the show with POPlitics with Alex Clark as she dives into the shocking CIA cover-up, footage of pro-abortion activists outside The Supreme Court, 'Freak of the Week' and more!",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,EVCharging,"As we enter the summer season, we think of heat, hotdogs and hurricane season. Now is the time to start gearing up for hurricane season. Click here to learn more about how you can get #HurricaneReady: https://gov.texas.gov/hurricane.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,OilTheft,"New regulation was recently passed, by the Arizona Corporation Commission, limiting access to solar!

While this is unwelcome news for SunSolar Solutions, and homeowners, there’s still time for most Arizona homeowners to receive their solar estimates, without any hassle!

Unfortunately, information has not yet been released to the public regarding how close 85383 is to reaching its limit, and it could be reached at any time.
 
So don’t miss out! Join over 7,000 of your neighbors that have requested estimates, from SunSolar Solutions, by clicking “Get Quote” today!",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,pro-2A,"🚨 Sign this petition to tell Nancy Pelosi and Rita Hart for Iowa  to stop their attempt to steal #IA02!

This attempt to overturn a certified election is desperate and should be called out for what it is - a partisan power grab.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,donations for climate change,Take action now and oppose higher fuel prices!,0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,solar energy,"Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget. And Mainers like you would be stuck with the bill.

Click the link to take our poll: https://bit.ly/34w9wFZ. ",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,advocating for city level politics,"IS PORTSMOUTH READY FOR ITS FIRST WEEK OF 110-DEGREE DAYS?

We doubt it, but we should be. It’s just a question of when it will happen. We believe addressing climate change should be regarded as an emergency and be a top priority for the next and future councils. And there ARE things we can do as both individuals and a community.

Meanwhile:

This week, Councilors Cliff Lazenby and John Tabor for Portsmouth City Council spearheaded the creation of the Portsmouth Energy Advisory Committee. 

Our Sustainable Practices Blue Ribbon Committee is presenting Project Drawdown in the coming weeks to help citizens understand how they can get involved in what needs to be a community-wide effort.

Councilor Lazenby has spearheaded the city’s interest in https://www.cpcnh.org/, a very exciting new development for communities to increase their own production of renewable energy.

https://oneride.peopleforbikes.org/learn-more. ",0,1,FALSE,1,,,,,,,,,
Fang,Async,0-25,political activism to oppose climate change,"Questions on the May 18 Primary Election Ballot - PLEASE SHARE

When Pennsylvania voters head to the polls on Tuesday, May 18, for the primary election, they will find three questions on the ballot regarding amendments to the state Constitution and one referendum. The first two constitutional questions deal with disaster emergency declarations while the third addresses racial equality. The ballot referendum asks about allowing municipal fire and EMS companies to share access to the existing Fire and Emergency Services Loan Fund with volunteer companies. 

Why Are These Questions Important? 

For more than a year, Pennsylvania has been operating under two long-term disaster emergency declarations imposed by Gov. Tom Wolf. One declaration is related to the opioid epidemic and has been in place for more than three years, while the other was ordered in March 2020 at the start of the pandemic. The governor renewed the COVID-19 declaration for a fourth time in February. 

On Tuesday, May 18, voters will have a say in the duration of future disaster emergency declarations under legislation approved by the General Assembly. Senate Bill 2 proposes to amend the state Constitution regarding disaster declarations in two ways: limiting emergency declarations by a governor to a maximum of 21 days without legislative approval and clarifying that a concurrent resolution terminating or extending a disaster emergency declaration need not be presented to the governor for his signature. 

House Republicans unanimously supported Senate Bill 2 because we believe your voice should be represented at all times, including during states of emergency. Executive powers to declare emergencies are sometimes needed to free up resources for an immediate response to situations such as natural disasters. Disaster emergencies should not be used to circumvent the state Constitution, the separation of powers or – most importantly – the will of the people. 

We voted “yes” because we believe these constitutional amendments would restore the checks and balances that our government was built upon and give power back to the people who elect us to represent their interests. We have given you the choice to determine how you’d like to see disaster declarations handled in the future. 

What You’ll See on the Ballot 

The questions will appear on the May 18 ballot as follows. Voters need to be aware questions one and two were written by the governor’s Department of State using language that is far from impartial. 

Ballot Question #1 

Shall the Pennsylvania Constitution be amended to change existing law and increase the power of the General Assembly to unilaterally terminate or extend a disaster emergency declaration – and the powers of Commonwealth agencies to address the disaster regardless of its severity pursuant to that declaration – through passing a concurrent resolution by simple majority, thereby removing the existing check and balance of presenting a resolution to the Governor for approval or disapproval? 

>> Context for Ballot Question #1 

This proposed amendment comes in response to the governor’s veto of House Resolution 836 of 2020, which would have put an end to the COVID-19 disaster declaration and the governor’s unilateral authority to handle it. While state law authorizes the General Assembly to end disaster declarations with a resolution, the governor insisted – and the court agreed – that resolution was subject to his approval or veto. Under this constitutional amendment, a concurrent resolution terminating or extending a disaster emergency declaration need not be presented to the governor for his signature. 

Ballot Question #2 

Shall the Pennsylvania Constitution be amended to change existing law so that: a disaster emergency declaration will expire automatically after 21 days, regardless of the severity of the emergency, unless the General Assembly takes action to extend the disaster emergency; the Governor may not declare a new disaster emergency to respond to the dangers facing the Commonwealth unless the General Assembly passes a concurrent resolution; the General Assembly enacts new laws for disaster management? 

>> Context for Ballot Question #2 

This proposed amendment comes in response to the TWO extended disaster emergency declarations under which we are currently operating. Under this constitutional amendment, disaster declarations would be limited to no more than 21 days, allowing time for the General Assembly to be called into session and meet possible emergency needs. If a governor believes the declaration should last longer, he or she would have to gain approval of the General Assembly by sharing information and data to prove the need for extending the declaration. Under current law, a governor can declare a disaster emergency for a period of up to 90 days and can renew it as often as he or she likes. 

Several newspapers across the state have written the following editorials on the first two ballot questions. Here are two samples: 

Scranton Times-Tribune – Clarify ballot questions 

Williamsport Sun-Gazette – Fair wording needed for state ballot questions 

Ballot Question #3 (this question is unrelated to emergency declarations)

Shall the Pennsylvania Constitution be amended by adding a new section providing that equality of rights under the law shall not be denied or abridged because of an individual’s race or ethnicity? 

>> Context for Ballot Question #3

If approved by the voters, this amendment would add a new section to Article I of the Pennsylvania Constitution creating a constitutional prohibition against restricting or denying an individual’s equal rights under Pennsylvania law because of race or ethnicity.

Ballot Question #4 (this referendum question is unrelated to emergency declarations)

Do you favor expanding the use of the indebtedness authorized under the referendum for loans to volunteer fire companies, volunteer ambulance services and volunteer rescue squads under 35 pa.c.s. § 7378.1 (relating to referendum for additional indebtedness) to include loans to municipal fire departments or companies that provide services through paid personnel and emergency medical services companies for the purpose of establishing and modernizing facilities to house apparatus equipment, ambulances and rescue vehicles, protective and communications equipment and any other accessory equipment necessary for the proper performance of the duties of the fire companies and emergency medical services companies?

 
>> Context for Ballot Question #4

To strengthen fire and EMS services in Pennsylvania, the General Assembly passed House Bill 1673, which became Act 91 of 2020. The bill contained key provisions including improvements to grant and loan programs for fire companies, new measures to support recruitment and retention of fire personnel and a ballot question to expand the existing “Emergency Services Loan Assistance Fund” to include municipal fire departments. 
 

Who Can Vote on These Ballot Questions? 

All voters will have the opportunity to be heard on these issues at the May 18 primary election. If you are registered as an independent or other third party not typically eligible to vote in the primary election, you are entitled and encouraged to vote on these questions. 

Amending the Constitution is a process reserved entirely for the people of Pennsylvania, not the partisan interests of the governor’s administration. Every amendment to the Pennsylvania Constitution since 1790 has been put before the people for their approval. It is in your hands to determine how your government should function. 

pahousegop.com/voiceofthepeople is the source for this helpful guide.",0,1,FALSE,1,,,,,,,,,
Fang,Async,0-25,criticism of liberal tax policy,Sen. Santarsiero voted to support PA’s participation in a program that would limit pollution and boost economic recovery!,0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,indigenous climate justice,"Weekly Video Outreach by Chairwoman with a conservative lens, The opinions expressed are her own.  This week the sister Socialism & her brother Communism. There are some spots that pause but stay to the end.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,promoting legislation against climate change,Rep. Kim wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.,0,1,FALSE,1,,,,,,,,,
Fang,Async,0-25,pros of wind and solar energy,"The Brennan Center in 2016 found that gerrymandering in Michigan, Ohio and Pennsylvania alone was responsible for giving Republicans an additional 16 to 17 more seats in the House than they would have had with fair maps.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,criticism for disfavoring US ONG production,"Join us for an interview with Clay Sell, CEO of X-energy. 

He has a deep professional background across many sectors of the U.S. and international energy industry developed during his service in senior level positions in the private sector and government.

Clay completed a 14-year run in government as Deputy Secretary of Energy in the George W. Bush Administration from 2005-2008.

This interview is part of our interview series for Nuclear Science Week!",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,kudos for confronting ONG emissions,"The San Juan College School of Energy continues developing new programs to train students for new jobs in natural gas production, and is seeking state grants that were established to train workers transitioning away from jobs in another, dying fossil fuel industry — coal.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,IndigenousAndBlackAdvocacy,Weekly video outreach with the Chairwoman. The views expressed are her own with a conservative lens. This week we talk about States' Rights.,0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,access to water and promoting renewable energy,Senator John Hickenlooper & Senator Michael Bennet: Investing in clean energy is investing in Colorado jobs.,1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,discussing problems with school board,"Residents of Chittenden County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,promoting news and oped program,"🇺🇸  🇮🇱 Inspired by Scripture (Gen 49 & Deut 33)
Zion Oil & Gas, Inc. (OTCQX: ZNOG) envisions an Israel that is energy independent from onshore oil and gas finds that have been Biblically promised to Israel.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,BidenPolicies,Thanks to Joe Biden gas costs over $1 more than it did a year ago.,1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,SaveEnvironment,"Monthly Discussion: “UNITING FOR WORKPLACE PARITY”: How can Employers and Legislators Create Change Together? 
Panelists: CA Assemblymember Dr. Akilah Weber, Former U.S. House Rep Susan Davis, City of Encinitas Mayor Catherine Blakespear, President at Responsible Solutions Lani Lutar. ",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiLiberalElectionCandidates,Manhattan District Attorney Alvin Bragg is REFUSING to enforce the law. He’s siding with criminals over everyday New Yorkers by downgrading felonies and refusing to prosecute many crimes altogether. Governor Hochul has the power to FIRE DA Bragg for refusing to do his job. Tell her to FIRE him NOW and protect New York families by going to FireAlvinBragg.com.,0,1,FALSE,0,,,,,,,,,
Fang,Async,0-25,RisingEnergyCost,"Eligible DC residents can save hundreds of dollars on electricity, gas, and water bills through an assistance program.",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,ProRenewableEnergy,"Mountaineer Minute is back with a new season.  We kick off this episode with State Director Jason Huffman, Casey Mattox VP of Legal and Judical Strategy, and Ted Ellis Director of Coalitions for AFP's Federal Goverment Affairs team, as they discuss why Senator Manchin is right to not end the filibuster in the US Senate. To learn more visit: WVvalues.org.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,PoliticalLeadershipTraining,"Richmond VA
Political Leadership School

Click here to register

https://www.facl-training.org/schools/events/richmond-va-pls-02oct2021

– How YOU can become effective in politics and make the politicians do what YOU want

STARTS ON Saturday, October 2nd, 2021 - 9:00 AM

Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics..

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, October 2nd, 2021 in Richmond, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,BioFuelTheft,"Yesterday on August 19, one of our drivers reported #oiltheft at Chute Gates in Terryville, CT, where thieves had broken into this Buffalo Biodiesel vat, cutting off the lock to rob it. We recycle used fryer oil to make sustainable biofuel, but it’s being targeted by interstate organized crime rings. Please report any info to the Plymouth Police Department. 
The Register Citizen Republican American News 12 Connecticut NBC Connecticut WFSB - Channel 3 Eyewitness News Connecticut Public Hartford Courant Record Journal Hour Newsroom. ",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,ProUSOil,"Trial lawyers are working to cripple LA oil & gas, which will destroy our working coast.",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,MinorityGroupWomenAdvocacy,"Fairbanks members, don't forget to register for next week's chapter luncheon! Oil Search President Joe Balash will join us at the Westmark Hotel on Wednesday, 12/1, from noon to 1 p.m. for an update on the company's 2021/2022 season. Visit our website to register.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,DonationsForProRiverPoliticians,"Your legislator, Representative Dylan Roberts, was a champion for Colorado’s rivers this legislative session! That means a stronger economy, better resiliency in the face of climate change, and protecting our agricultural heritage. Show your support for our rivers by signing our card today!",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,SupportForBuildBackBetterAct,"The transportation sector is the largest contributor of greenhouse gas emissions in the U.S. We MUST invest in electric vehicles to tackle the climate crisis. 

Luckily, Sen. Brown is fighting for strong provisions to advance electric vehicles while supporting union jobs in the budget reconciliation package. Let’s get this done!",0,1,FALSE,1,,,,,,,,,
Fang,Async,0-25,WaterPollutionAndContamination,Lake Mead provides water for 25 million people. Its water level has dropped 140 feet since 2000.,0,1,FALSE,0,,,,,,,,,
Fang,Async,0-25,ProCleanEnergyPolitician,"Meet Dagan Rash, a mining engineering student at UK! Thanks to people like you purchasing our license plate, he has been able to receive the Friends of Coal Scholarship. 

This scholarship has allowed him to not only receive financial support but also ensures that he will remain dedicated to his studies. After graduation, he is on track to go to grad school, where he will work on his Master's in Mining Engineering and then his MBA. This will allow him to pursue his passion of working as an engineer for a coal company and eventually working his way up to achieve a life-long dream of becoming a CEO.",0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,TPUSALiveAd,"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses President Biden's UN speech, protests breaking out in Australia, & the truth about Afghan refugees coming across the U.S border.

The TPUSA LIVE team talks about Vice President Harris’s address regarding pandemic preparedness, woke corporate culture in today's society, and Netflix’s new Britney Spears documentary coming out soon. 

Benny on the Block host Benny Johnson discusses our border crisis and then watch Real America with Graham Allen as he talks about vaccine mandates for our military, President Biden's foreign relations plans & more. 

Stick around for ""Debate Night"" where Charlie Kirk takes on Leftist, Rashad Richey from the Young Turks debating whether kids should be masked in schools. You don't want to miss that! 

We will wrap up the show with POPlitics with Alex Clark as she dives into Uma Thurman's deepest, darkest secret, Halloween costume ideas, & a Pop-Culture Rewind.",1,1,TRUE,,,,,,,,,,
Fang,Async,0-25,AntiLiberalSpending,The natural gas ban would kill local jobs and hurt Seattle families.,0,0,TRUE,,,,,,,,,,
Fang,Async,0-25,EnergyInfrastructureProjects,"Do you know whose lands you inhabit right now? The United States government has borders and delineations that the average American knows - but that is only one type of map. Check out https://native-land.ca/ where you can search your location, and see who originally inhabited the land you are now on. You can also search by language as well! Whose lands are you on today? Let us know in the comments:

#listentolearn
#nativeamericans
#NODAPL
#indigenoushistory
#nativeamericanroots
#indigenousunited
#indigenouspeople
#SAGE
#SRST
#SAGESRST
#climatejustice
#Renewableenergy
#Windenergy
#SayYestoWind 
#indigenoussovereignty. ",0,0,TRUE,,,,,,,,,,
Fang,Async,25-50,AntiGunBan,"""As a former executive assistant to both Democratic and Republican mayors, the issue around Hydro Quebec is not partisan for me. Rather it is about the environment.” Vote NO on Questions 1.",0,0,TRUE,,,,,,,,,,
Fang,Async,25-50,AntiGunBan,"𝐃𝐨𝐧𝐚𝐭𝐞 𝐭𝐨 𝐩𝐫𝐨𝐭𝐞𝐜𝐭 𝐭𝐡𝐞 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐢𝐜 𝐒𝐞𝐧𝐚𝐭𝐞 𝐌𝐚𝐣𝐨𝐫𝐢𝐭𝐲:
Polling shows this race to defeat Republican Marco Rubio might be our best shot at flipping a seat.
Do you want Mitch McConnell to regain even more power? Take action right now to keep Republicans out of the majority.",0,0,TRUE,,,,,,,,,,
Fang,Async,25-50,AntiWoke,"Breaking News: Bellbrook Swim Coaches wife loses her mind
Meredith Bringner should never hold public office. Watch happens when I start asking Bringner the questions Votes want to know about her, the other candidates she supports, and comments she has made in the past two years about Vote No supporters and myself.

When the questions get too tough, Bringner supporters, in a planned response, start interrupting me, until Mrs. Johnson, flips me off, cusses at me, physically tries to take my phone, hits my hand, and tries to attack me. (It starts at 4:28 on the video)

Could you imagine if I was the one doing this? They would be going crazy.

Both Johnson’s have a history of doing this to me at public events. These people are who you never want in charge of anything.

Did Meredith try and stop Mrs.Johnson? NO.
Did she say anything after Rob Johnson had to drag his crazy out-of-control wife away? No.

The reason is the Johnson’s and the others there trying to stop me were, HER PEOPLE. Her radical supporters.

This was all planned.

Meredith Bringner is the opposite of what has made our community great. She is a radical progressive who will use the power of her office to change Bellbrook into her “woke world view.”

https://youtu.be/wlJnCQhZha0. ",0,0,TRUE,,,,,,,,,,
Fang,Async,25-50,AntiWoke,"""if trouble must come, let it come in my time so that my children can live in peace.""

The time is now for parents to stand up for their God-given rights as American Citizens. No one ever agreed to  ""Co-Parent with this Government or our power-hungry, School board President David Carpenter,  or with our arrogant Million-Dollar Superintendent Doug  Cozad.

When was the teachers union appointed to be put in charge of overseeing/dictating to parents what to was best for their children's health?

Every Parent needs to heed the call to action.

Election Watch 21.",0,1,FALSE,0,,bit of a stretch,,,,,,,
Fang,Async,25-50,ProtectEnvironment,Fracking uses BILLIONS of gallons of drinking water every year in New Mexico. Click here to learn more. #ProtectWater #NMpol.,1,1,TRUE,,,,,,,,,,
Fang,Async,25-50,ProtectEnvironment,Climate change can feel like an insurmountable problem. @[100065014230744:Climate Power] taught me we already have the tools to reduce pollution significantly and create millions of jobs in the process.,1,1,TRUE,,,,,,,,,,
Fang,Async,25-50,CleanEnergyWorks,"Repost @nrdc_org▫️Burning gas to power our homes and buildings is a major contributor to the climate crisis and is making us sick. According to a new study from Harvard University, natural gas emissions—including those from buildings—were responsible for more premature deaths in 2017 than emissions from coal in 19 states. 

Cutting annual emissions of methane gas (aka natural gas) by 45% could potentially prevent about 250,000 deaths a year worldwide from pollution-triggered health problems. 

Since buildings are responsible for *one third* of the methane burned each year, we must focus on eliminating the use of fossil fuels for heating, cooking, and power and replace gas appliances with cleaner alternatives that use electricity. 

This is possible today and states across the country are taking steps to advance an equitable transition to fossil-fuel free buildings. 
⚡️Follow the link in bio to learn more! 

#GoElectric #GasFreeBuildings #HealthyHomes #HealthyBuildings #ClimateAction. ",0,1,FALSE,1,,,,,,,,,
Fang,Async,25-50,CleanEnergyWorks,The efficient transportation provided by pipeline projects like Wink to Webster will help keep Permian oil prices competitive on the world market. Another of the hidden benefits of our underground infrastructure.,0,0,TRUE,,,,,,,,,,
Fang,Async,25-50,ActionAgainstDemSpending,"Since 2015, the oil and natural gas industry has supported over 200,000 jobs right here in Colorado. These jobs strengthen our communities, our futures, and make Colorado more prosperous. Learn more: https://cred.org/tomorrow.",0,0,TRUE,,,,,,,,,,
