theme,top_25_tweets,Annotation
AntiCovidVaccine,"Still hear patients every day, when asked about COVID vaccine, say ""nah, I'll take my chances"".  They still don't get it.  It's not just about you.  It's about the people closest to you.  It's about stopping the spread of the lethal virus.",0
ProCOVIDvaccine,"“The community is invited to a COVID-19 Town Hall hosted by Sup. James Walkinshaw, on Feb. 22, 7 pm.

Dr. Addo-Ayensu, director of @fairfaxhealth, will discuss the county’s vaccine rollout and vaccination distribution strategy.“

Read @EllieAshford’s Blog: https://t.co/9T1FwMw5uO https://t.co/AWeht5Qqpe",0
GotVaccinated,Getting my covid vaccine on Tuesday 😎😎,1
Covidvaccineaftereffects,The only reaction from the COVID vaccine has been a sore arm where I was injected at and a mild headache. Everyone has been telling me that I would probably get sick from the second shot. I’m glad they were wrong. https://t.co/ZJCGw6B5P8,1
AntiDemocrat,@seanhannity Chinese Virus and Pelosi jumping the line to get the Trump Covid Vaccine,1
VaccineEfficacyDenial,@TheRealDomo13 Are you saying that the vaccinated have only had 6 deaths due to Covid? Or are you saying that the vaccine has only killed 6 people? Cause the second one is not fact at all.  Treatment should still be at the top of the list... Do you think people should be dying of this,1
RepublicansdownplayingCOVID,"Unfortunately, @GovAbbott forgot about children 11 and under, who are still not eligible for vaccine, but are at risk for covid. https://t.co/OJFakKm5eI",1
ProCOVIDvaccine,Me watching the news and listening about how the GQP is still spreading lies about Covid. Just take the damn vaccine people!! #COVIDIOTS https://t.co/MqrgF1Ub8d,1
Experiences_of_vaccine_side_effects,The second dose of the Covid vaccine is no joke. I’ve feel like I’ve been put through the ringer.,1
AdvocateForVaccine,"@rising_serpent In Florida, every person, old &amp; young has access to get a vaccine if they want for free. Hell, you don’t even have to get out of your car, they’ll come do it in the parking lot at CVS. The issue is not lack of supply, it’s those who refuse especially those who have had COVID! ✋",0
AntiRepublican,@POTUS Nationalize Covid vaccine just like Polio because we are in a PANDEMIC AND NOT AN EPIDEMIC.  Texas threatened to pull vaccine doses if Dallas proceeded with a plan prioritizing vulnerable communities  https://t.co/hpovcZcOmL,1
Covidvaccineaftereffects,The covid vaccine side effects are kicking my ass... if this is any glimpse into what the virus is then I would 1000% recommended anyone to get this over risking getting sick...,1
Against_covid_disbelievers,Just saw where a firefighter passed away from Covid up here. Fifty years old. This person has been eligible for the vaccine since December. This didn’t have to happen. Get the damn vaccine.,1
FDAapprovesCOVIDvaccine,"""FDA says Johnson &amp; Johnson’s single-shot COVID-19 vaccine is safe and effective""  https://t.co/E6W1qVxiHd",1
ProCOVIDvaccine,@Combat__COVID How about Louisianans get the vaccine so they don't need your treatment in the first place?! Only 33.8% of the people in thus state are vaxed.,1
AdvocateForVaccine,"AMEN. Every child under 12 and not currently eligible for any COVID-19 vaccine is particularly at risk — including both of my own children. 

Yet, they are supposed to return to in-person school in five weeks.  

#GetVaccinatedNow💉 https://t.co/YN4HJdZ8wA",1
GotVaccinated,In line for my Covid vaccine https://t.co/6Zqk7t7Bg2,1
AntiRepublican,It’s important that this work get prioritized as it’s painfully clear that the impact of COVID was not evenly distributed across Minnesotans. Let’s not unevenly distribute COVID vaccine too. @TinaLiebling https://t.co/xBFMSIToLE,0
AdvocateForVaccine,We need to give researchers as much info as possible to develop better treatments &amp; understanding of effectiveness of vaccine. #Covid_19 #Research https://t.co/NuIjUNtxeA,1
Receiving_first_dose_of_covid_vaccine,Just got my second COVID-19 vaccine. WOOHOO!!!,0
AntiCovidVaccine,@SPOG1952 These mandates have nothing to do with the safety of anyone. Covid has been in most cases are a clear recovery. Someone is getting rich no matter the really bad side effects from their vaccine. They really don't care about us. Just money and power.,1
Covidvaccineaftereffects,@ZackMalitz I just had my dose #2 sick day. I forgot exactly how much I hate being sick and loved knowing that this one bad vaccine day was waaaay better than days or months with covid.,1
BidenadministrationenforcingCOVIDvaccine,"Biden administration says COVID-19 booster shots will start Sept. 20

https://t.co/JbZBieUHG0",0
Skepticism_over_the_covid_vaccine,@MikeBoard1200 @themollycox The evidence keeps stacking up showing that the rise of COVID cases among law enforcement is due to their vaccine hesitancy and their unions support of a “personal choice” strategy. https://t.co/ftKdVFNf9F https://t.co/Med7G8Pkg3,0
AntiRepublican,@Matthew_4_Trump Because the vaccine is not to prevent Covid hello!,0
Promoting_covid_related_news_articles,The United States of Confusion #CovidVaccine #vaccine #Covid_19 https://t.co/DCZCNVmiDZ,1
VaccineRefusal,"@sdlizlifestyle @LegionSocialist @POTUS Exactly why I left my job at the hospital. I had COVID last month, sick for 3 weeks. I had the Moderna vaccine in March.",0
Covidvaccineaftereffects,Hey people who got the second dose of covid vaccine! What did you experience on the day of the second shot?,1
Receiving_first_dose_of_covid_vaccine,My wife is getting her first Covid vaccine shot today! I'm so happy 😁😁 😁,1
WhereToGetVaccine,"❗️#Texas❗️

🗓Starting 3/29

🌟ALL TEXAN ADULTS ARE ELIGIBLE FOR THE COVID-19 VACCINE!!!

📸 Information in the image below

🗣 Please RT &amp; share! This is big!

#COVID19 #AustinTX #covid #vaccine #vaccinated   #COVID19Vaccine #Pfizer #Moderna #JohnsonAndJohnson #TX #ATX #Austin https://t.co/B2vIU6Cmdd",1
AdvocateForVaccine,I'm sorry your my friend an i respect you but yo your wrong even if you have the vaccine you can still get sick as hell and end up in the hospital and the Covid deaths are skewed numbers ppl are dying from other symptoms not from Covid they just saying it's Covid https://t.co/hoEBnB39y2,0
ReceivedfirstdoseofCOVIDvaccine,Got my second covid vaccine!! Yay 😊 https://t.co/oFbtWdUE3y,0
Criticising_political_figures,@Vandy69_dad left wing propaganda still using covid to punish people who don't trust there untested vaccine,1
GetyourCOVIDvaccine,@MarkHertling @margaritateresa My wife and I are scheduled to get our first vaccine tomorrow we know that it will not be a silver bullet just one more defense against the covid-19 virus we will continue to wear our masks wash your hands and social distance #coronavirus,0
GotVaccinated,"This weekend I received my first dose of the COVID vaccine. I am feeling well! I encourage you, if you’re eligible, please take the vaccine. #LetsLive ♥️ https://t.co/YLFQfQPPPY",1
GettingtheCOVIDvaccine,.@JacksonLeeTX18 is hosting two COVID-19 vaccination events today. 💉 One is at Cullen Middle School (info below). The other is at Green House International Church on W. Greens Rd. from 11 a.m.-4 p.m. Kids 12+ can get the vaccine. You can register on site. https://t.co/dkbciKn0zx,1
Experiences_of_vaccine_side_effects,Got my first dose of the covid vaccine. Didn't hurt when I got it but later tonight it does. Lol Also idk if my tiredness is from the side affects or because I got barely any sleep last night. 💉🤣😭👍🏼 #COVIDVaccination #CovidVaccinesideeffects #CoVidVaccineSaveLives https://t.co/2skN7FXkwF,1
GotVaccinated,Just got my first shot of the Covid 19 Vaccine! Today is the first day to normalcy. I feel very fortunate to be able to get it.  Whoever thought this would be a perk of being an educator. #FauciOuchie https://t.co/2dgqTvnBB8,1
Information_about_covid_vaccine_availability_and_appointments,"New COVID vaccine appointments available for 78681 at Walgreen Drug Store, 2220 S INTERSTATE 35, ROUND ROCK, TX. Make your appointment at https://t.co/W3ki0Bekd0",1
AdvocateForVaccine,HoW's ThAt VaCcInE wOrKiNg asks the unvaccinated idiot about children under the vax age range with no mask requirement at school in a town full of covid deniers... 🙄🤦‍♀️,1
VaccineEfficacyDenial,"@DietrickPatrick @KingCashLXXV @RepRoKhanna @theneedledrop So you are fundamentally incorrect by imposing some measurement of mortality in this way, you are completely misunderstanding what the data means. The vaccine is not a medication designed to treat the symptoms of covid, it’s immunization designed to prevent initial infection.",0
AntiRepublican,"@ULostTrump @seanhannity @GovRonDeSantis @marcorubio @RonDeSantisFL DeSantis just moments go did 360° on the vaccine, now encouraging Floridians to take vaccine dosesge,  it's high rates of Covid 19 running like wildfire through Floridia's rural areas.",0
AntiCovidVaccine,@Gregory26859473 @turbovax @nycshotslots @nyvaccine Fun fact: the vaccine greatly reduces the chances of severe effects should you get COVID &amp; is the only way we will ever achieve herd immunity without massive death.,0
VaccineRefusal,"Woman in the hot tub: “I’m not getting a Covid vaccine. I don’t trust vaccines. My brother got a flu shot and was sick for 6mo. Then another kid I knew got autism after a vaccine. Plus I already had Covid a year ago and it was nothing.”

Me: *gets out of the hot tub* https://t.co/eYPGFbMrPq",1
AntiCovidVaccine,"@pastaman927 @POTUS Nobody ever forced healthy people to wear useless masks nor to inject healthy people, nor those that have antibodies from already having covid get an untested , unapproved, unnecessary quasi “vaccine”   Now go home and get your shinebox",1
FDAapprovesCOVIDvaccine,"US @FDA regulators give full approval to Pfizer COVID-19 vaccine
https://t.co/B7ek3IMtJo",1
AntiCovidVaccine,"Wow. The brother of one of my college RA’s died of COVID on June 6th at the age of 36. If you’re an adult who is still vaccine hesitant, please, please reconsider.",0
AntiCovidVaccine,Oh but all you vaccinated people scream get the vaccine 💉 and y’all still get sick. Haven’t y’all learned a vaccine 💉 is the fucking virus🤦🏿‍♂️. Every extra shot is to kill of the virus because they test y’all to see at what strength can our bodies be at to fight covid. #StayWoke https://t.co/Na7TUDL31E,1
GotVaccinated,Got my COVID vaccine!!,1
WhereToGetVaccine,"HAPPENING NOW: City of Norwalk has partnered with the Consulate General of Mexico in New York to provide a COVID-19 clinic for the community. They’re focusing making the vaccine accessible for everyone, especially those who work during the week. More on @News12CT at 12:30pm. https://t.co/kTP6SB8Wp6",1
AdvocateForVaccine,Ok I did it I got the covid vaccine. I go back to get the 2nd dose in exactly 21 days. I was hesitant at first but I’d rather get it then get sick with Covid. I’m protecting myself and others. #CovidVaccine https://t.co/r4jwqArb4E,1
ReceivedfirstdoseofCOVIDvaccine,I completed my second dose of the COVID-19 vaccine! https://t.co/Zsv0dKOJuM,0
Saying_that_you_can_still_get_covid_if_you_have_the_vaccine,"Everyone just get vaccinated for crying out loud

Can the Covid Vaccine Protect Me Against Virus Variants? https://t.co/ScTWAEMHes",0
ReceivedfirstdoseofCOVIDvaccine,I finally have a Covid vaccine scheduled 😭🙌🏻❤️,1
Vaccine_accessibility_and_distribution,"FREE VACCINE still available 
Open until 4p TODAY spread the word
#COVID #VACCINE #eastsanjose @ Tafatolu Congregational Christian Fellowship Hall https://t.co/agl6XialkF",1
Encouraging_getting_the_vaccine,@LNeviile @POTUS The vaccine does not work... look at the facts. Over half the people dying from covid and delta variant were vaccinated.,0
Promoting_covid_related_news_articles,"I’ve been quiet on here the last few months, so I am going to kick things off by sharing something I have been looking forward to sharing for a very long time.

Second COVID-19 vaccine dose = ✅

Time to start the next chapter 🙂

#CovidVaccine https://t.co/qwFHuBDg0E",0
Receiving_first_dose_of_covid_vaccine,I just received my second dose of the COVID Vaccine! I am very thankful for my job and the opportunity to even receive the vaccine. Here’s to overcoming this pandemic.,0
Information_about_covid_vaccine_availability_and_appointments,"New COVID vaccine appointments available for 33173 at CVS Pharmacy in MIAMI, FL, 9701 SW 72ND ST., MIAMI, FL. Make your appointment at https://t.co/F1YpdC74ae",1
Vaccine_accessibility_and_distribution,Want to help bring our communities back? Volunteer to help people get the COVID-19 vaccine in Louisiana 👇🏻 https://t.co/yADe21Flc5,1
Experiences_of_vaccine_side_effects,"I got my second COVID vaccine Monday morning and slept for the most part of 2 days. When I was awake I was having chills, weakness, body aches and sharp stabbing pains in my head… I think I’m coming out of it now. Hallelujah",1
HealthcareWorkers,"@lifebiomedguru @PatriotRN10 @richardursomd Could this be part of it?

https://t.co/s9PjSVd310",0
Criticising_political_figures,"VACCINE DISTRACTOR CLOWN 🤡 RAND PAUL GETTING HIS COVID-19 SHOTS AMERICA 🇺🇸 

# COWARD https://t.co/3AGFoO4B6C",1
NewsagenciesreportingontheCovidvaccine,"“I stood in line at a Baptist church early on a Saturday morning to get my second COVID vaccine shot. When I walked out of that church, I felt the walls of my world expand &amp; sensed freedom rush back in. With it came my old companion: restless dissatisfaction.”

Beautiful &amp; timely https://t.co/jXHuGU02nj",0
GettingtheCOVIDvaccine,"New COVID vaccine appointments available for 37086 at Walgreen Drug Store, 5000 MURFREESBORO RD, LA VERGNE, TN. Make your appointment at https://t.co/W3ki0Bekd0",1
Saying_that_you_can_still_get_covid_if_you_have_the_vaccine,"Excellent study by Stamatatos et al. looking at the importance of vaccination. Bottom line-Even if you’ve had COVID, get the vaccine! https://t.co/mf72tym7Af",0
Receiving_first_dose_of_covid_vaccine,Got my Covid vaccine #modernavaccine #MakingHistoryAtOhioHealth https://t.co/90dAUaYCUc,1
ProCOVIDvaccine,"@erinschaff Poor things- my son was asked to go, but quite honestly no Covid vaccine? #nope",0
Skepticism_over_the_covid_vaccine,"@EBRheum @tnicholsmd so this is tangential to the OP. The contrarian position during the pandemic even delta wave has been children barely are affected by it, and more concern about vaccine myocarditis than sick covid / mis-c cases. many of us knew that was wrong @jeremyfaust @tnicholsmd AAP etc",1
Information_about_covid_vaccine_availability_and_appointments,COVID Vaccine for 12-15: When It Could be Available and How to Get It for Your Children https://t.co/R3VGgdbZIk,1
Vaccine_accessibility_and_distribution,HAPPENING NOW: @henrymcmaster  is giving an update on distributing the COVID-19 vaccine to teachers.  Details on .@WLTX. #WLTX https://t.co/1dolvUV7p8,1
Criticising_political_figures,@tedcruz The Delta variant of Covid-19 is rampaging across the heartland – victimizing those who won’t get a free vaccine that would save their lives.  Trump’s campaign against democracy is intensifying – as his hack election lawyers are being defenestrated by a Michigan judge. https://t.co/eZd9PnRij2,1
ProCOVIDvaccine,Florida Governor says Seniors have priority when it comes to Covid Vaccine. https://t.co/0sOKjHvGH6,0
AdvocateForVaccine,"But current COVID-19 VACCINES are not 🚭 very effective against DELTA COVID MUTANT &amp; other COVID MUTANT's that are rising.

New COVID-19 Vaccine is needed!

But @JoeBiden is too lazy to create new effective vaccine that actually works against variants!

Breakthrough cases spiking https://t.co/CaXVDdTzvZ",0
Encouraging_people_to_get_the_covid_vaccine,#MostIconicCouple: you and the COVID-19 vaccine. #GetVaccinated! https://t.co/bfP4LfiZkT,1
FDA_Approval_of_covid_vaccine,FDA authorizes Johnson &amp; Johnson’s single-dose Covid-19 vaccine https://t.co/0a9V8H4qq6 via @statnews,1
AntiRepublican,"@VinGuptaMD But if your political career is in danger from a recall, like @GavinNewsom, forcing teachers back without a vaccine is a handy way to try to save a job.

https://t.co/NLRZEgjm0h",0
Skepticism_over_the_covid_vaccine,"@Sassy_GA_Peach Amen. It was my choice to get the vaccine. I shouldn’t be shamed or harassed because of my decision. I had covid, I would do anything not to have it again",0
VaccineEfficacyDenial,No wonder the number of Covid cases are raising. People are not getting their Covid vaccine. They don't know what's in the vaccine and now a lot of ppl are dying. Believing that the vaccine works. https://t.co/5LvjhBzgVH,0
ProCOVIDvaccine,"BREAKING PART 1: Federal Govt @HHSgov Whistleblower Goes Public with Secret Recordings 

‘Government Doesn’t Want to Show the [COVID] Vaccine is Full of Sh*t’ 

They ‘Shove’ Adverse Effect Reporting ‘Under the Mat’

#CovidVaxExposed https://t.co/6C5brsarEB",0
Skepticism_over_the_covid_vaccine,"I haven’t gotten the vaccine cause I’m legit the last person who should get it. Young, healthy, have antibodies without ever being sick with covid. But when I tell people that, I’m called and anti-vaxer.",1
Criticising_political_figures,@BernieSanders Excuse me but Trump got the Covid vaccine made and he had Covid so what are you talking about?,1
AdvocateForVaccine,58 COVID+ @MercySGF. 15 admissions yesterday. Masking and distancing are still effective. Vaccinations are critical. The good news is that vaccines are readily available from multiple sources https://t.co/eu5DSyomX0,1
AntiCovidVaccine,Covid deaths in POC are very high. I’ve lost a black male friend at 52 before vaccine was available. I can’t understand why my friend has watched millions of people get vaccinated &amp; fears it’s a medical experiment. https://t.co/41WgiBCGwm,0
GotVaccinated,First Covid vaccine shot done 💪,1
Covidvaccineaftereffects,Got my first COVID vaccine dose earlier today and the nausea has not gone away 😩,1
WhereToGetVaccine,"Having a hard time making a covid vaccine appointment? Let me walk you through!
When you’re ready, here’s the link for Santa Clara County https://t.co/FPE7EZpFAN (Full video on my FB page. Link in bio) https://t.co/HZ08M8aJTw",1
Skepticism_over_the_covid_vaccine,@LaurenHingst I just think the fear lives deep in those people for this vaccine but they aren’t scared of COVID... that has ALREADY killed so many people????? I will never understand. My patience for these situations has run real slim.,0
AntiRepublican,@Cleavon_MD Gov Parsons is a failure! Folks in Lake of the Ozark’s and Branson area get the dang vaccine already! Stop this nonsense already! We don’t want the COVID variant in St. Louis,1
AdvocateForVaccine,The only way to end this pandemic is to ensure equitable access to the vaccine for all people in all countries. The US must start sharing surplus COVID-19 vaccines with countries that need these lifesaving doses! We need #VaccineEquity now.,1
Encouraging_getting_the_vaccine,"@RepThomasMassie since this disease is no more lethal than the flu, then why destroy the economy, threaten to fire people, all for a vaccine that CANNOT eradicate COVID for it also resides in animals where it will always mutate and return annually just like the flu.",0
Information_about_covid_vaccine_availability_and_appointments,"New COVID vaccine appointments available for 77546 at Walgreen Drug Store, 104 E PARKWOOD AVE, FRIENDSWOOD, TX. Make your appointment at https://t.co/W3ki0Bekd0",1
AntiRepublican,Your Evening Briefing: Formal FDA Vaccine Approval May Trigger Mandate Flood  https://t.co/68ZVOuiPDg,0
AntiDemocrat,"U.S. Will Recommend COVID Booster Shots After 8 Months, Despite Global Vaccine Inequity https://t.co/fCjTa55PKb via @democracynow",0
VaccineEfficacyDenial,"@ricky92066 @tigerfan22888 @JasonTLouis @Cernovich First of all. Your numbers are all wrong. Please show me where the fatality rate of COVID is 0.02%, I'll give you $5 if it's from a reputable source. And show me where the vaccine fatality rate is 1%. Like....are you just lying? Lmfao",1
Information_about_covid_vaccine_availability_and_appointments,First dose in. #Covid #Vaccine #Walgreens #ThisIsOurShot @ Walgreens https://t.co/nhxO2LXUTF,1
Experiences_of_vaccine_side_effects,"update on covid vaccine:
started to feel some side effects. feverish, fatigue, body aches. hoping it goes away soon ☹️",1
Skepticism_over_the_covid_vaccine,One wonders if they know they need to actually GET the vaccine before it will protect them from COVID. https://t.co/En2PHApg4u,0
Against_covid_disbelievers,Here's why so many people are skipping their second Covid shot -- and why they shouldn't - CNN  https://t.co/m5qyWf4FsM via @GoogleNews,1
AdvocateForVaccine,I support a #PeoplesVaccine! I’m calling on @JNJNews to commit right now to ensuring the COVID-19 vaccine is distributed fairly and equitably to people all over the world. People over profit! #OneWorldProtected,1
WhereToGetVaccine,"New COVID vaccine appointments available for 94618 at PharmaCA, 5729 College Ave, Oakland, 5729 College Ave, Oakland, CA. Make your appointment at https://t.co/8466iDAZpe",1
ProCOVIDvaccine,"@MSNBC @kavitapmd @MSNBCDaily As a mom, I continue to worry about the safety and health of my kids, even though they are adults. So I had no problem with nagging and pushing all of them to get their Covid vaccine ASAP.  I'm proud to be able to say that they are now all vaccinated. Perfect Mother's Day gift.",1
WhereToGetVaccine,"If you need a vaccine, there is one here for you. Gannon will offer a COVID-19 Vaccine Clinic for students and employees during the IgKnight Fair on Tuesday, Aug. 24. 👉 https://t.co/TeGUhbHMEP https://t.co/RPsdKTk6OW",1
FDAapprovesCOVIDvaccine,"TODAY: 
@FDA approved the @pfizer COVID-19 vaccine for the prevention of #COVID19 disease in individuals 16 years of age and older.  https://t.co/po0AXRhwRs",1
AntiCovidVaccine,Make it make sense. The way they talk about COVID would have you thinking it’s the walking dead outside. If it was that bad people would be running to get the vaccine but nope the gov’t is literally trying to bully us into submission. Get the vax or get checked every week… https://t.co/gRjnK78oNA,1
Covidvaccineaftereffects,"@CayneLetizia My husband had his 2nd dose of the covid vaccine (he is a nurse). Unlike others who had the mild to moderate symptoms (fever, headache, etc), he did not have any except for the heaviness on his arm. Actually, we're waiting for his hulk transformation but it did not happen 😂",1
AdvocateForVaccine,"@CalmSouthern @televisionary @anniemarie_24 @AJ__B5 @EmmaKinery Also making my point. You can’t run away from a virus, but kids have shown kick ass resilience to it. I was trying to have a discussion but you rabid Covid warriors act like a vaccine is gonna keep you from it and it’s gone forever",0
Promoting_covid_related_news_articles,"The New York Times: U.S. Rushes to Expand Covid Vaccine Eligibility in a ‘Race Against Time’.
https://t.co/z87mtMQDCI

via @GoogleNews",1
ReceivedfirstdoseofCOVIDvaccine,Just got my 2nd round of the Covid vaccine!,0
Encouraging_people_to_get_the_covid_vaccine,@mckinlp @YouTube FYI Paul. A 5 year old child just died of COVID in Georgia. My friends 1 yr boy in Oregon got it a few months ago. Its only time that our young people who are not yet able to receive the vaccine get affected. They are also in danger from adults who choose not to get vaccinated.,1
