ID,System,Setting,Bucket,Theme,Tweet,Anno1,Anno2,Anno3
24,Pacheco,Async,75-100,NewsagenciesreportingontheCovidvaccine,Pushing? As in #OperationWarpSpeed? https://t.co/H1Aeo1dWUT,0,1,1
25,Pacheco,Async,75-100,NewsarticlesaboutCOVIDvaccineprogress,Pls get vaxxed. ASAP. https://t.co/4dAFOgDHA5,0,0,
26,Pacheco,Async,75-100,Praising_frontline_healthcare_workers,"WCS to receive 1,500 more COVID-19 vaccine doses, totaling 2,500 https://t.co/EuZ1ilX34I via @http://twitter.com/wherald/",0,0,
27,Pacheco,Async,75-100,Praising_Government_Leadership,"President Trump:
• secured our borders
• appointed three Justices to SCOTUS
• lowered our taxes
• reformed the VA
• tough on China, Russia, Iran
• no wars
• Peace in Middle East
• America First Trade Deals
• millions of jobs
• best economy in history
• COVID vaccine",1,1,
28,Pacheco,Async,75-100,ProCOVIDvaccine,"Their reasoning is usually summed up in 1 of 3 ways:

- COVID isn’t a death sentence. Depending on age group, 99%+ survival rate.
- They’ve already had COVID and have antibodies. 
- They’re not in a hurry to get a vaccine that didn’t exist 9 months ago.",0,1,0
29,Pacheco,Async,75-100,ProCOVIDvaccine,"New York City is the 1st major city to issue a COVID vaccine mandate for all indoor activities such as restaurants and gyms. The measure begins to take effect on August 16th, with full enforcement fully taking effect on September 13th.  
https://t.co/AcAoPpObWw",0,0,
30,Pacheco,Async,75-100,Promoting_covid_related_news_articles,you are living in the golden age of stupidity: https://t.co/FY2ldRlzLC,0,1,0
31,Pacheco,Async,75-100,Promoting_covid_related_news_articles,"Such disgraceful conduct here by the Harris County DA, who did the exact opposite of what almost any decent person of any political persuasion would do in the same situation https://t.co/yekNDzSYHW",0,1,0
32,Pacheco,Async,75-100,ReceivedfirstdoseofCOVIDvaccine,"Damn, my BF just called to  make an appt to get the Covid vaccine! This is huge, he's Indigenous and refuses to get even a flu vaccine though I've gotta say he's never sick. I bet he's thinking about that Hawaii trip I'm planning on going without him 🤔",0,1,0
33,Pacheco,Async,75-100,Receiving_first_dose_of_covid_vaccine,"2nd dose of the Covid vaccine and it’s hitting wifey a bit hard. FYI that’s a unicorn ice pack and not a fashion statement. #forzacarnevali @ Huntington, New York https://t.co/sdGpohTO90",0,0,
34,Pacheco,Async,75-100,Receiving_first_dose_of_covid_vaccine,"The photo of the year 2021.
An Egyptian ICU Nurse is feeling scared and helpless after losing so many patients to COVID in one night due to a lack of oxygen tanks/concentrators.
#COVID19 #bbc #cbs #cnn #snowpose #AmericaFirst #Covid #vaccine #العناية_المركزة #مستشفى_الحسينيه https://t.co/29EyQv8g2F",0,0,
35,Pacheco,Async,75-100,RepublicansdownplayingCOVID,"In other words turn your friends and family in if they voted for Trump and think the election was stolen and are against the Covid vaccine?
Did I get that right? https://t.co/8CnfHEttfO",1,0,1
36,Pacheco,Async,75-100,RepublicansdownplayingCOVID,"Was this Stitt’s plan all along? Make masks mandates in schools illegal. Children under 12 are not able to get a vaccine. Covid-19 is soaring in Oklahoma, children in hospitals doubling day after day. Who has Oklahoma elected in @GovStitt ?",0,1,0
37,Pacheco,Async,75-100,RepublicansresponsibleforCOVIDdeaths,Wash. St. has the Kirk Cousins of college football coaches. https://t.co/BnQ2KxUNzx,0,0,
38,Pacheco,Async,75-100,Saying_that_you_can_still_get_covid_if_you_have_the_vaccine,@LouGarza86 @benbrookjohn Yes...you do have to space out the Shingles shot and the COVID vaccine.,0,0,
39,Pacheco,Async,75-100,Saying_that_you_can_still_get_covid_if_you_have_the_vaccine,@CRtwotwo Have a better chance making it in the NFL than dying from covid after you get a vaccine or the vaccine itself,0,1,1
40,Pacheco,Async,75-100,Saying_that_you_can_still_get_covid_if_you_have_the_vaccine,@MattHeille @CourtneyRCronin @MeatSauce1 Will NFL demand forfeits if players test positive for covid after getting the vaccine? No league should be testing for covid any more at all.,0,0,
41,Pacheco,Async,75-100,Skepticism_over_the_covid_vaccine,Having survived 4 years at Rocco’s and stealing random drinks off the bar makes me 0% fearful of the COVID vaccine 🤣💚💛,0,0,
42,Pacheco,Async,75-100,Skepticism_over_the_covid_vaccine,"How will they Determine ""Misinformation""? People Died.. Got Bells Palsy... Moderna will change your DNA... Lol Wheres the wrong info at???
https://t.co/aGVz8sPUPC",1,1,
43,Pacheco,Async,75-100,Stating_that_the_vaccine_does_not_cause_covid,"📢 Know The Facts:
The COVID-19 vaccine is free. If you are asked to pay for a COVID-19 vaccine, it is either a scam or a mistake. https://t.co/VWPr9KChOO Visit https://t.co/ilS8IK14xm to find a COVID-19 vaccination site near you. #WMPD4ALL https://t.co/ABkhVHF390",0,0,
44,Pacheco,Async,75-100,Vaccine_accessibility_and_distribution,If the COVID vaccine has taught me anything it’s geography... figuring out all the zip codes and counties across NJ.,1,1,
45,Pacheco,Async,75-100,Vaccine_accessibility_and_distribution,"All school employees and child care workers in Florida, regardless of age, can receive the COVID-19 vaccine, Gov. Ron DeSantis announced on Thursday. https://t.co/OQzLbcizTq",1,1,
46,Pacheco,Async,75-100,VaccineEfficacyDenial,"I guess this is the definition of viral marketing to increase customer spend...
 https://t.co/GIPUamxoK1",0,1,0
47,Pacheco,Async,75-100,VaccineRefusal,Dey got some of y'all niggas tracked they just disguised it as da covid vaccine,0,1,1
48,Pacheco,Async,75-100,VaccineRefusal,"@counternotions It WOULD be nice if every time a vial of COVID vaccine changed hands, its serial number went into a non-erasable database

IBM ads imagined it for heads of lettuce, but mgmt didn’t dare test it out in an application that might’ve mattered

All “imagine if…” to defraud investors",0,1,0
49,Pacheco,Async,75-100,VaccineSymptomReport,R didn’t go to bed until 12:39. O was up At 2 &amp; 6. I now have to be up for a clinical day at a Covid vaccine clinic. I am so freaking tired,0,1,0
50,Pacheco,Async,75-100,WhereToGetVaccine,"How to get the COVID vaccine in Louisiana:

✅ Be 16 or older 
🗓 Make at appointment at one of the 608 providers or at a community event listed at https://t.co/7DeQ6h4nPT https://t.co/oPyFm7JnHk",1,1,
51,,,,,,,,
52,Pacheco,Async,50-75,AdvocateForVaccine,"@thedude77 @robertihde @DeboFoxo13 @US_FDA is going to give full approval of the COVID-19 vaccine. Currently, all hospitals require EVERY employee to be vaccinated or they will fire you. Many more businesses will follow suit upon approval. Also, you risk approval of any health insurance. Forget life insurance",0,1,0
53,Pacheco,Async,50-75,AdvocateForVaccine,TN has one of the lowest vaccination rates in the country. This week health department employees advised not to target teens for COVID vaccine. Why you ask?,0,0,
54,Pacheco,Async,50-75,Against_covid_disbelievers,"@ABC @donwinslow “They call us extremists,” state Sen. Dallas Heard (R-Roseburg) told the gathering. The group Oregonians for Medical Freedom, which has lobbied against childhood vaccinations since well before the COVID-19 pandemic began. https://t.co/QxZUDURY4v",0,1,0
55,Pacheco,Async,50-75,Against_covid_disbelievers,you are God we are gods I can prove it I think it's godlike we found a vaccine to fight Covid.,0,1,1
56,Pacheco,Async,50-75,AntiBiden,@POTUS @GavinNewsom @JoeBiden how are restaurants opening up when #covid is raging in Cali &amp; mutating? The vaccine is not working- 4 in Oregon got ill. Ur doing this to save face but during the election u criticized trump. I’m not a Rep but I hate sneaky shit,1,1,
57,Pacheco,Async,50-75,AntiBiden,"@bgannon97 @mmfa You win the Tweet of the day! I wonder how the virus targets Republicans? (sarcasm). My household of Democrats and myself (also a Dem) tested positive in October 2000. News for Lin: COVID, as other viruses, is blind of political affiliation. The vaccine is a protective measure.",0,0,
58,Pacheco,Async,50-75,AntiCovidVaccine,"“COVID is known to cause blood clots about 165K per 1 million, vs. 1 in a million from the vaccine. Even common medications like Tylenol and Motrin have mild side effects. They are way more common than the side effects you would see from this vaccine.”—@KoneruMd  #GetVaccinated https://t.co/HiHjjqoYPN",0,0,
59,Pacheco,Async,50-75,AntiCovidVaccine,Thinking about how you’re almost just as likely to die in a plane crash as you are of having blood clotting from the Johnson &amp; Johnson COVID vaccine....,0,0,
60,Pacheco,Async,50-75,AntiDemocrat,"@TimesofSanDiego The US has been given over 13 million vaccines but we’ve barely used a third. Very sad. Also, the Bloomberg site on Wed showed the US had been given 19 million in supply then it reduced by almost 7 million. Where’d they go? https://t.co/oCLf6Sap18",0,0,
61,Pacheco,Async,50-75,AntiDemocrat,"Read this &amp; prepare to be dumbfounded by it. @OHAOregon is basically deferring decisions to a big committee, except when it isn't, ala @OregonGovBrown. No wonder our #VaccineRollout is such a clusterf**k! #orpol #orleg #KeepSchoolsShut
https://t.co/SfSU34AUOH",1,0,1
62,Pacheco,Async,50-75,AntiRepublican,Indiana U Sued Over COVID-19 Vaccine Requirement https://t.co/X8IAWK9ohk,0,0,
63,Pacheco,Async,50-75,AntiRepublican,@ShannonBream WILL YOU JUST STOP TURNED ON WHST APPEARS TO BE MORE HARD NEWS YOURE AT IT AGAIN STOP WITH BULLSHIT ABOUT  COVID AND VACCINE GOD DOBYOU NOT A GIVE A DAM ABOUT VIEWERS  LIVES BE CLEAR PROMOTE VACCINE YOURE VACCINATED GOD WTF https://t.co/xinsy3PZK3,0,0,
64,Pacheco,Async,50-75,BidenadministrationenforcingCOVIDvaccine,"@gunner62047957 @monstergenius69 @JoeBiden Yes, but the main aspect of precedent from H v M is that gov’t bodies can legally require mandates like this. +Biden’s mandate also cites OSHA and COVID as occupational hazard—both the Dept of Justice &amp; EEOC have ruled that require a vaccine as a employment requirement is legal",1,1,
65,Pacheco,Async,50-75,BidenadministrationenforcingCOVIDvaccine,Iowa House passes bill banning use of vaccine passports https://t.co/cuevC0bgm1,1,0,0
66,Pacheco,Async,50-75,Covidvaccineaftereffects,"If people think COVID vaccine is bad, shingles was the worst for me. Knocked me out two days.",1,1,
67,Pacheco,Async,50-75,Covidvaccineaftereffects,"@NBSaphierMD I have it right now, I’m not feeling bad from it. It may be because I have already had COVID and I have had the vaccine.",1,0,0
68,Pacheco,Async,50-75,COVIDvaccineonlyreducestheeffectsofCOVID,I can't understand why the cdc is saying you can walk around without a mask if you've been vaccinated. Because the vaccine doesn't prevent you from contracting covid. You just now have some antibodies to help not direly succumb to the symptoms of it.,1,1,
69,Pacheco,Async,50-75,COVIDvaccineonlyreducestheeffectsofCOVID,"@sftechbr0 No, but the manufacturers have said that there might be a need for a booster, since they weren’t how long the vaccine would be effective.
From April 2021:

Pfizer CEO says third Covid vaccine dose likely needed within 12 months https://t.co/ruEHh63RpY",0,0,
70,Pacheco,Async,50-75,Criticising_political_figures,"Oct. 2020.

In debate, Kamala Harris says she won't take COVID vaccine just on Trump's say-so https://t.co/oC9Tf30u2Z",1,1,
71,Pacheco,Async,50-75,Criticising_The_President,@TheLeoTerrell RIGHT.... he’s got BOS hand in the vaccine cookie jar the covid patent ect,0,0,
72,Pacheco,Async,50-75,Encouraging_getting_the_vaccine,"I am not a medical professional but I have listen to medical professionals and read cdc guidelines and want to invite anyone to tweet at me so I can try to answer any questions you might have. #covid, #vaccine and #freedom questions I would love to help you understand.",0,1,0
73,Pacheco,Async,50-75,Encouraging_people_to_get_the_covid_vaccine,At home after the 2nd COVID vaccine. Amen!!! https://t.co/jwsBmzbKTo,0,0,
74,Pacheco,Async,50-75,Encouraging_people_to_get_the_covid_vaccine,getting my covid vaccine at claires,0,0,
75,Pacheco,Async,50-75,Experiences_of_vaccine_side_effects,my grandma is almost 80 years old and was such a champ at getting her covid vaccine both times. She went in to get her second dose with her arm still being sore from the first one. &amp; it was no biggie for her. It amazes me how my grandma has more huevos than some of you lame ppl.,0,1,1
76,Pacheco,Async,50-75,FDA_Approval_of_covid_vaccine,"If only there was an FDA approved vaccine that could prevent covid.  Oh right.  

What Is Betadine? Why Anti-Vaxxers Are Promoting Gargling with Iodine – Rolling Stone https://t.co/iXB6GZwhWF",0,1,0
77,Pacheco,Async,50-75,FDAapprovesCOVIDvaccine,"A good sign: my dad is a pharmacist and he said there’s been a big uptick in people coming in for covid shots lately, notably including people who were on the fence about vaccine at first but are now getting it because of the delta variant",0,0,
78,Pacheco,Async,50-75,GettingtheCOVIDvaccine,Thanks @walgreens for helping me get my first and second COVID-19 vaccine doses in different cities and states. Grateful 🙏 for the science and people who made this possible. Feeling good 👍 and hope everyone stays healthy 💪 and safe. We can and will overcome this! ❤️ #Done https://t.co/PjMQo0d4of,1,1,
79,Pacheco,Async,50-75,GetyourCOVIDvaccine,@PeterHotez Hi Doc did you get my email? It would be from Morgan FeDora Shot Tec Solution for Covid vaccine distribution plan? Ide really like to know what you thought of it. Gratitude 🙏 for all you do to save lives!,0,0,
80,Pacheco,Async,50-75,GotVaccinated,More Hospitals Are Requiring Workers to Get Covid Vaccines https://t.co/fYxcpEF1a6,0,0,
81,Pacheco,Async,50-75,Information_about_covid_vaccine_availability_and_appointments,"Colquitt County Vaccine Update:
The Colquitt County Health Department will have the COVID-19 Vaccine available to those who are 65+years in age starting Monday, January 11 by appointment only.
Call to reserve your spot: (229) 352-6567. https://t.co/I1gD3Q7Yh3",1,1,
82,Pacheco,Async,50-75,NewsagenciesreportingontheCovidvaccine,"@DanRather @RadioAndySXM 1)COVID-19 Vaccine shortages
2)Systemic Racism in our country that effects housing, jobs, neighborhoods, salaries, health care, politics, education &amp; policing
3)Student Loan Debt",1,1,
83,Pacheco,Async,50-75,NewsarticlesaboutCOVIDvaccineprogress,Scientist goes viral for effortlessly debunking Covid vaccine misinformation being spread on TikTok #NewsBreak  https://t.co/Avp7eqa0mh,1,1,
84,Pacheco,Async,50-75,Praising_frontline_healthcare_workers,"169 million in U.S.
More Than 689 Million Shots Given: Covid-19 Vaccine Tracker  [""https://t.co/NjHiJVNBZb""]",0,1,0
85,Pacheco,Async,50-75,ProCOVIDvaccine,"Duhhhhhhhhhhh..
.A man who spent 4 months in hospital with COVID-19 and ended up with a double-lung transplant said he regrets not getting the vaccine https://t.co/IcRS6hyuBg",1,1,
86,Pacheco,Async,50-75,Promoting_covid_related_news_articles,India prepares to deliver 50million doses of Oxford #vaccine https://t.co/UaNhxCziN6 via @MailOnline,1,1,
87,Pacheco,Async,50-75,Providing_resources_to_those_who_are_not_involved_in_the_covid_debate,"By Lena H. Sun and Joel Achenbach

https://t.co/J7yuVBqPZU",0,0,
88,Pacheco,Async,50-75,ReceivedfirstdoseofCOVIDvaccine,Got my 1st dose of the COVID-19 vaccine!🌡Thank you District 33 and Jewel-Osco! #WeGo33 #D33pride https://t.co/IdSYRmZg7S,1,1,
89,Pacheco,Async,50-75,ReceivedfirstdoseofCOVIDvaccine,Just got my first shot of Covid vaccine at the Hynes Convention Center in Boston. So easy. Impressive set up. Navy personnel here from across the country and a private ambulance firm has personnel here also. The shot? It’s a micro second and you don’t even feel it. 🙂,1,1,
90,Pacheco,Async,50-75,Receiving_first_dose_of_covid_vaccine,Registering for the Covid vaccine gives me a sense of hope I haven’t felt in nearly a year.,1,1,
91,Pacheco,Async,50-75,Receiving_second_vaccine_dose,"I live in Tequesta Florida. 
Signed up on my 4th try for the COVID vaccine.
Monday is the day!
Am I nervous. 
For some reason yes, but excited.
I hate this virus.",0,0,
92,Pacheco,Async,50-75,RepublicansdownplayingCOVID,"Bitching about punishing private businesses who choose to defy covid guidelines and then pushing legislation that punishes private businesses who choose to require proof of vaccine, that’s some gall. https://t.co/h9Q3emqLL7",0,1,0
93,Pacheco,Async,50-75,Saying_that_you_can_still_get_covid_if_you_have_the_vaccine,Natural vs Vaccine Immunity for COVID: Is One More Effective? https://t.co/aTPyx6upai,0,0,
94,Pacheco,Async,50-75,Skepticism_over_the_covid_vaccine,@gntlmnking I gotta take the COVID vaccine to leave the UNITED STATES 🇺🇸 who doing that 🤨 NOT I 😒,1,0,1
95,Pacheco,Async,50-75,Vaccine_accessibility_and_distribution,Are there any snowbirds who plan on getting or have gotten the COVID-19 vaccine outside of Iowa? https://t.co/pEp9afWLbu,1,1,
96,Pacheco,Async,50-75,VaccineEfficacyDenial,"Am I the only one who thinks the Covid/vaccine stuff is like man made climate change? Question the science with science and get shut down. 

Fwiw, I'm not an anti-vaxer either.",1,1,
97,Pacheco,Async,50-75,VaccineRefusal,Just saw someone get their covid vaccine in Publix 😖 ah I don’t do needles and wasn’t expecting it,0,1,1
98,Pacheco,Async,50-75,VaccineRefusal,The ultimate Rorschach test of vaccine ethics https://t.co/G3uUCzZ8X5,0,0,
99,Pacheco,Async,50-75,VaccineSymptomReport,"VACCINE DAY: I have #POTS, #EDS, #MCAS, &amp; a genetic #kidney condition. Here’s how the 1st dose of #Moderna went for me. 

Reminder: The lead researcher at @VUMChealth says symptoms after the vaccine are a good thing. Means it’s working. That story: https://t.co/SeJeEdKKBz #WATE https://t.co/gT4Eg6vBBD",1,1,
100,Pacheco,Async,50-75,WhereToGetVaccine,"NEW: Indiana residents 70+ are now eligible to get the COVID-19 vaccine 

Appointments made at: https://t.co/diYU2auXkK @FOX19 https://t.co/JKle4KmHWk",1,1,
101,Pacheco,Async,50-75,WhereToGetVaccine,TONIGHT – NCCDD &amp; NCDSA to Host Down Syndrome COVID-19 Vaccine Presentation ... Read all about it now! Follow this link: https://t.co/Awu7jJJIj5 https://t.co/02pPuPoYDd,0,1,0
102,,,,,,,,
103,Pacheco,Async,25-50,AdvocateForVaccine,"Midwesterners, please take the covid vaccine like you would take someone's extra zucchini. Maybe you don't think you need it for yourself, so take it for the sake of your neighbor.",1,1,
104,Pacheco,Async,25-50,AdvocateForVaccine,"The line about the unvaccinated causing Covid virus mutations is nonsense.

I have natural immunity, and we don’t know if the vaccine actually encourages mutations.

Y’all are just guessing. It’s silly and dangerous, stop it.

Get the vaccine if it’s right for you.",1,0,0
105,Pacheco,Async,25-50,Against_covid_disbelievers,"Michigan boy dies in his sleep three days after getting vaccine https://t.co/cWhT73a95G via @nypost 

Reposting this for the people in the back…🧐 STOP 🛑 forcing the COVID vaccine 💉 on children. This has not been vetted nearly enough to be administering this to our kids.",0,0,
106,Pacheco,Async,25-50,AntiCovidVaccine,LITERALLY. they never said you are 100% protected. Just like the flu shot every year. You’re not guaranteed to not get it buuuut if you do get it you are gonna have way less severe symptoms. I had covid w the vaccine and had almost no symptoms as well. https://t.co/MFqfzQBpv3,0,0,
107,Pacheco,Async,25-50,AntiDemocrat,Members of Congress and their staff are exempt from Biden's vaccine mandate https://t.co/96eTm45ngI,0,1,1
108,Pacheco,Async,25-50,AntiRepublican,"@govkristinoem Every point you make is a lie, omission or misstatement on this issue of vaccine “mandates.” Saying no to federal funding will collapse South Dakota. Which seems your intention, as well as the impact of your “leading” covid-19 non-response in South Dakota. Suing @_monumenthealth? https://t.co/2XRXwMmQNK",1,1,
109,Pacheco,Async,25-50,BidenadministrationenforcingCOVIDvaccine,Quietly he got vaccinated back in January - loudly I will say it now:  GO GET VACCINATED!  ITS A VACCINE - NOT A VOTE! https://t.co/UM3g8e6V9U,0,0,
110,Pacheco,Async,25-50,BlameFauci,"So getting the “jab” (as it’s called in many circles because they literally are too afraid to write the words “Covid Vaccine”) is “the mark of the beast”, so what is it called when you take medication ACTUALLY meant for a beast??? https://t.co/oq39OaJ3af",0,0,
111,Pacheco,Async,25-50,Covidvaccineaftereffects,The only side effect I’ve gotten from the COVID vaccine is that I’ve pooped at least 8 times in the last 24 hours. Besides that I’m all good lol,1,1,
112,Pacheco,Async,25-50,COVIDvaccineonlyreducestheeffectsofCOVID,"@DontBeGoatish @LMcD34785232 @lindseyadler Not at all, most cases of covid after vaccine are JJ vaccinated people",0,1,0
113,Pacheco,Async,25-50,Criticising_political_figures,"@mr_rod_nelson @Lam37820433 @David_Lord_2020 3.8 million deaths from Covid, compared to 1,338 deaths after receiving a vaccine. You have better chance at winning the @TexasLottery",0,1,0
114,Pacheco,Async,25-50,Criticising_The_President,Fuck you President Biden and Kamala Harris you’re the cause of COVID-19. Going up because you let all these illegal aliens in our country with COVID-19 fuck you and fuck your vaccine,1,1,
115,Pacheco,Async,25-50,Criticising_The_President,"CDC director tells Bret Baier government 'looking into' potential COVID-19 vaccine mandate

https://t.co/bweOXFEyPu",0,1,0
116,Pacheco,Async,25-50,Encouraging_getting_the_vaccine,"JUST a common sense point:

FACT: Dr. Fauci &amp; CDC have BOTH REPEATEDLY SAID that Vaccinated people CAN &amp; DO carry, pass &amp; catch Covid. Vaccine only lessens severity.

So common sense says UNMASKED VACCINATED carries the SAME Community RISK as UNvaccinated.",0,0,
117,Pacheco,Async,25-50,Encouraging_people_to_get_the_covid_vaccine,My grandparents are signed up to get the Covid vaccine.,0,1,1
118,Pacheco,Async,25-50,Encouraging_people_to_get_the_covid_vaccine,"https://t.co/93x9jzm2Aw
Hopefully we can all get a vaccine soon so we can get back to normal? 
#voiceeffects #oldpeople #elderlypeople #vaccine #travel #drugs #orgy #trending #funny #jokes #comedy #catdad #funtimes #staysafe #covid #coronavirus #tiktok #SarcasticArepa https://t.co/cCFab6PO32",1,1,
119,Pacheco,Async,25-50,Experiences_of_vaccine_side_effects,I was able to get the COVID vaccine on Thursday I was picking up my Rx @Walgreens I saw a guy waiting for a shot So Rachel the Pharmacist over heard me asking if he was getting COVID vaccine She had 2cancels so she gave 1 to me. I’m 75 &amp; have health problems. No side effects! https://t.co/sGHQNZPM7z,1,1,
120,Pacheco,Async,25-50,FDA_Approval_of_covid_vaccine,".@AlbertBourla This pandemic will not be over until it’s over for everyone, everywhere. I’m calling on you, as @Pfizer CEO, to pledge your commitment to making sure the COVID-19 vaccine is distributed fairly &amp; equitably across the world. #OneWorldProtected",0,0,
121,Pacheco,Async,25-50,FDAapprovesCOVIDvaccine,"BREAKING NEWS ===&gt;&gt;&gt; The FDA is permitting the use of the Pfizer vaccine for ages 12 to 15 years old.

@NBCConnecticut #NBCCT 
https://t.co/ZUe2UJov9W",1,1,
122,Pacheco,Async,25-50,GettingtheCOVIDvaccine,"New COVID vaccine appointments available for 19808 at Acme 2682, 4365 Robert Kirkwood Highway, Wilmington, DE. Make your appointment at https://t.co/awKQxyEGRC",1,1,
123,Pacheco,Async,25-50,GotVaccinated,Breathing a sigh of relief as my father - participant in polio vaccine trial - finally got his covid 💉. 😅 - and got spot without me refreshing website for appointments q15 minutes. #vaccinerollout is happening! https://t.co/N8Ewqd4t7k,1,1,
124,Pacheco,Async,25-50,Information_about_covid_vaccine_availability_and_appointments,"@sparkles9890 We appreciate your message and concerns, RI Dept. of Health posted the following messages within the past 24 hours regarding Covid-19 vaccinations: “ People who live, work, or go to school in RI can now get 24/7 help scheduling a COVID-19 vaccine appointment on",1,1,
125,Pacheco,Async,25-50,Mentionsamayor,"For my friends and followers outside Seattle: some insight and humor from Seattle's @mudede
A local treasure. https://t.co/vrWfatfzNt",0,0,
126,Pacheco,Async,25-50,NegativeviewonTrump,"The good news is that we can get back to some semblence of normalcy according to this article from the NY Times from May 11, 2021.

CLICK BELOW
https://t.co/CdGhhEkvO4
CLICK ABOVE https://t.co/oZmSv2d5i3",0,0,
