bucket,Alvin,Maria,DJ,Prediction,Tweet,Theme,Anno1,Anno2,Anno3,Appropriate_Theme,Comments,match
50-75,1,0,1,1,Blame this on the unvaccinated because vaccine is not stopping the spread it ok to blame the vaccinated remember if you get the vaccine you don't need to wear a mask you won't get covid like they say your life is free from covid this is a nother lie just like the other lie https://t.co/CCSWoR55Ca,AntiVaxersSpreadMissinfo,,,1,ProVaxersSpreadMissinfo,,TRUE
50-75,0,1,0,1,It’s the unvaccinated people getting COVID then wishing they got the vaccine for me. I know y’all keep saying “vaccinated people can still spread the virus” but why y’all keep hanging around us then???,AntiVaxersSpreadMissinfo,,,1,,,TRUE
50-75,1,0,0,1,"@FrMatthewLC 1. Father, I completely agree with you on the morality of the 'vaccine'. However, there are those who fear long term health effects of an untested science.  The rubella vaccine is an actual vaccine with years of science behind it. Covid is an mRNA therapy which long term effects",AntiVaxersSpreadMissinfo,,,1,Other,VaxDanger,TRUE
75-100,0,1,0,1,Just because Bill Maher tested positive for Covid after being fully vaccinated doesn’t mean the vaccine &amp; the CDC is a lie. The vaccine for covid keeps us from severe symptoms and hospitalization. It’s not 100% coverage AND WE WERE ALL TOLD THIS. 👀,AntiVaxersSpreadMissinfo,,,1,,,TRUE
75-100,0,1,0,1,The misinformation around the COVID-19 vaccine is perplexing me.,AntiVaxersSpreadMissinfo,,,1,,,TRUE
75-100,1,1,,1,The things people actually believe about the COVID vaccine without doing any kind of research on the actual facts is wild. Please educate yourself!,AntiVaxersSpreadMissinfo,,,1,,,FALSE
top 25,0,0,,1,"@deadbrocks @kevinh8swriting @RandPaul Those weren’t my words, were they? The idea that your Covid diagnosis provides you everlasting immunity seems to be your logic, not mine. What I do know is the vaccine mitigates the spread and is 90% effective against becoming symptomatic &amp; hospitalization  to the point of death.",EmphasizeFreeChoice,,,1,VaxLessensSymptoms,,FALSE
top 25,0,0,,1,"@theCNewsDaily @loriar7346 @pcmancini @Ron_Nirenberg I mean covid has been around since the early 2000s so development of the vaccine isn't new. Make the vaccine take a very small amount of time, it's the afterwork of mass producing and paperwork that takes a while.",EmphasizeFreeChoice,,,1,Other,VaxSafe,FALSE
top 25,0,0,,1,@DanRather Agree!  And if you refused the vaccine and the mask and get COVID don’t expect science to help you. Stay home a deal with your illness all on your own. Leave the hospital for those who actually helped themselves and deserve the science based medical treatment,EmphasizeFreeChoice,,,1,Other,VaxFairness,FALSE
25-50,0,0,,1,@winklerlee1 @TaoistLoki @JennyMayG13 Omg Lee. I’m so sorry to hear that. Was that your first time to get COVID? Are you better now? I know you can get it with the vaccine but we were talking about the spreading of it. The CDC says different as does WHO so just wondering. I’m not a scientist so I go by the experts,EmphasizeFreeChoice,,,1,Other,ListenToExperts,FALSE
25-50,0,0,,1,"@sharkbyte911 @NicoleTarpley81 @sunshinecindylu @jameshmay55 @somewhereinfl1 @GovRonDeSantis All I can say to @NicoleTarpley81 is the FACT, the COVID vaccine is safe &amp; effective &amp; the FACT, herbs &amp; vitamins will not protect her or her family.  I suspect she isn’t listening to anyone who has spent decades working with vaccines.  She thinks she “knows better.”  Darwin.",EmphasizeFreeChoice,,,1,AltTreatmentsBad,,FALSE
25-50,1,0,1,1,"@Bluto51 I’m not anti vaccine by any means. Heck I owned a vaccination services company until around 2008. I’m just leery of a new kind of vaccine having not had enough time to accumulate safety data. I’ve had Covid. My kids have had it and didn’t even know, so I can’t justify it for us.",EmphasizeFreeChoice,,,1,Other,VaxDanger,TRUE
50-75,1,1,,1,@ERVicSli @LisaTow17296966 @VABVOX Those are essential functions of a job.  Getting a covid vaccine is a personal decision health decision. It’s not any of your employers business.  Personal health records are protected by law. Sorry but your analogy sucks,EmphasizeFreeChoice,,,1,,,FALSE
50-75,1,0,1,1,"@davidjohnsonpdx @MichaelDavSmith No, you’re conflating the reasons why the spike protein vax (it is not a COVID vaccine or even a vaccine) is a beneficial choice for many with what merits a mandate. As it is, the current efficacy level (measured in Israel, where they keep accurate data) wouldn’t justify an EUA.",EmphasizeFreeChoice,,,1,Other,VaxMandates,TRUE
50-75,0,0,,1,"@delmoi @elivalley @TuckerCarlson @NICKIMINAJ Dude wtf are you on about? You said I’m stupid. I said I’m Covid free, which isn’t so stupid, compared to being “vaccine best it’s the,” (lol at that buzzword). So unless you’re unvaccinated and still trying to convince others to get vaccinated, I wasn’t talking about you.",EmphasizeFreeChoice,,,1,Other,Can't tell,FALSE
75-100,1,1,,1,"@sgw94 I think with any vaccine that is offered, not just Covid, it’s a freedom of choice issue.",EmphasizeFreeChoice,,,1,,,FALSE
75-100,1,1,,1,"@iiscus @janet444 @17Lizlane @Jessicam6946 I must say, I am not against the COVID vaccine. I want truth, not mine, not yours, just truth. There are legitimate reasons for some people to decline this, as well as, other vaccines. I understand that &amp; do not appreciate the way that some people attempt to bully others. RESPECT",EmphasizeFreeChoice,,,1,,,FALSE
75-100,0,0,,1,"Yes, it is how do we incentivize, but it is a little more. Now that there is a vaccine, and now that it is extremely effective, why should our health insurance premiums pay the Covid medical expenses of people who refuse to be vaccinated for ideological reasons? https://t.co/6xjWj7qUFP",EmphasizeFreeChoice,,,1,Other,VaxFairness,FALSE
top 25,1,1,,1,"I’m so over people spreading misinformation about the covid vaccine &amp; I’m sick of those people using the phrase “my body my choice”. Yeah, it’s your body &amp; your choice if it doesn’t affect others around you (i.e. abortion). Also, we have always been required to get vaccines so??",FreeChoiceAbortion,,,1,,,FALSE
top 25,0,0,,1,How dare you. How fucking dare LT Gov of Texas blame Covid surge on Blacks. 20k students quarantine is base on your dumb ass Gov banning mandate to wear a mask and not allowing vaccine. Don't you use Black people as your scapegoat?,FreeChoiceAbortion,,,0,GovBadPolicies,,FALSE
top 25,1,1,,1,"I guess, “My Body, My Choice.” Is only valid for ending a life ?(Abortion) https://t.co/rD2CdNW8GP",FreeChoiceAbortion,,,1,,,FALSE
25-50,1,1,,1,"I’m so over people spreading misinformation about the covid vaccine &amp; I’m sick of those people using the phrase “my body my choice”. Yeah, it’s your body &amp; your choice if it doesn’t affect others around you (i.e. abortion). Also, we have always been required to get vaccines so??",FreeChoiceAbortion,,,1,,,FALSE
25-50,0,0,,1,"I have an idea for an alternative for those opposed to vaccine and mask mandates:

If you refuse the vaccine or to wear a mask, you and anyone you come into contact with will be jointly and severably liable for all COVID related medical costs of anyone you come into contact with",FreeChoiceAbortion,,,0,Other,VaxFairness,FALSE
25-50,1,1,,1,"Pro-lifers claiming ""My body. My choice."" when it comes to the COVID-19 vaccine is the most hypocritical shit I've heard of lately. 🤦‍♂️",FreeChoiceAbortion,,,1,,,FALSE
50-75,0,0,,1,"A vaxx is like a mask. My friends got vaxxed to prevent the spread as well as 2 protect themselves. We could still spread COVID &amp; we just wanna be done with this. No vaccine, no visit. My home. My rules. My rights. https://t.co/nQmoVZZizG",FreeChoiceAbortion,,,0,EmphasizeFreeChoice,,FALSE
50-75,0,0,,1,"@Jim_Jordan Why don’t you ask your buddy trump when we will get our civil liberties back. Had he not delayed revealing the seriousness of Covid, encouraged people to wear masks, and actually done something to move forward with distribution of a vaccine who knows where we would B",FreeChoiceAbortion,,,0,GovBadPolicies,,FALSE
50-75,0,0,,1,@VP Many women have to choose between losing their jobs and getting the Covid vaccine.,FreeChoiceAbortion,,,1,Other,Women and Covid,FALSE
75-100,0,0,,1,"@terryjtucker Now that’s a lot of bull!! You had your covid vaccine before the elderly! My time on the lines, we didn’t need anyone to slap our backs. Shame on you!",FreeChoiceAbortion,,,0,Other,VaxFairness,FALSE
75-100,0,0,,1,"So you can exercise your right to spread lies about Covid and the vaccine, but this lab can’t exercise their right to deny you based on your words and actions? They should bend the knee to your lies? Miss me with that mess.  Deal with it https://t.co/Blfft9G3XF",FreeChoiceAbortion,,,0,AntiVaxersSpreadMissinfo,,FALSE
75-100,0,0,,1,Did you also bring (what’s left of) your baby blanket to get your COVID vaccine bc you hate shots? Or are you normal?,FreeChoiceAbortion,,,0,IGotTheVax,,FALSE
top 25,1,1,,1,"@RepNancyMace @GOPLeader Your Demagogue FASCIST downplayed the deployment of the COVID vaccine.  He never undertook any substantial effort to promote vaccination. No events focused on it. NO mention of the vaccine publicly, he was so focused on injecting his election-fraud nonsense into his CULT. https://t.co/tG7v6NeZ3A",GovBadPolicies,,1,1,,,FALSE
top 25,1,1,,1,"🤓Alabama Hospital Defies Biden Administration, Ends COVID Vaccine Requirement for Staff via @WestJournalism https://t.co/CbeCqeey2E",GovBadPolicies,,1,1,,,FALSE
top 25,1,1,,1,"#military #CovidVaccine
#fascist 
EXCLUSIVE: Biden’s Military Puts West Point Cadets in Solitary Confinement If They Refuse COVID Vaccine via @nationalfile https://t.co/uvoZ6D4YUq",GovBadPolicies,,,1,,,FALSE
25-50,1,1,,1,"@GOPChairwoman Wronga 
The criminal Trump did everything in his power to undermine the response to COVID-19. Fortunately the vaccine wasn’t under Trump’s control to screw it up.

It’s truly despicable that you lie for a criminal like Trump. Start being decent and supporting decent candidates!",GovBadPolicies,,,1,,,FALSE
25-50,1,1,,1,"#military #CovidVaccine
#fascist 
EXCLUSIVE: Biden’s Military Puts West Point Cadets in Solitary Confinement If They Refuse COVID Vaccine via @nationalfile https://t.co/uvoZ6D4YUq",GovBadPolicies,,,1,,,FALSE
25-50,1,1,,1,"@marcorubio Your Demagogue FASCIST downplayed the deployment of the COVID vaccine.  He never undertook any substantial effort to promote vaccination. No events focused on it. NO mention of the vaccine publicly, he was so focused on injecting his election-fraud nonsense into his CULT. https://t.co/fy5fFEJuVP",GovBadPolicies,,,1,,,FALSE
50-75,1,1,,1,"@LindseyGrahamSC Your Demagogue FASCIST downplayed the deployment of the COVID vaccine.  He never undertook any substantial effort to promote vaccination. No events focused on it. NO mention of the vaccine publicly, he was so focused on injecting his election-fraud nonsense into his CULT. https://t.co/eLiiw4cwx7",GovBadPolicies,,,1,,,FALSE
50-75,0,1,0,1,I think President Biden should bring some Chick-fil-A team members to the table to help with COVID-19 vaccine distribution and drive-thru vaccination clinics. Every citizen will be vaccinated in less than a month. #MyPleasure #chickfilarocks,GovBadPolicies,,,1,,,TRUE
50-75,0,0,,1,"Biden says 90% of adults will be eligible for COVID vaccine in 3 weeks

https://t.co/PA7WVUhDS7",GovBadPolicies,,,1,VaxEffortsProgression,,FALSE
75-100,0,1,0,1,"Don’t be a ‘Dick.’😐

“Farrel was a vocal and staunch advocate against the #coronavirus vaccines, which he posted about on social media, once calling them ""bogus."" He also railed against figures like Dr. Anthony Fauci, whom he called a ""lying freak.""”
 https://t.co/Gu2auPpiG6",GovBadPolicies,,,1,,,TRUE
75-100,1,0,0,1,I just signed a @drsforamerica petition: President Biden: Bring the Vaccines to the People. Sign here: https://t.co/Zamv6JNEZU,GovBadPolicies,,,1,VaxEffortsProgression,,TRUE
75-100,1,0,0,1,@andrew_rudick @MegLavDC @Rschooley I would love to see Joe Biden say that the Feds will pay to help small businesses enforce mask or vaccine mandates—out of the Covid fund. He said they’re paying teachers’ salaries in states where the governors have refused to pay them if they mandate masks. A girl can dream…,GovBadPolicies,,,1,Other,VaxMandates,TRUE
top 25,1,1,,1,"@KarinaCheungTV , @ColleenNBC4, @bradjohansen thank you for telling this story. All of us at @southsidelearn appreciate the coverage, support of vaccination efforts for ECE | @nbc4i Childcare workers ready for COVID-19 vaccine https://t.co/CG5znEXHJ4",GovGoodPolicies,,1,1,,,FALSE
top 25,1,1,,1,"@thehill I am ecstatic that this vaccine has actually made such strides. Thanks so much President Trump,  for all your hard work and determination to fight COVID-19! #TrumpVaccine #Trump2024",GovGoodPolicies,,,1,,,FALSE
top 25,0,1,0,1,@UIHealth is offering COVID-19 VACCINE to patients &amp; general public @CU1Arena! A thousand vaccines per day!💉💯BIG SHOUT OUT to all amazing volunteers &amp; staff who are making this historic moment possible! @thisisUIC @UICHonors @UICDom @UICnursing @UICPharm @UIClife @UICnews https://t.co/5yyhgzd7DP,GovGoodPolicies,,,1,,,TRUE
25-50,1,1,,1,"Jersey City’s COVID-19 response under @StevenFulop’s leadership:

🧪 1st NJ city to offer free testing
😷120K+ free masks mailed to residents
💵 Direct cash relief for residents + businesses
💉 Vaccine centers in all wards and free Uber for seniors https://t.co/t33uEsZj5F",GovGoodPolicies,,,1,,,FALSE
25-50,0,1,0,1,"@ImperialFPO @10amMargarita @CBSNews I haven't heard about that, but I'm glad we have a vaccine. Most scientist said it would be impossible.  I've listen to several news sources today and it hasn't came up. Thanks. https://t.co/0Va5I655cX",GovGoodPolicies,,,1,,,TRUE
25-50,0,0,,1,"Menga &amp; Rinaldi are among a minority of Brazilians who will pay for a COVID-19 vaccine if an association of private clinics can close a deal. President Jair Bolsonaro, under fire for his government’s handling of the pandemic, has promised not to interfere.
https://t.co/HxubJULiVp",GovGoodPolicies,,,1,GovBadPolicies,,FALSE
50-75,1,1,,1,"Got my COVID vaccine, thank u Biden! 1 of 2 doses down! ☺️ @moderna_tx @POTUS @VP https://t.co/mJOnBta6AZ",GovGoodPolicies,,,1,,,FALSE
50-75,0,0,,1,New #CovidVaccine commentary with Shewhart Charts out today from @rocco_perla @lloydprovost &amp; @GJParry03 https://t.co/CUjexqF52d #improvementscience,GovGoodPolicies,,,1,Other,VaxDiscussion,FALSE
50-75,0,0,,1,"💉 After graduation in May, Maddy Stone began working on a COVID unit. This weekend, she proudly received her COVID vaccine! 

“Working on a covid unit has opened my eyes to a new world of infection prevention and control. I’m so glad I get to be a part of that.” https://t.co/DJGNEmSsrP",GovGoodPolicies,,,1,IGotTheVax,,FALSE
75-100,0,0,,1,"@JonFlan Thanks.

I know I’ve invoked Carl Sagan’s ‘The Demon-Haunted World’ before—but your mention of the global climate catastrophe and vaccine/COVID denialism in particular reminded me of this passage (tweeted last week): https://t.co/QVQpHRCMwD",GovGoodPolicies,,,1,Other,VaxDenialism,FALSE
75-100,1,1,,1,"This is terrific news from The @WhiteHouse. President Joe Biden is demonstrating what competence and compassion can bring to the fight against #COVID19. As we all wait for the vaccine, continue to #WearAMask and #SocialDistance. https://t.co/22jEEJbDTH",GovGoodPolicies,,,1,,,FALSE
75-100,0,1,1,1,"3 Rio Grande Valley congressman officially part of the 117th Congress. 

“I can tell you that on Jan. 20, when President Biden takes over, that things will be different."" @krgv #rgv 
https://t.co/L7fk6AyHQ8",GovGoodPolicies,,,1,,,TRUE
top 25,1,1,,1,Happy to have my 2nd Covid vaccine shot done!,IGotTheVax,,,1,,,FALSE
top 25,1,1,,1,☺️ I got an appointment to get my COVID vaccine!!,IGotTheVax,,,1,,,FALSE
top 25,1,1,,1,So grateful to have received my 1st dose of the Covid-19 vaccine today! #maskup #vaccine #CovidVaccine @pfizer,IGotTheVax,,,1,,,FALSE
25-50,1,1,,1,I got my first Covid vaccine dose today 🙃,IGotTheVax,,,1,,,FALSE
25-50,1,1,,1,First round of the covid vaccine today 🤷🏻‍♀️,IGotTheVax,,,1,,,FALSE
25-50,1,1,,1,My granny just got her first dose of the Pfizer Covid Vaccine,IGotTheVax,,,1,,,FALSE
50-75,1,1,,1,"Let's get it. Got my 1st dose of the COVID-19 Vaccine, baby. One step closer. Put some 👏on the post. https://t.co/VzYLscR3wc",IGotTheVax,,,1,,,FALSE
50-75,1,1,,1,I GOT THE FIRST DOSE OF MY COVID VACCINE TODAY 💪🏽,IGotTheVax,,,1,,,FALSE
50-75,1,1,,1,Getting my 1st COVID-19 vaccine dose today,IGotTheVax,,,1,,,FALSE
75-100,1,1,,1,Got my first Covid vaccine today 🙂🙂,IGotTheVax,,,1,,,FALSE
75-100,1,1,,1,I got the COVID-19 vaccine! https://t.co/1Q5mPiPQQK,IGotTheVax,,,1,,,FALSE
75-100,1,1,,1,All 4 of my grandparents have had the first dose of the Covid-19 vaccine!!! 🥺🎉💙,IGotTheVax,,,1,,,FALSE
top 25,1,1,,1,"One Fact For Sure iS That Everyone Responds Differently To Covid &amp; This Vaccine! ANOTHER One iS People Who Are Vaccinated Are Still Getting This ""Virus"" So Why Are People Getting Upset With Individuals Who Don't Want To Get Vaccinated ? Everyone Has Their On Views On iT!",ProVaxersSpreadMissinfo,,,1,,,FALSE
top 25,0,1,0,1,The @CDCgov has been lying to healthcare workers since covid started. Idk why we should listen to them now about vaccine requirements🤷🏻‍♂️,ProVaxersSpreadMissinfo,,,1,,,TRUE
top 25,1,0,1,1,"@KVOA Why aren’t we seeing any in-depth analysis as to the GOP’s end game with this whole anti Covid-19 protection and vaccine gambit?

Do they own stock in treatment companies?  Are they following Trump’s orders?  Do they get donations from anti-Vaxxers?

What’s the scoop?",ProVaxersSpreadMissinfo,,,1,AntiVaxersSpreadMissinfo,,TRUE
25-50,1,0,1,1,"People n AMERICA, am mad at the media, especially at #MSNBC, #CNN, #BET, #NAACP and all local news media around the United States. People n AMERICA it comes to find out that a Black Woman helped to invent the Vaccine for Covid-19, but they keep it hid from the Public. Why?",ProVaxersSpreadMissinfo,,,1,Other,CreditToBWScientists,TRUE
25-50,1,0,1,1,"Not it isn't an affront.

What is an affront is allowing vaccine resistors to spread covid around and killing more.

Wait, maybe those refusing vaccine passwords like yourself are wanting people to die. https://t.co/mxXNS6hwSo",ProVaxersSpreadMissinfo,,,1,Other,CovidDanger,TRUE
25-50,0,0,,1,"It should be noted that the less than 2300 deaths reported in persons who received the COVID vaccine were not related to the vaccine according to autopsy &amp; medical reports. Allergic reactions are 2-5 per million. The pandemic is ppl just reading headlines, not facts.",ProVaxersSpreadMissinfo,,,1,AntiVaxersSpreadMissinfo,,FALSE
50-75,0,0,,1,This is getting to the point of this Covid-19 Vaccine is Unpredictable,ProVaxersSpreadMissinfo,,,1,Other,VaxDiscussion,FALSE
50-75,0,0,,1,I remember when traveling to several African countries I had to show proof of yellow fever vaccine on what is called an international vaccine book. Why is everyone freaked out by a Covid vaccine passport?,ProVaxersSpreadMissinfo,,,1,Other,VaxPassport,FALSE
50-75,0,0,,1,Funny how y’all had EVERYTHING to say about people not vaccinating their kids awhile ago and now y’all the same ones who don’t wanna get the Covid vaccine. 💀 what happened to that energy?😂,ProVaxersSpreadMissinfo,,,1,Other,VaxDenialism,FALSE
75-100,0,0,,1,"@chris_notcapn Y’all heard about the German nurse who injected saline opposed to the vaccine??? 

https://t.co/qBafI0eI5z",ProVaxersSpreadMissinfo,,,1,Other,VaxDenialism,FALSE
75-100,0,1,0,1,"@Max9line I just got back from twitter jail. Apparently posting the truth about covid and the deadly vaccine is misleading...  What's misleading is China, Biden, Fauci, the CDC and the WHO !",ProVaxersSpreadMissinfo,,,1,,,TRUE
75-100,0,1,0,1,What Is the Reason for the Organized Massive Deception to Hide the Adverse Effects of the Covid Vaccine? https://t.co/rtW86pRluP,ProVaxersSpreadMissinfo,,,1,,,TRUE
top 25,0,0,,1,"2nd Covid #vaccine in my arm. Come on immune system, do your thing!",UnjustifiedFearOfVax,,,1,IGotTheVax,,FALSE
top 25,1,0,1,1,"Hey.      I just found out from my doctor I will need to take vaccine boosters for the Covid.  everyone !
Now I have to take 2 shots a year !       Can someone investigate how this happen?  #trump",UnjustifiedFearOfVax,,,1,Other,,TRUE
top 25,1,1,,1,"Pray for Missouri. 
Covid-19 is real and it can come knocking at anyone's door.
Young people discuss your vaccine hesitancy with your primary care physician. 
#DontFightScience",UnjustifiedFearOfVax,,,1,,,FALSE
25-50,0,1,0,1,"#vaccinated and positive for COVID. Without the #vaccine I’d probably feel a whole lot worse. Being sick sucks.  #Quarantine sucks. #GetVaccinated . Stop the spread. Stop the #variants . This ain’t over yet. 

Follow for more cartoons. 
#webcomic #webcomics #cartoon #comics https://t.co/v0UzTrirBi",UnjustifiedFearOfVax,,,1,,,TRUE
25-50,0,0,,1,"For those that need to hear this....THE VACCINE DOES NOT PREVENT YOU FROM GETTING COVID. 
It keeps you from becoming severely ill if you do catch it. It's so fucking simple. Yeesh. 
#GetVaccinatedNow 
#CovidVaccine",UnjustifiedFearOfVax,,,1,VaxLessensSymptoms,,FALSE
25-50,0,0,,1,Well said @TalamantesDr in this @CalMatters article! @MiMentorOrg #Covid #Covid19 #Pandemic #VaccinesWork #Vaccine #letsgetvaccinated https://t.co/EXaC0xpUwF,UnjustifiedFearOfVax,,,1,Other,VaxWorks/VaxStopSpread,FALSE
50-75,0,0,,1,"#Covid #vaccine #2. Summer, here I come! #Pfizer",UnjustifiedFearOfVax,,,1,IGotTheVax,,FALSE
50-75,0,1,0,1,"The #COVID vaccine is widely available, and people who get their shots are remarkably well protected. People who don’t are helping the virus spread. #GetVaccinated",UnjustifiedFearOfVax,,,1,,,TRUE
50-75,0,0,,1,"Get vaccinated today! https://t.co/jZWiR2a91p

#FishFinest https://t.co/Ptf0w69Bti https://t.co/NBTaFlPRM8",UnjustifiedFearOfVax,,,1,Other,CallsToGetVax,FALSE
