theme	tweets
BellbrookSugarcreekConservativeElections	"Official Call 
Call is hereby made for the County Central Committee Meeting of the Republican Party of San Juan County to be held Thursday, January 13, 202 at 6:00 PM at the Oil & Gas Equipment, 8 Road 350, Flora Vista, NM 87415 to:
Consider contests to delegates from the Precinct Caucuses to the Pre-Primary County Convention, and
Consider any other proper business
And
Call is hereby made for the Pre-Primary County Convention of the Republican Party of San Juan County to be held Thursday, January 13, 202 at 6:30 PM at the Oil & Gas Equipment, 8 Road 350, Flora Vista, NM 87415 to to:
Elect Delegates to the Republican State Pre-Primary Convention, to be held Saturday, February 26, 2022, 9:00 AM in Ruidoso, New Mexico.

Submitted by, 
Rhonda Stockert 
Chairman, Republican Party of San Juan County 

Also, by attending this Convention, you will get to meet several of the candidates running locally and statewide races."
ConservativePoliticsEvents	CREATORS: Join the ACE Creator Collective and get PAID to create content for the climate movement! 📱🌎. 
ConservativePoliticsEvents	"There's a war on our industry and jobs.

There's a war on our southern border.

There's a war on America. 

Come hear decorated Veteran, former U.S Rep., past Chairman of the Texas GOP, new Grandpa, energy independence advocate, and candidate for governor of the great State of Texas, Lieutenant Colonel (Ret.) Allen West.

Wednesday, August 25th
6-9 pm
Odessa, Texas

Doors open at 6.
Good ol' West Texas BBQ served at 6:30.

Tickets and VIP tables at
https://www.eventbrite.com/e/oil-gas-workers-association-welcomes-lieutenant-colonel-allen-west-tickets-166411923543. "
TPUSAAd	Weekly video outreach with the Chairwoman. The views expressed are her own with a conservative lens,
TPUSAAd	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses NIH admitting to funding labs in Wuhan, more employees are standing up to tyrannical mandates and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Alex Clark, Isabel Brown, Garrett Powell & CSU student Gabby Reichardt who will talk about The View, Colorado State University, play Real Deal or Fake News and more!

Watch Benny on the Block with Benny Johnson as he interviews Floridians about what their favorite President Biden moment is!

Stick around for POPlitics with Alex Clark as she dives into politician Paris Hilton, the 911 dispatch center disaster in Denver, a pop-culture rewind and more!

We will wrap up the show with Debate Night with 
Charlie Kirk as he squares off against self-proclaimed Democratic Socialist professor Ben Burgis to debate why Conservative populism, and limitations on governmental and corporate power, is key to protecting our freedoms."
DomesticOilAndGasProduction	"After postponing last year’s show – the first disruption since World War II – because of the COVID-19 pandemic, the Permian Basin International Oil Show will open its gates Oct. 19-21.

https://www.mrt.com/oilreport_specialedition/article/Oil-Show-organizers-ready-welcome-back-industry-16543654.php. "
DomesticOilAndGasProduction	Biden is taking the drastic step of tapping the national strategic petroleum reserves in an effort to lower gas prices. How did we get to this point? Just ask sleepy Joe and his cackling cronies. https://bit.ly/3kZp8ra. 
ClimateChange	"Photojournalist Christian Monterrosa visited the shorelines of Huntington Beach, CA this past weekend to document the aftermath of a major oil pipeline leak off the coast of Orange County. 

Officials have estimated that between 24,700 and 131,000 gallons of oil spilled into the Pacific Ocean."
ClimateChange	BIG Water News: OpenET, a new online platform that uses satellites to estimate water consumed by crops, launched today, making critical data for water management widely available in 17 western states amid record drought.
Pipeline	"Our work right now is about holding our leaders accountable. And the Biden administration is maintaining the Trump administration's position to allow dirty oil to flow through the Dakota Access Pipeline. 

Tell President Biden: DAPL needlessly endangers the Standing Rock Sioux Tribe, our waterways, climate, and future -- and it must be shut down immediately >> https://sc.org/3e4sPsi. "
Pipeline	"BREAKING: The Mountain Valley Pipeline wants to CUT through Southwest Virginia’s pristine waterways for profit. They have a history of violations and have already paid millions in fines. 

The Water Control Board is voting on the Mountain Valley Pipeline’s permits soon. Tell them to say NO to pollution permits for Southwest Virginia!"
BuildBackBetterAct	"Climate change has reached a crisis point, and Congressman Peters has a chance right now to pass a plan that takes it on. This is our moment.

Text HISTORY to 434-266-8464 and ask they pass the Build Back Better Act."
BuildBackBetterAct	"BREAKING: Congressman Andy Harris just voted NO on historic climate legislation that would:

- Bring down energy costs by $500 per year for families
- Create millions of good-paying, clean energy jobs that don’t require a college degree
- Tackle pollution that’s driving extreme heat, wildfires, and floods

When it mattered most, Congressman Harris sided with corporate special interests and let Maryland families down."
AntiGridDeregulation	"The Lignite Council recently recognized legislative leaders for their work during the 2021 North Dakota legislative session. Five legislators received the Lignite Luminary distinction for sponsoring two or more priority bills to support the coal industry. More than 100 legislators were recognized as Lignite Champions for voting in favor of all of the priority bills.
 
The 2021 Lignite Luminaries are:

Senator Jessica Bell (R-33) Beulah
Senator Rich Wardner (R-37) Dickinson
Representative Jeff Delzer (R-8) Underwood
Representative Chet Pollert (R-29) Carrington
Representative Craig Headland (R-29) Montpelier
 
Read more about the recognition program at: 

https://lignite.com/uncategorized/legislative-champions-of-the-lignite-industry-recognized/. "
AntiGridDeregulation	When Americans can’t afford heating in the winter, people die. Every American deserves low-cost natural gas to survive winter.
LiberalTaxHikes	Inflation is already skyrocketing, and now Sen. Hickenlooper wants to put our economy, national security, and environmental progress at risk? There are hundreds of thousands of jobs at risk in Colorado alone, and a natural gas tax will be ineffective against the important issue of methane emissions. Call Sen. Hickenlooper NOW at (202) 244-5941!
LiberalTaxHikes	Inflation is already skyrocketing, and now Sen. Hickenlooper wants to put our economy, national security, and environmental progress at risk? There are hundreds of thousands of jobs at risk in Colorado alone, and a natural gas tax will be ineffective against the important issue of methane emissions. Call Sen. Hickenlooper NOW at (303) 244-1628!
NativeAmericanCulturalPreservation	A Conversation with the Four Living Standing Rock Sioux Tribe Chairmen. 
NativeAmericanCulturalPreservation	"📣 This week is a busy one! We have two live upcoming events, and we want you to join us! 

🌎 First, we have our Beyond #NoDAPLE: Women of the Movement conversation between Rep. Ruth Buffalo (Mandan, Hidatsa, and Arikara Nation), Tara Houska (Couchiching First Nation), Tokata (Future) Iron Eyes (Standing Rock Sioux Tribe), and Fawn Wasin Zi (Standing Rock Sioux Tribe). As activists, advocates, politicians, and teachers, these Women of the Movement will discuss their leadership, activism, current roles, and future plans. 

⌚️Thursday, May 20TH, 2 PM PDT: https://fb.me/e/RXMLppau

🔥Then on Friday our General Manager, Joseph McNeil Jr., will join Jane Fonda, Colette Pichone Battle, and Tim Donaghy for Fire Drill Fridays where they will discuss the ways in which fossil fuel companies harm BIPOC communities, and how Biden and Congress can take historic action to end fossil fuel racism.

⌚️Friday, May 21st, 11 am PDT: https://fb.me/e/2aEUDX5wk. "
OilTheft/ClimateLeader	"On August 15, one of our drivers also reported #oiltheft at King's Restaurant in Mountain Top, PA, where thieves had broken into and robbed these two Buffalo Biodiesel vats, tearing off their locks and metal screens—the third case of #oiltheft reported in Mountain Top over the weekend. We recycle used cooking oil to make environmentally sustainable biofuel, but it’s being targeted by interstate crime rings. Please report any information to Fairview Township Police Department and help stop near-constant oil theft in the area.
The Scranton Times-Tribune  Eyewitness News WBRE WYOU  FOX56 WOLF TV  Times Leader  WNEP-TV  WILK Newsradio. "
OilTheft/ClimateLeader	"Yesterday on August 19, one of our drivers reported #oiltheft at Chute Gates in Terryville, CT, where thieves had broken into this Buffalo Biodiesel vat, cutting off the lock to rob it. We recycle used fryer oil to make sustainable biofuel, but it’s being targeted by interstate organized crime rings. Please report any info to the Plymouth Police Department. 
The Register Citizen Republican American News 12 Connecticut NBC Connecticut WFSB - Channel 3 Eyewitness News Connecticut Public Hartford Courant Record Journal Hour Newsroom. "
NaturalGasIncentive/CleanEnergyPetition	"Residents of Addison County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!"
NaturalGasIncentive/CleanEnergyPetition	"Residents of Chittenden County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!"
CleanEnergyProjects	Protect affordable energy and consumer choice in New York! Sign the petition today.
CleanEnergyProjects	Protect affordable energy and consumer choice in New York. Sign the petition today!
ColoradoAirQuality/SupportingBlackWomen	"Congratulations Cleo Parker Robinson!! CBWPA's 43rd Annual Tribute to Black Women ""Legend"" Honoree! 

Join us Saturday, October 9th, as we celebrate Cleo and our 2021 honorees! Visit our website for event information: https://www.cbwpa.org/43rd-annual-tribute-to-black-women-luncheon/

CLEO PARKER ROBINSON is founder and artistic director of the nearly 51-year-old Denver-based artistic institution, CLEO PARKER ROBINSON DANCE (CPRD), leading a professional Ensemble, a second company (Cleo II), a Youth Ensemble, an Academy of Dance, an International Summer Dance Institute, a 240-seat theatre which bears her name, and numerous community outreach programs throughout Colorado, nationally, and internationally. She is the recipient of honors and awards from corporate, civic, community, and artistic entities world-wide, and is continually called upon by a myriad of organizations and performance venues to bring her Ensemble for performances, teaching residencies and motivational workshops. A master teacher/choreographer and cultural ambassador, she and her Ensemble have performed nationwide and internationally throughout Europe, the Caribbean, Asia, and the African continent, with their most recent international tours taking them to Bogota, Colombia in the Spring of 2019 and Mexico in Fall 2019.

Ms. Parker Robinson’s numerous awards and honors include the Colorado Governor’s Award for Excellence (1974), Denver Mayor’s Award (1979), induction into the Colorado Women's Hall of Fame (1989) and the Blacks in Colorado Hall of Fame (1994). Recognized in Who’s Who in America Colleges and Universities she holds an Honorary Doctorate from Denver University (1991), an Honorary Doctorate of Humane Letters from Colorado College (2003), and an Honorary Doctorate of Public Service from Regis University in Denver (2008). The University of Denver honored her with an Alumni Award in May of 2021, and in June of 2021, she is receiving a 2020 Honorary Degree, Doctor of Humane Letters, Honous Causa from CU Boulder.  
In 1991, Ms. Parker served on the task force for the creation of a permanent location for the Denver School of the Arts (DSA), Denver’s first performing arts magnet school, and was subsequently honored In September 2017 at their 7th Annual Fall Gala, in recognition of her long-term commitment to excellence in arts education. She is also co-founder of the National Bahamian Dance Company, based in Nassau.   
In 2011, Ms. Parker Robinson was voted an Honorary Lifetime Trustee of the Denver Center for the Performing Arts, in recognition of her longtime commitment and lasting impact on the Center.  In June 2017, she became the recipient of the highly prestigious DanceUSA Honor Award and in September 2017, the Randy Weeks Arts Leadership Award from the Denver School of the Arts. 

Ms. Robinson has served on NEA panels on Dance, Expansion Arts, Arts America, and Inter-Arts panels for the USIS. Ms. Robinson is a regular panelist for the National Foundation for Advancement in the Arts as well as other national task forces, boards and committees in the arts arena. In April 1999, she was appointed by then President William Jefferson Clinton, with Senate confirmation, to serve for four years on the National Council on the Arts, a 14-member panel advising the Chairman of the NEA on agency policy and programs, and reviews and making recommendations to the Chairman on grant applications. 

Since 2011 and 2012, Ms. Parker Robinson has returned to her greatest passion, the art of the choreographer, creating and presenting two new full-length works, “Dreamcatchers: The Untold Stories of the Americas” and the riveting world premiere of her “Romeo and Juliet”, which was first presented in collaboration with the Colorado Symphony Orchestra. Her work “On the Edge…  Reaching to Higher Ground” premiered in October of 2014 in answer to resurging racial and human rights infractions both nationally and internationally. In Spring 2017, audiences were thrilled with the re-staging of two of her works melding the worlds of classical and jazz composition with the power, passion and beauty of modern dance – “Romeo and Juliet” and “Porgy and Bess”. Fall 2017 saw the premiere of her “Copacetic: A Tribute to Jonathon “JP” Parker”, honoring her father. In the Spring of 2018, she premiered “Lark Ascending” in collaboration with the Boulder Philharmonic. Her “Rhapsody in Black”, created in collaboration with CPRD Associate Artistic Director, Winifred R. Harris, premiered at the Newman Center for the Performing Arts, University of Denver.  In January 2019, in collaboration with the Denver Brass, she choreographed an innovative interpretation of Bernstein’s “On the Town” and Spring 2019 saw the premiere of her collaboration with the Colorado Ballet, entitled “The MOVE/ment” as part of the Tour de Force performance series at the Ellie Caulkins Opera House, Denver Center for the Performing Arts. Her most recent choreographic project brought her to UMKC in Kansas City to set a work on the students of CPRDE alum Gary Abbot, entitled “Check Cashing Day” in tribute to the jazz genius of Bobby Watson and Milt Abel. She is currently working on a new work entitled “Standing On the Shoulders” commissioned by the Vail International Dance Festival for premiere in August 2021.  
   
Cleo Parker Robinson continues to be dedicated to celebrating the human experience and potential through the Arts and Education. Her life-long vision of “One Spirit, Many Voices” remains strong and steadfast, expanding to welcome, embrace, and sustain all people."
gun rights	"🚨BREAKING FROM CNN: HOPES FOR DC STATEHOOD RISE WITH DEMOCRATS BACK IN POWER 🚨

This is HUGE. If DC becomes our 51st state, we would add TWO Democrats to the U.S. Senate!

Our Democratic Majorities would be locked in for years to come!

𝐁𝐮𝐭 𝐰𝐞 𝐧𝐞𝐞𝐝 𝐚 𝐬𝐮𝐫𝐠𝐞 𝐨𝐟 𝟑𝟓,𝟎𝟎𝟎 𝐬𝐢𝐠𝐧𝐚𝐭𝐮𝐫𝐞𝐬 𝐛𝐲 𝟗𝐀𝐌 𝐭𝐨𝐦𝐨𝐫𝐫𝐨𝐰 𝐭𝐨 𝐦𝐚𝐤𝐞 𝐖𝐚𝐬𝐡𝐢𝐧𝐠𝐭𝐨𝐧, 𝐃.𝐂. 𝐚 𝐬𝐭𝐚𝐭𝐞.

This is Mitch McConnell’s worst nightmare! He’s working as hard as he can to BLOCK D.C. Statehood!

So we need your help right away: 𝐒𝐢𝐠𝐧 𝐭𝐡𝐞 𝐩𝐞𝐭𝐢𝐭𝐢𝐨𝐧 𝐭𝐨 𝐦𝐚𝐤𝐞 𝐖𝐚𝐬𝐡𝐢𝐧𝐠𝐭𝐨𝐧, 𝐃.𝐂. 𝐨𝐮𝐫 𝟓𝟏𝐬𝐭 𝐬𝐭𝐚𝐭𝐞 𝐧𝐨𝐰 >>. "
gun rights	"Has anyone else noticed it has been nearly a YEAR since Socialist Judge Lina Hidalgo issued her Red Level Threat warning for Harris County on COVID-19 and she has STILL has not reassessed this threat level despite two peaks in the rear view mirror… One of which was called out by myself and Senator Creighton as far back as in a July 2020 press release (https://bit.ly/3blayWa) speaking out against another lockdown of the Texas economy and needless disruption of Texas businesses! 

Now Fast Forward to today, past another smaller peak too and at least Fox 26 news, Greg Groogan is  asking the question of ""Lockdown Lina"" when is she going to relent in this video..!

Several of panelists including Bob Price and Gary Polland in this Fox News jump in on the debate in this ""What's your Point"" segment (https://bit.ly/3eFrtEM).

My bill SB1616 ensures protection on the overreaching local orders & changes criminal penalties to civil in local emergency management, like a violation of a local mask mandate. We need protections from political subdivisions using emergency powers to impose sweeping restrictions and criminal penalties on everyday Texans, like what Judge Hildago would still do today, close non-essential business, allowing NO in classroom student education, and I'm sure she still would advocate the release of over 4K felony inmates from the Harris County jail..!!

Watch the video and decide for yourself if SB 1616 is needed! Sen PB. "
climate action	"BREAKING NEWS:
Today I had a long conversation with a major gubernatorial candidate who is considering implementing our ""VOTE NO"" position on Senior Citizens and property tax, into his platform for Governor.

We will be advocating for State law, which upon turning  65 years old, you will no longer pay ANY PROPERTY TAXES ON THE HOME YOU LIVE IN!

ZERO!

Those in political power in the State of Ohio are taking notice of what the VOTE NO Movement is doing in leading taxpayers to oppose these never-ending property taxes on our homes and to finally address the funding issues of our schools.

The WAR on our Seniors must end!

It is time to end the gentrification of our communities. We need to protect our Senior Citizens, who are the bedrock of our communities, and keep them living in their homes. We need to keep them living in OHIO!

Bellbrook-Sugarcreek is leading the way for all of Ohio! 

The VOTE NO Movement is doing what the naysayers thought was impossible. 

Please join the Bellbrook-Sugarcreek Property Tax Revolt of 2021 and protect our Senior citizens and families who are struggling.

Change is coming, VOTE NO on May 4th!"
climate action	Governor Wolf continues to abuse his executive powers every single day. Sign the petition below to tell the governor that you oppose his unconstitutional actions and support the rule of law.
renewables	Shutting off American #oil and #natgas simply moves production to other nations, making them stronger while denying good jobs and energy as well as economic and national security to Americans.
renewables	Republicans and “Big Lie” conservatives have already proven that they are ready to overthrow the government to maintain power. The question that remains is if everyone else is willing to stand aside and let them.
inflation	Who loves climate hysteria? China does! And so do American universities. Why, you ask? Because China is pumping billions of dollars into America’s elite academic institutions. A sizable portion of that cash goes to “research” into the “climate crisis” narrative. China gets stronger as the  presumed climate crisis encourages western nations to voluntarily make their energy infrastructure weaker. Along the way, universities are sent loads of cash tied to the Communist Chinese government. Aren’t you a little suspicious of CCP motives? Are universities?
inflation	ENERGY ACTION ALERT: Protect New York’s energy future. Sign the petition in support of natural gas and consumer choice.
anti-woke	WATCH: NYGOP Chairman Nick Langworthy Delivers The Official Republican Response to Governor Kathy Hochul's 2022 State of the State. #SOTS2022. 
organized cooking oil theft	"On August 14, our driver also reported #oiltheft at Billy's Pocono Diner in Tannersville, PA, where thieves had broken into and robbed this Buffalo Biodiesel vat, bending the screen to steal oil. We recycle used cooking oil to make sustainable biofuel, but interstate crime rings are targeting it illegally. Please report any information to the Pocono Township Police Dept and help us end this ongoing crime wave.  
WFMZ  lehighvalleylive.com  The Morning Call The Scranton Times-Tribune  Eyewitness News WBRE WYOU  The West End Reporter  Pocono Record  Times News Lehighton  The Valley Ledger  FOX56 WOLF TV  Times Leader. "
indigenous activism	Weekly video outreach with the Chairwoman. The views expressed are her own with a conservative lens,
pro oil and natural gas	Sen. Brewster voted to stall PA’s participation in a program that would limit pollution and boost economic recovery.
TPUSA	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses what the Milwaukee DA said about the Christmas parade murderer, China plans to establish a Naval Base in the Atlantic Ocean, the White House urges Ukraine defense amid Hunter Biden and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Morgan Zegers and GETTR Senior VP of Marketing and Global Engagement, Kaelan Dorr who will talk about social media and free speech, big tech collusion, Beijing Olympics and more!

Freedom Papers host Morgan Zegers covers Federalist 8, detailing Alexander Hamilton's continued warning & advice on how best to prevent conflict between states, why and how a union exists & the consequences that hostility can bring.

We will wrap up the show with POPlitics with Alex Clark as she dives into the shocking CIA cover-up, footage of pro-abortion activists outside The Supreme Court, 'Freak of the Week' and more!"
conservative school board	"""The Sky is falling! Mayday...Mayday is FAKE!""
🛑 With many staff being paid $80,000.00, to almost $100,000.00 dollars, plus extravagant benefits that are no longer in the private sector, it has created a budget crisis. The crisis is brought about by the school administration that refuses to live within the budget given to them by the taxpayers. 

🛑 They only want more, more, more, having become entitled. Ohio property owners are overtaxed. Sugarcreek and Bellbrook property owners are feeling the squeeze.

🛑 To restore financial responsibility to schools VOTE NO. They are already saying once this tax is passed they will want more increases every few years, as soon as 2024!
 
It is an abuse of power and it needs to be stopped.  ⛔ 

S.O.S.....Save our Seniors....VOTE NO on May 4th!"
