text	name
REPORT: University of Illinois Urbana-Champaign's recent study details how the closure of two nuclear plants in Illinois would send economic and environmental shockwaves through the state. Read why the premature closures of nuclear power plants impact everyone from students in surrounding communities to the hardworking farmers who put food on our tables:  http://bit.ly/ILreport #ILNeedsNuclear. 	CelebrateBuildBackBetter
"America’s cement manufacturers are committed to reaching carbon neutrality across the cement and concrete value chain by 2050. 
 
Find out more about the industry’s plan at shapedbyconcrete.com."	CarbonEmissionReduction
"To decolonize the fight for environmental justice, we must prioritize equity for communities most harmed (historically and presently) by colonization. Here are a few ways you can start to decolonize your environmental justice advocacy.

#EnvironmentalJustice #BIPOCCommunities #Decolonization #ClimateAction #ClimateActionNow #ClimateJustice #EnvironmentalJustice #ClimateCrisis #EnvironmentalRacism #JusticiaClimatica #SocialJustice #Decolonize. "	ClimateChangeDonations
"The latest UN report points to fossil fuels as a cause to the growing climate crisis. Accelerating the transition to clean and renewable energy is crucial for us and the next generations. Hydropower is the natural choice to balance intermittent renewable energy sources such as solar and wind. 

More than ever, it is time to act and say no to oil and gas. 

Read more here: https://www.theatlantic.com/science/archive/2021/08/latest-ipcc-report-catastrophe/619698/. "	CarbonEmissionReduction
As part of our ongoing commitment to update the community, we’ve released our latest Ventura Compressor Project Newsletter. Read about our upcoming Community Town Halls (10/12, 10/14 or 10/16) and meet our local public affairs manager: socalgas.com/venturanewsletter. 	AbandonedWells
Elections. Have. Consequences. The regulatory onslaught aimed at eliminating the U.S. oil and natural gas industry continues while providing little public benefit. The Biden administration’s agenda continues to jeopardize the foundation of Oklahoma's economy. Most recently, the U.S. Senate voted to reinstate a 2016 air emissions rule that will threaten small oil and gas producers. Enough is enough.	OilAndGasBoostEconomy
"#BREAKING: Stanford Student Senator Gabby Crooks calls for WHITE GENOCIDE. 

CCR stands against this hateful, racist, and violent rhetoric. Truly violent and racist ideas should concern everyone on our campuses. It is a distinct failure of academic institutions like Stanford for allowing this rhetoric to propagate among the student body. We support our chapters, like the Stanford College Republicans, exposing these beliefs — especially when those at fault are in positions of power and influence. We encourage Stanford students to reject Crooks’ racism and not re-elect her to the Student Senate.

Update: Crooks has deleted her Twitter account and appears to have deleted her Facebook profile.

From Stanford College Republicans: “Gabby Crooks, a senator in Stanford's student government, has explicitly called for the eradication of white people. With Stanford student government elections being held this week, and with Crooks on the ballot, SCR has discovered Crooks' extensive record of racist anti-white remarks on social media. In one tweet, Crooks wrote “yes I think white people need to be eradicated.” In other tweets, she refers to white people as “crackers.” Gabby Crooks is openly advocating for white genocide. These racist and genocidal remarks are disgusting. The left wants you to believe that racism is acceptable, as long as it is targeted at whites. We are not standing for that lie. Crooks' bigotry doesn’t stop at anti-white racism. We will be releasing more hateful statements from Crooks in the coming days, including remarks about Asian Americans – Stanford students deserve to know the truth when they cast their ballots in the ASSU election this week. #StandAgainstHate”. "	PoliticalTraining
Is it true that 97% of climate scientists agree that climate change is real? Where does the 97% figure come from? And if it is true, do they agree on both the severity of and the solution to climate change?	ClimateChangeMovements
"We are currently seeking a Site Surveyor to join our team on a part-time basis. If you are looking for a place to learn more about solar and make some extra money please read below and see if this role is a match for you.
 
The Site Surveyor will focus on surveying homes for future install sites for solar installations. This person's primary job will be surveying, taking pictures of, and documenting homes around the state of Oklahoma. The ideal candidate for this position needs to have a reliable means of transportation, be extremely reliable, and have the ability to take pictures with their smartphone and upload those pictures to our CRM application.

Skills and Requirements include but are not limited to:
- Conduct site surveys across the state of Oklahoma
- Take detailed notes and input notes into our CRM application
- Be professional and communicative with any homeowners
- Work with internal employees on completion of reports
- Complete reports in a timely manner
 
Travel Requirements:
- Travel away from home for several hours
- Ability to travel with little notice
- Reliable vehicle with a valid Oklahoma driver’s license
 
Physical Demands
- Ability to lift a minimum of 35 lbs
- Ability to work outdoors, on ladders, and in confined spaces
- Ability to work with/around electrical wires
- Ability to work remotely at construction or installation sites

Education and Experience Required
High school diploma or GED. "	VirginiaConservatives
Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Andy Kim at 732-504-0490 and tell them: new taxes on U.S. energy is a BAD idea!	CleanOilAndGas
New Jersey is well positioned to be a national climate leader, and now we need Governor Murphy’s support for the Advanced Clean Trucks rule. If the ACT is not adopted soon, its implementation will be delayed by a year. In this climate emergency, there is simply no time to waste.	HazardsOfWells
"Basic necessities under the Biden Administration have continued to rise. 

Food is up 4.1% and gas is up over 41%. After 17 months that have truly challenged West Texas, we deserve better. This is not a post-pandemic recovery for ordinary Texans."	Unknown
#GasLeaks strike a nasty blow again. An elderly couple was badly injured in Cleveland, Ohio from a natural gas explosion.	LawmakersAndOilAndGas
At least one public health administrator and a group that represents others are opposing an initiated-law campaign to limit the duration of emergency orders issued by health departments to 28 days, unless they gain the approval of elected officials. The measure would apply to both local health departments and the Michigan Department of Health and Human Services.	LawmakersAndOilAndGas
Oil and natural gas are creating new opportunities for Texas workers. Will you sign the pledge to support a strong economy?	TellRepToNotRaiseOilGasTaxes
One of the biggest transitions for anyone switching to an electric vehicle (EV) is spending time charging it up. Adjusting from a gas-powered car that can be filled up in minutes to the longer charging times of an EV takes some getting used to. Although charging times aren’t usually an issue for those who can charge at home and leave their EV in the garage or driveway for extended periods, public charging is a different story. Fortunately, many of our fast chargers are in or near shopping centers. Read our latest blog to see what you can do while you wait for your EV to fully charge: http://hwnelec.co/kSxU30s2bax.	Unknown
Oil spills like the one off the coast of southern California over the weekend underscore the need for the US to move away from dirty fossil fuels. Laura Deehan, the state director of Environment California, states that the spill was “a stark and dark reminder that oil is dirty, dangerous, and can make our air and water too toxic for life.” Say NO to blocking future renewable projects and vote NO on question 1.	LawmakersAndOilAndGas
"⚠️ Stop! We’re running out of time to tackle the climate crisis … and our poll expires in only HOURS!

𝐎𝐍𝐄-𝐐𝐔𝐄𝐒𝐓𝐈𝐎𝐍 𝐒𝐔𝐑𝐕𝐄𝐘: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬? As we see more and more of the impacts of fossil fuels on our environment – worsening hurricanes, wildfires, flooding, and drought – it’s clear we need concrete solutions. But with only hours until our one-question survey closes, we still haven’t heard from you. The planet is on the line, and we all need to be part of saving it. So please, be one of the 27 voices we still need to hear from before midnight and tell us: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬?"	ClimateChangeDonations
Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Elaine Luria at 757-364-7650 and tell them: new taxes on U.S. energy is a BAD idea!	CleanOilAndGas
"It’s time to shut down the Dakota Access Pipeline. It is operating without a permit and in violation of key environmental laws, needlessly endangering the Standing Rock Sioux Tribe for the sake of oil industry profits.

The Biden administration can be on the right side of history. Tell President Biden to shut down the Dakota Access Pipeline. Text NoDAPL to 43428."	AbandonedWells
Not only does natural gas heat our homes and power kitchens in our favorite restaurants, it’s also driving CO2 emissions down across the country, improving air quality and helping fight climate change. Learn more about how natural gas impacts your daily life: https://www.cred.org/natural-gas-oil-uses/. 	NuclearRevenueSupportsJobs
Oil and natural gas production benefits us all – helping save American families thousands of dollars. Can you guess exactly how much? Take our quiz to find out!	OilAndGasBoostEconomy
"With the passage of the comprehensive energy law in Illinois, the state’s nuclear plants are preserved and will continue to drive economic growth in the local communities. Watch Judy Meline from the Byron Generating Station share what this means to her. 

Read more about Exelon’s investments in Byron and Dresden: https://bit.ly/3llsSDR. "	NuclearPowerOtherBenefits
Stand up for climate action. Sign up for our free training to make real change.	ClimateChangeMovements
"The American Jobs Plan gives Colorado a chance to grow the state’s clean energy economy with millions of good paying, lasting jobs.  

It’s time for Colorado to power the future. Ask Senator Michael Bennet and Senator John Hickenlooper to support the American Jobs Plan."	RenewableEnergyEconomicBenefits
"As we recover from the pandemic, it is more critical than ever before that we tackle climate change and get people back to work. The majority of Americans support the American Jobs Plan and the millions of clean energy jobs it will create.
 
Together, we must meet this urgent moment and do what America does best — BUILD."	GreenEnergyCreatesJobs
A coalition of Iowa scientists and researchers are calling for increased infrastructure investments to combat the strain climate change places on the state’s electric grid.	RenewableEnergyPromotionAndGrowth
"ENERGY FACT: Wind turbines shut down in storms, right when we need them the most. That's why we need reliable baseload energy from nuclear and natural gas.
SOURCE: https://www.energy.gov/eere/articles/wind-turbines-extreme-weather-solutions-hurricane-resiliency. "	NuclearPowerEconomicBenefits
Oil and natural gas support jobs and community growth in North Dakota – do you know how? Take this quiz to find out!	OilAndGasBoostEconomy
🕶️ As we kick back and enjoy the summer, the season can also cause a few headaches for homeowners, especially when it comes to electrical issues.	Unknown
"On August 12, our driver also reported #oiltheft at Agave Restaurant and Lounge in Suffern, NY, where thieves had broken into and robbed this Buffalo Biodiesel vat, tearing off the locks and screen to leave it as shown here. Buffalo Biodiesel recycles the used cooking oil to make environmentally sustainable biofuel—instead, organized crime rings are targeting it across state lines. Please report any information to Suffern PD and help us crack down on oil theft.
recordonline.com  Rockland Report  lohud  News 12 Hudson Valley  Spectrum News 1 Hudson Valley  New York Post  The New York Times  ABC7NY  CBS New York. "	Unknown
Innovation fuels responsible energy development from Colorado’s oil and natural gas industry. Preserving Colorado’s natural beauty relies on critical funding from tax revenue for science and engineering to ensure the air, land, and water are safe for future generations. Learn more: https://cred.org/tomorrow. 	OilAndGasBoostEconomy
Your electric co-op powers your home. VCP empowers you.	NuclearEnergyProvidesTaxRevenue
Even when we are mandated to do something because of “the science,” or when we experience a tidal wave of public opinion in favor of some scientific consensus, just a little bit of knowledge of the issue will help us to respond appropriately. For instance, knowing how viruses and other disease-causing organisms are transmitted from person to person helps one decide when wearing a mask is most appropriate and when it will not make one bit of difference. Understanding weather systems helps one know if the latest natural disaster has historical precedent or might be the new climate change normal. But like real science, this takes work.	AbandonedWells
EDF Climate Team met with Rep. Susie Lee to discuss climate action and the need for Congress to go bold on clean energy and transportation investments.	DonationMatchingForClimate
"TAKE ACTION: ADD YOUR VOICE
Methane pollution is responsible for 25% of the global warming we're experiencing today. Cutting methane is one of the fastest ways to reduce the impacts of climate change worldwide and also improve air quality and public health in our own communities."	HazardsOfWells
Inflation is reaching new heights, and now Sen. Tester wants to pile on new taxes? A natural gas tax will put our environment, American jobs, and our energy security at risk. Call Sen. Tester NOW at (202) 224-2644!	OilAndGasTaxesBad
Communities across the Gulf Coast and New Orleans had little time to evacuate or prepare for the devastating impacts from Hurricane Ida. Surprising even weather and climate experts, this storm's growth warns of a new era of extreme weather unless we #ACTNow!	Unknown
Do you believe in the power of America’s energy independence and the 475,000 jobs it supports? Like our page to support nuclear power and our clean energy economy.	NuclearEnergyProvidesTaxRevenue
"California's new solar and battery mandate will add tens of thousands to the cost of a new building.

And here's the thing: all that 💰💰💰 won't have the slightest impact on the climate."	AbandonedWells
The natural gas and plastics industries want you to think they are job-creating moneymakers, and boons to struggling, often rural communities hoping to create good jobs and improve the lives of residents. Nothing could be further from the truth.	Unknown
"⚠️ Pollution from vehicles is one of the leading sources of greenhouse gases causing climate change.

Protect our communities and environment: tell the EPA to create cleaner car standards for a cleaner future. ✊. "	HazardsOfWells
Our senators need to hear from us! Protecting public lands is a critical part of the fight against climate change. Ask Sens. Heinrich and Luján to keep up the fight to take public lands back from the fossil fuel industry.	LawmakersAndOilAndGas
Orlando needs a bold climate leader. Tell Mayor Dyer to declare a climate emergency now!	ClimateChangeMovements
As researchers pinpoint sources of carbon pollution that cause climate change, they also discover exactly who is the most responsible.	CarbonEmissionReduction
Environmental justice IS racial justice. Black, indigenous and other communities of color are hit hardest by climate change, air pollution, and dirty energy.  Nevadans have had enough - tell Trump to stop EPA rollbacks NOW.	Unknown
"A handful of politicians want to spend $13.5 billion to take over Maine's power grid, putting costs and reliability in the hands of government. 

Find out more: www.maineaffordableenergy.org. "	AbandonedWells
Use your OUTSIDE VOICE to tell congress WHY YOU’RE WORRIED ABOUT CLIMATE CHANGE. #LaterIsTooLate. 	DonationMatchingForClimate
The Legislature has been working hard—and failing—since 2019 to prop up Wyoming’s coal industry. This year, proposals to support carbon capture, ban renewable energy, sue states that decrease coal use, and force coal-fired plants to stay open are all on the table.	HazardsOfWells
"Making the switch to SCP’s EverGreen electricity service is easy! Enrolling is as simple as visiting our website or calling our local contact center. All you’ll need is your 10-digit PG&E account number to enroll.

Call us at 1 (855) 202-2139 or visit sonomacleanpower.org/programs/evergreen to get started!"	Unknown
"When the devastating winter storm hit Texas, residents were left without heat and drinkable water thanks to decades of energy deregulation.
 
Tell Virginia lawmakers not to make the same mistake. SEND A LETTER NOW:. "	HazardsOfWells
"Interesting to see the three candidates running for School Board who support the Progressive Democratic Socialist, Kim “Mad Max” McCarthy. 

Supporting a candidate means you support their ideas and actions and the narrative which a candidate holds.

If you did not believe we had “woke progressive’s” trying to change the values of what made our community great in Bellbrook-Sugarcreek, you are wrong. 

This one picture proves they are amongst us, running for political office in order to force their woke ideology upon you and your children.

Kim McCarthy, running for Sugarcreek Trustee, has refused to stand for the American Flag and recite the Pledge of Allegiance. 

She has stated her dislike for ""men.” 
We are not sure if it's just white men or all men in general?

She has started she wants a one-party system. It's all about total control over your life and your children.

She really dislikes the values we as American’s, and as citizens of our community cherish. 

Kim has protested everything, and everyone she disagrees with politically. It's Kim's way or the progressive highway.

If you dare disagree with her and refuse to “bend the knee” to her radical political narrative, she a protest sign ready to shout you, and your values down.

Josh Pressnell, Sarah Williamson, and Kathy Kipling, all running for school board seats are actively SUPPORTING her!

Think about that fact. 
Why the show of support?

Why are the woke progressive Democrats “circling the wagon” around her? Is she the leader, the lighting rod, of this band of elitist progressives?

Their actions in this Park, and their own words of public support for Kim McCarthy, give an insight into what their future intent and policies may hold if elected to our school 🎓 board. 

This “Band of Progressive’s” is supporting one of the most progressive socialist, far-left Candidates, in Bellbrook-Sugarcreek in the last 50 years.

This woke band of progressives will try and influence our community and indoctrinate our children, into their progressive worldview through the power of the office they are seeking.

Power, our community should never give them.

The battle for the values which has made Bellbrook-Sugarcreek great starts at the ballot box this November.

Cast your vote for the Candidates who embraces the values you hold dear.

God, Family, and County.

Election Watch 21

*Note: there are no pictures of those who attended. Why? I think we all know the answer."	RightWingCampaigns
Uncertain times call for reliable, affordable access to energy. What’s most important to you about American oil and gas?	OilAndGasProvidesWages
"""the fabled “dirty break” argument that has come to dominate the DSA was rebuked at the comic con not in favor of a clean break to establish necessary class independence, but just acknowledged the reality that the DSA has only ever had any relevance because of its strong ties to the imperialist Democratic Party and to break from it would mean political irrelevance"". "	CommerceCityDemocrats
Biden is taking the drastic step of tapping the national strategic petroleum reserves in an effort to lower gas prices. How did we get to this point? Just ask sleepy Joe and his cackling cronies. https://bit.ly/3kZp8ra. 	CutMethane
"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses the crisis going on at the Texas border.

At 5:30 PM ET / 2:30 PM PT the TPUSA LIVE team talks about the “Missing White Girl Syndrome”, the Immigration crisis, and all the wacky things we’ve found on social media this week. 

On The Frontlines host Isabel Brown sits down with Olivia Sandor about vaccination mandates at BYU Hawaii and watch SMASH with MAGA Hulk, Stephen Davis as he annihilates The Left’s crazy rhetoric. 

We will wrap up the show with POPlitics with Alex Clark as she dives into the latest findings of the Gabby Petito case and more."	PoliticalTraining
"Florida families need Carlos Gimenez to see what’s in front of him:

The danger is real. Extreme weather is more intense and more frequent than ever before -- and all the more reason to act now."	Unknown
They want to shut us out of solving the climate crisis? Nope. WE are the climate majority. And we’re writing our own story.	DonationMatchingForClimate
TAKE ACTION TODAY: A potential energy production ban on federally owned land & waters could increase U.S. household energy costs by $19 billion by 2030.	AbandonedWells
"No one branch of government can be allowed to have unchecked and unrestrained power to disregard our democratic system to impose a rule that threatens to upend the lives and livelihoods of
millions of people. Tell Congress to ACT:. "	RestoreVirginia
We have a choice on where we get our energy. See the impact of American natural gas and oil in our communities.	OilAndGasProvidesWages
Fossil fuels are out, renewable energy is in. Make sure Wisconsin is resilient and self-reliant in the face of danger, just like us.	RenewableEnergyPromotionAndGrowth
Did you know, 30% of all power outages are caused by trees? That’s why we’ve doubled our investment on trimming trees near our power lines, making sure team members like Tonya can clear more of the lines that keep power flowing to your home.	Unknown
Thank Senators Heinrich and Luján for supporting smart, practical, bipartisan policies that promote conservation by helping reduce carbon emissions. The Growing Climate Solutions Act is the first step toward rewarding farmers, ranchers, and foresters for protecting birds and all wildlife for future generations. Sign up today to show your support!	AbandonedWells
"The reconciliation package is loaded with pork-barrel spending and sweeping policy changes. 

Many of these provisions include incredibly expensive and harmful anti-energy policies that will cripple our economy, increase our dependence on foreign oil, and increase the cost of living, especially for the poorest Americans."	OilAndGasTaxesBad
America’s natural gas and oil industry is comprised of problem-solvers, committed to addressing the world’s greatest challenges. We need forward-looking policy approaches to accelerate our longstanding energy progress.	NuclearRevenueSupportsJobs
"Oil is used to make a whole lot more than gasoline. In fact, 55% of petroleum demand is non-gasoline. Check out IPRB's latest #DidYouKnow fact sheet to see a few examples and find out more about petroleum-based products at iprb.org: https://iprb.org/industry-facts/petroleum-products/

Fact Sheet Sources: International Energy Agency, United States Geological Survey, American Fuel & Petrochemical Manufacturers, Pennsylvania Independent Oil & Gas Association, Greenpeace, Hess et al. (American Journal of Public Health, 2011). "	OilAndGasTaxesBad
Drill rigs power the oil and gas industry. Companies like Alliance members Doyon Drilling and Nordic Calista make sure they run smoothly.	AntiFossilFuelInfrastructure
Washington state is proving that leaders can go bigger and bolder on climate action. How will Illinois step up to cut pollution across its economy?	DonationMatchingForClimate
Join Portsmouth Citizens for Energy Choice to discuss the November 2nd ballot initiative to approve community choice aggregation.  A yes vote for clean energy choice on November 2nd, empowers citizens, small business owners, and local officials to make decisions about what powers Portsmouth! It puts that decision-making power back in the hands of people who know the type of community they want to build!	Unknown
"Climate change may be putting the Atlantic Ocean’s currents at risk of collapse, a new study shows. Extreme cold, sea level rise, and changes in monsoons could be just a few of the extreme weather events to come if we don’t #ACTNow. 

#ClimateFriday. "	DonationMatchingForClimate
"Representative Lindsey LaPointe voted for the Climate and Equitable Jobs Act and it is now law in the state of Illinois!

The Climate and Equitable Jobs Act will:

✅Curb dangerous air pollution

✅Combat the climate crisis

✅Create thousands of high-quality jobs in Illinois

Please join us by adding your name to thank Representative Lindsey LaPointe today."	AbandonedWells
"World’s Best Wednesday🏆enjoy your cup of coffee☕️ this morning with a good laugh! 

#memes😂 #officememe #officememes #michealscott #wednesday #gabelewis #energy #environment #sustainability #gop #kellykapoor #stanleyhudson #dwightschrute #climate #change #kevinmalone #worldsbestboss. "	RenewableEnergyEconomicBenefits
Pipelines minimize their impact to an area and the environment by following existing utility corridors whenever possible.	LawmakersAndOilAndGas
75% of emissions reductions are expected to come from climate technology that is not yet mature. It’s time to develop smart policies that drive change forward!	DonationMatchingForClimate
Our 2021 Innovation Fund winners are building innovations that center on the needs of all workers. To help their ideas succeed and flourish, each winner receives $150,000, mentorship, training, and organizational support. Learn how their ideas are driving systemic change:. 	PoliticalTraining
Despite popular misconceptions, jobs in the renewable energy industry offer stability, competitive wages, and a chance to expand on transferable skills acquired through work in other industries. Read on to bust some myths about working in clean power:. 	GreenEnergyCreatesJobs
"It’s not always easy to do the right thing, but State Representative Tom Mehaffie stood up to the fossil fuel industry and voted to support clean energy and clean air in Pennsylvania. Help thank Rep. Tom Mehaffie by adding your name here.

The Regional Greenhouse Gas Initiative (RGGI) is Pennsylvania’s best shot to cut power plant pollution and grow a clean energy future.

Rep. Tom Mehaffie put Pennsylvania first. He stood up to the dirty fossil fuel industry and voted to support Pennsylvania's entry into RGGI. Rep. Tom Mehaffie chose to defend our state’s future and invest in Pennsylvania families. Add your name here to say thank you to Rep. Tom Mehaffie, and urge them to hold the line!"	VirginiaConservatives
"Please stop scrolling – this cannot wait: 

The UN Secretary-General recently called the climate crisis a “code red for humanity”. Now, climate champions like Alexandria Ocasio-Cortez are demanding Congress take action by passing the Build Back Better Act.

But we need 10,000 climate activists to make their voices heard by MIDNIGHT and we haven’t heard from you! Do you support bold climate action?"	ClimateChangeMovements
Adding solar to NYC schools can save more than 75,000 tons of carbon emissions each year. That’s the equivalent of planting more than 400,000 trees. Sign the petition to support #CarbonFreeHealthySchools today.	HazardsOfWells
"Indiana has the most coal ash ponds in the country. These toxic ponds are leaking into groundwater, making it unsafe to drink. Instead of removing these ponds to keep Hoosiers safe, Duke Energy is choosing to do nothing and putting thousands of us at risk. 

This is not OK! We need to tell Duke enough is enough. Take action now and join us today!"	AbandonedWells
26 billion tons of carbon dioxide are being pumped into the atmosphere every year. Carbon capture and storage (CCS) can help us clean up the energy system and keep temperatures below 1.5°C.	NuclearRevenueSupportsJobs
Question 1 gives politicians the power to create retroactive laws and sets a dangerous precedent for Maine.	AbandonedWells
"New Covid Relief Bill Includes Help for Solar!

Join over 20,000 of your neighbors that have gotten free estimates from us, by clicking ""Get Quote"". "	Unknown
The cement and concrete industry is committed to achieving carbon neutrality – learn more about how cement production is becoming more and more sustainable at shapedbyconcrete.com. 	CarbonEmissionReduction
Rep. Luria wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.	GreenEnergyCreatesJobs
Now more than ever, West Virginians rely on the affordability of natural gas. Contact your member of Congress and make sure they know to vote no on higher energy costs.	OilAndGasTaxesBad
When it comes to climate change, Coloradans have seen it all, from wildfires to floods to dark smog covering the city. We hear the clock ticking – the time to act is now! Join us Aug 19th from 3:45-5PM for the #SealTheDeal Day of Action. RSVP today >>. 	HazardsOfWells
"For many in the US, school’s out for summer — and it’s time to pack up and head out on vacation to one of the nation’s stunning national parks. 

But the climate crisis means many of these parks don’t look like they used to."	AbandonedWells
"One of President Biden's nominees has declared war on the fossil fuel industry: ""We WANT them to go bankrupt."" 😱 Biden's support for the anti-energy movement festering on Wall Street jeopardizes America's future."	AbandonedWells
With wind + solar + nuclear energy, we can keep Alaska’s air clean and our energy carbon-free. Stay informed with Nuclear Matters.	GreenEnergyCapacity
"“Kim McCarthy is an endorsement that doesn't deliver” She is toxic and a hate filled divider, only interested in acquiring political power.

Every single candidate that Kim McCarthy endorsed for local office (in Bellbrook and Sugarcreek) lost. 

McCarthy lives in Sugarcreek township. This is the 3rd time on the Sugarcreek ballot for office. 

Twice as State Representative, once as a township trustee. All three times overwhelming rejected by the voters.

Her anti-everyone,and everything America  approach, has run out of steam. 

Her support is waning and weakened by repeated failures. Too far left she doesn't included people she disagrees with, which is why she can't win. 

Known for having thin skin.
It is hard to figure out her dislike for American values.

Every. SINGLE. ONE. Of her endorsements lost. That says it all.¹

(¹Photo is of a Sugarcreek township resident- who is alo Kim McCarthy supporter - holding a  Meridith Brinegar sign in Bellbrook. Brinegar lost also. Township residents can not vote for Bellbrook candidates). "	RightWingCampaigns
Florida could be leading the charge on solar in the next decade.	RenewableEnergyPromotionAndGrowth
#StopLine3 Big banks have promised to act on climate -- yet they continue to finance some of the worst fossil fuel projects. Line 3, the massive tar sands pipeline, will contribute as much pollution as 50 coal-fired power plants. This corporate greenwashing is unacceptable. Tell Wall Street to stop funding the climate crisis and walk away from Line 3!	LawmakersAndOilAndGas
Sign the petition today and tell President Biden to cancel Oil Lease Sale 257, which currently offers more than 80 million acres of the Gulf of Mexico to Big Oil. That’s more area than the Trump Administration initially proposed.	AbandonedWells
"We're reintroducing our SAGE board members because we've welcomed quite a few new followers here! First, we have Board Chair Fawn Wasin Zi (pronounced Washee Zee), and her Lakota name is Shun Hizi Ota Agli Win, which means She Brings Many Buckskin Horses.

Fawn spent 10 years in the Standing Rock Sioux Tribe (SRST) Land Management Department, Office of Land Operations and Energy Resources as the Energy and Mineral Manager. She currently serves as a STEM educator with the intention to inspire future generations about the possibilities and hope for their future. With a background in biology, she firmly believes it is her duty to speak for those, Unci Maka (Grandmother Earth) that cannot speak for themselves. She hopes one day we all live in a more sustainable way that is beneficial to mankind and Grandmother Earth."	BellbrookWokeRadicals
New Jersey can build on its existing clean transportation incentives and a commitment to electrifying transportation by adopting the Advanced Clean Trucks rule. www.edf.org/ZXEr. 	AbandonedWells
"Small businesses power Georgia’s economy, but they can’t succeed if their employees can’t come to work because they can’t afford childcare. 

The American Families Plan cuts the cost of childcare in half for most families and makes sure everyone at the top pays their fair share.

Let’s take the next step together."	AbandonedWells
Did you know oil and natural gas supports thousands of jobs in Ohio?  Learn more here.	TellRepToNotRaiseOilGasTaxes
