theme	top_25_tweets
NuclearPowerEconomicBenefits	"""Supporters of fossil fuel powered plants are pushing for a system of offsets in which the facilities could close their carbon-emissions gap by, for example, planting trees. But no other state with a 100% zero carbon requirement allows offsets in the power sector. The offsets have a spotty record of long-term enforcement and may not last over time. Some of the trees destroyed in California fires, for example, were planted as offsets."". "
ClimateChangeDonations	As extreme weather picks up this summer, Americans across the country can depend on #natgas to provide a reliable source of #energy for hot showers and warm meals. Watch below ⬇. 
OilAndGasSupportJobs	"“If this is the sunset time for oil and gas, someone forgot to tell consumers."" Read what experts say about demand for refined products:. "
GoBold	NEW POLLING shows a majority of voters in key swing districts believe we need additional action beyond the Bipartisan Infrastructure Deal to address climate change and reduce pollution.
AbandonedWells	Oil Search switched its plans for the Pikka development to a phased approach, which it believes will ultimately allow for increased production at a reduced cost.
RenewableEnergyPromotionAndGrowth	"The U.S. became the world’s No. 1 exporter of liquefied natural gas for the first time ever last month, as deliveries surged to energy-starved Europe.

https://www.bloomberg.com/news/articles/2022-01-04/u-s-lng-exports-top-rivals-for-first-time-on-shale-revolution. "
ClimateChangeMovements	Celebrate community power by thanking your electric co-op in the comments below!
AbandonedWells	Some Lawmakers are proposing expansion of video gaming terminals or VGTs to gas stations, convenience stores and pizza parlors. They are impossible to regulate and unsafe for our kids and communities.
RenewableEnergyPromotionAndGrowth	Did you know that heavy transport like ships & trucks are harder to electrify than cars? The good news is zero-carbon fuels like hydrogen and ammonia can do the job instead.
ClimateChangeMovements	"New regulation was recently passed, by the Arizona Corporation Commission, limiting access to solar!

While this is unwelcome news for SunSolar Solutions, and homeowners, there’s still time for most Arizona homeowners to receive their solar estimates, without any hassle!

Unfortunately, information has not yet been released to the public regarding how close 85383 is to reaching its limit, and it could be reached at any time.
 
So don’t miss out! Join over 7,000 of your neighbors that have requested estimates, from SunSolar Solutions, by clicking “Get Quote” today!"
ClimateChangeMovements	"House Federal Democrats gave quorum busting Texas House Democrat Caucus members, a ""hearing"" in the House Oversite Committee on SB 1. Did anyone else find this ironic at best, to have a Texas Voter Intergrity bill debated in DC by a bunch of House Democrats that walked off the Job back in Texas! Fortunately, former Texas Senator Pat Fallon, who sat next to me on the Senate Floor was one of the committee members and see him use the information supplied by multiple Senate offices to set the record straight from statements made at this ""show"" Hearing.  (bit.ly/3zRYyoN)

Congressman Fallon, pointed out rightly that Harris County used 9/10 drive thru locations in or very near super majority minority area Commissioner Pct 1 - Rodney Ellis.

Pat mentioned the local vote count of drive thru voting and was about to get to the hard error rate of 1.5%, or 1884 votes using the complaint filed at the Texas SOS of more voters than names on the County Voter Roster.

He was interrupted by Rep Thompson's very long response to a simple question after she had earlier made a ""diatribe"" about paying a poll tax in her youth in the 1960's. She did to a Democrat Tax Assessor Collector that was my elected predecessor as I was the first County Republican elected to that job since Reconstruction in 1998!

Congressman Fallon, in a not to be missed exchange, describes himself as person of color, ""pinkish"", and their exchange is pretty Humorous! LOL. So watch and see how poorly the Texas Democrats fared regardless of what the National Media ""reported""... 

And Per Congressman Fallon Texas House Democrats, and specifically their membership of color, have 10 of 34 committee chairmanship and that fact is never mentioned by the National media. Regardless of what anyone looks like, if you do not show up to work then you shouldn't have the job. Texans expect that from all their elected representatives."
ClimateChangeMovements	"It’s World Green Building Week, a campaign to accelerate sustainable, energy efficient buildings. 

The industry is dedicated to providing building materials that will help mitigate climate change. #BuildingResilience 

Learn more: shapedbycocncrete.com."
OilAndGasBoostEconomy	"""The caucus’s core principles around climate change are clear and accessible: It’s real. It’s global. Economic freedom is the answer. And an 'all of the above' energy approach rooted in free enterprise is better than an “everything but fossil fuel” policy."" -- C3 Solutions Co-Founder John Hart. "
AbandonedWells	"Ever wonder what's actually in hydraulic fracturing fluid, aka ""fracking"" fluid? There is nothing scary or secret about it! As Franklin Well Services technical manager Jerry Robinson demonstrates in this IPRB educational video, Illinois Basin frac fluid is at least 99 percent water and sand, with the remaining one percent or less composed of harmless additives, most prominently guar beans (most commonly used in ice cream) and borax (soap)."
RightWingCampaigns	Ned Lamont wants to continue his Emergency Power and his reign as king. Sign the petition today to stop him! >>. 
CleanEnergyPromotion	As part of our #ResponsibleEnergyPlan announced in January 2020, our clean energy transition also includes lowering our wholesale rates. Today, we announced an immediate 2% wholesale rate decrease for our utility members, with another 2% wholesale rate decrease in 2022. The wholesale rate decrease was included as part of our processes with our rate regulator, the Federal Energy Regulatory Commission, and requires its approval. Read more at https://tristate.coop/tri-state-reduce-wholesale-rates-ferc-settlement. 
ClimateChangeMovements	#GasLeaks strike a nasty blow again. An elderly couple was badly injured in Cleveland, Ohio from a natural gas explosion. https://youtu.be/C-e3TI-KCF0. 
GreenEnergyIsCostEffective	Electric pumps move fluid through pipelines with no greenhouse gas emissions. Sensors monitor for 24/7 safe operation.
VirginiaConservatives	As a drought exacerbated by climate change continues to inhale rivers, lakes and groundwater aquifers here in the West, the issue of environmental contamination will become ever more conspicuous.
BellbrookWokeRadicals	"Biden’s First 100 Days?!? By Saul Anuzis  May 23, 2021 

For all my liberal, Trump hating friends and family:

Just look what has happened in the past 100 days.

For those who voted for this jackass... are you feeling any buyer’s remorse yet? Is dealing with this really better than dealing with President Trump who may put up a tweet that hurts your feelings, but actually ran our country properly? 

So.....Russia is massing troops on the border with Ukraine. Ukraine is threatening to take Crimea back by force. China is threatening Taiwan and its neighbors while also threatening our ships and Navy. N Korea is testing missiles again and restarting their nuclear weapons program. Iran has been emboldened and is making more than their normal threats. 

 Our southern border is a humanitarian disaster caused directly by this administration, and the administration that promised transparency is hiding it and not letting the media have access. Ford is closing a plant and moving it to Mexico after just bringing it back from Mexico because of the current Administration’s plan for increased taxes.

Price of steel up 145% 
Lumber 126%
Wheat up 25% 
Food index up 25% 
Cotton 35% 
Silver 38% 
Copper 50% 
Soybeans 71% 
Oil 80%
 
Pipeline jobs lost
Wall construction jobs lost

1.9 trillion in stimulus that funds the administrations pet projects and only paid a fraction to the people. 
29 trillion in debt with 4.8 trillion projected 2021 deficit before the 2 trillion dollar stimulus proposed today for the new green deal. 

9+% unemployment with millions of job openings that can’t be filled because federal unemployment assistance makes it more advantageous for people to stay home than work.
  
All in the first 70 days. The current president is a disaster! Hold on tight, the next 4 years are going to be a rough ride. All I'm saying is...you Biden supporters aren’t posting very much about the great things he’s doing.

-Saul Anuzis

Do you miss him yet? Democrats who have finally had enough can leave the party that has left them and join the party working 24/7 to Make America Great Again! Dems can make the switch at their Supervisor of Elections Office or online at the State of Florida website https://registertovoteflorida.gov/home. "
ClimateChangeMovements	"On July 18, one of our drivers reported #oiltheft at Reddi Rooster in Stamford, CT, where this Buffalo Biodiesel vat had been broken into and robbed, one of two oil thefts reported in Stamford that same day. Buffalo Biodiesel recycles the used cooking oil to make environmentally sustainable biofuel—instead, it’s being targeted by interstate organized crime. Please report any relevant information to Stamford Police Department CT and help us stop these criminals. 
News 12 Connecticut  NBC Connecticut  WFSB - Channel 3 Eyewitness News  Stamford Advocate  Stamford Patch  Daily Voice Gold Coast  The News-Times. "
RenewableEnergyPromotionAndGrowth	Deck the halls with lots of holiday lights – and lots and lots of clean, kWh wind energy to keep them bright! Happy Holidays from Apex Ohio!
BellbrookWokeRadicals	"The left is currently trying to enact legislation that would make Washington D.C. a state. This would give them two Senators as well as votes in the electoral college. With D.C. being almost 100% liberal, this would not be good for the Republican Party. 

Is the left allowed to do this? NO! What Democrats are trying to do is UNCONSTITUTIONAL. They are trying to do anything in their power to make sure that Republicans NEVER have control again. DONATE to the North Carolina Republican Party TODAY and you can help put a stop to D.C. statehood! #NCGOP #Republican ⬇️ ⬇️ ⬇️. "
CallToActionAgainstOilAndGasIndustries	🇺🇸🇮🇱 Drilling Now for Israel's Energy Independence. Inspired by Scripture (Gen 45 & Deut 33) and Informed by Science. 
OilAndGasBoostEconomy	"A handful of politicians want to spend $13.5 billion to take over Maine's power grid, putting costs and reliability in the hands of government. 

Find out more: www.maineaffordableenergy.org. "
VirginiaConservatives	"Nobody knows your community better than you, so make sure your voice is heard as we work to create fair representation for all Virginians! 🗣

Get involved in the redistricting process and advocate for your community. Now that the people have the power, every Virginian can be a part of the process by drawing their own community map. 

Learn more & draw your map here  >> https://www.onevirginia2021foundation.org/community-mapping. "
CarbonEmissionReduction	"The Coca-Cola Company is committed to creating more sustainable communities. Our climate goals recognize we must do our part to reduce our carbon output and build resilience in the communities in which we operate. Packaging initiatives, like the Universal Bottle, bring us closer to the circular economy we aspire to see. 

Learn more about the steps we are taking to create a #WorldWithoutWaste: cokeurl.com/kjamrx. "
RenewableEnergyPromotionAndGrowth	"The Coca-Cola Company is unveiling our first-ever beverage bottle made from 100% plant-based plastic, excluding the cap and label, made using technologies that are ready to be commercially scaled. 

As part of our #WorldWithoutWaste vision, Coca-Cola is decarbonizing our packaging by including more recycled and renewable content while creating a circular economy for our packaging so that it gets collected and recycled. This innovation supports the World Without Waste vision, specifically the recently announced target to use 3 million fewer tons of virgin plastic from oil-based sources by 2025. A limited run of approximately 900 of the prototype plant-based bottles have been produced.

Read the full story here: cokeurl.com/sbk5c8. "
BuildBackBetterActCampaign	"Liberals want Washington D.C. to become a state so they can gain more power and control.

Sign your name if you agree!"
NuclearEnergyProvidesTaxRevenue	"WATCH: Check out this interview with Katie Tubb, a senior policy analyst for energy and environmental issues in the Thomas A. Roe Institute for Economic Policy Studies at The Heritage Foundation. 

Katie researches and writes on subjects such as nuclear energy, climate change policies, and the benefits of free market environmentalism.
This is our fourth interview in a series for National Nuclear Science Week!"
ClimateChangeMovements	"What do women of color need to succeed as they step into positions of power? 

Our very own ED Karundi Williams talks with Poder NC Action's Irene Godinez and West Virginia Danielle about what it's like to be the first BIPOC women in their positions.

https://forgeorganizing.org/article/being-first. "
BellbrookWokeRadicals	Even when we are mandated to do something because of “the science,” or when we experience a tidal wave of public opinion in favor of some scientific consensus, just a little bit of knowledge of the issue will help us to respond appropriately. For instance, knowing how viruses and other disease-causing organisms are transmitted from person to person helps one decide when wearing a mask is most appropriate and when it will not make one bit of difference. Understanding weather systems helps one know if the latest natural disaster has historical precedent or might be the new climate change normal. But like real science, this takes work.
VirginiaConservatives	"“Angel at my table”
Look at this painting.
This painting captures the essence of why the VOTE NO movement fought so hard to protect our communities greatest asset, our Senior citizens.

Jim Renacci will protect our Senior citizens if elected Ohio’s next Governor.

Jim listened and implemented into his platform, what the supporters of the VOTE NO movement were trying to protect. 

If elected he will stop 🛑 all personal property taxes on all Senior citizens in Ohio!

I am asking every VOTE NO supporter to help elect Jim our next Governor.

""An Angel At My Table"" 
(portrait of artist's mother)
Miriam Escofet(b.1967,Barcelona)
Oil on linen over panel, 100 x 70 cm. "
AbandonedWells	It doesn't matter who owns the oil well. How will you make sure it is cleaned up?
NuclearEnergyProvidesTaxRevenue	The #natgas industry has proven time and time again how we come together, work hard, innovate and get things done. Hear more from AGA CEO Karen Harbert and AGA Chair and NW Natural CEO David Anderson on how America’s natural gas utilities will continue to play an important role in the nation’s energy mix via POWER magazine:. 
ClimateChangeMovements	Join CBWPA on March 20 from 12-2 as we come together with Black women’s  organizations to network and get active together! We welcome Dr. Clenora Hudson-Weems who will discuss Africana Womanism and how we use our collective power to force change in our communities! Wear your big hat!
DemandClimateActionFromLeaders	"The White House needs to stop abusing its power and working with social media companies like Facebook to censor Republicans. 

Our First Amendment protects all Americans’ right to free speech without government intervention. Americans deserve to know what the executive branch is doing with these companies.

Read the letter below from myself and my Republican colleagues on the House Oversight and Reform Committee to the U.S. Surgeon General requesting all documented communication between their office and companies like Facebook and Twitter."
CallToActionAgainstOilAndGasIndustries	Democrats are worried about the 2022 elections, and they should be.  A recent poll shows 46% of voters say they would vote for a Republican congressional candidate over a Democrat.  People have had enough of the wasteful government spending, out of control illegal immigration, and the drastic increase in food and gas prices.  Let's flip the House RED in 2022.  Please donate to support my campaign!
RightWingCampaigns	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec has never-before-seen footage from the Kyle Rittenhouse shooting, gives an update on the Taliban, NYC firefighters & more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Isabel Brown, Rachelle Hernandez, & Congresswoman Lauren Boebert who will talk about the 2nd Amendment, the border, Colin Kaepernick & more!

RELOADED host Paige Roux covers all things rifles and watch Breakaway with Jon Root as he sits down with Super Bowl Champion, Steve Weatherford. 

We will wrap up the show with POPlitics with Alex Clark as she dives into Kim Kardashian & Pete Davidson, Melania's fashion breakdown & Hot Take Tuesday."
CelebrateBuildBackBetter	Thank Senators Stabenow and Peters for fighting for farm families and a healthier environment for birds and people. The Growing Climate Solutions Act is the first step toward raising farmer income while reducing carbon emissions. Sign up today to show your support!
GreenEnergyCapacity	"“SunZia is one of several big transmission lines geared to open renewables development in the Desert Southwest to help bring power to markets farther west. With a capacity of 3,000 megawatts, SunZia would be a critical link for Pattern Energy's 2,200-megawatt Corona Wind development, a suite of projects approved by New Mexico regulators in 2018.”

Read more about SunZia and transmission in New Mexico. Link in Bio."
ClimateChangeDonations	"""After the Russian action concerning gas, the creators and advocates of this Fit for 55 have, to put it mildly, made themselves look ridiculous. Energy prices have hit many EU countries with such force that their citizens simply will not agree to raise them further in the name of some unproven theories,"" he said."
ClimateChangeMovements	Have you had to pay more for gas, groceries, or other essential goods and services due to inflation?
ClimateChangeMovements	"⚠️ 𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐬𝐭𝐨𝐩 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠 – 𝐭𝐡𝐢𝐬 𝐢𝐬 𝐚𝐧 𝐞𝐦𝐞𝐫𝐠𝐞𝐧𝐜𝐲. ⚠️

From hurricanes to heat waves, the climate crisis is upon us – and if we don’t act NOW, our future is on the line. 

That’s why, right now, a generous donor is DOUBLING all donations to fight climate change up to our $25,000 goal – so your gift will go TWICE AS FAR to protect the earth for generations to come. 

𝐆𝐢𝐯𝐞 𝐍𝐎𝐖 𝐚𝐧𝐝 𝐡𝐞𝐥𝐩 𝐮𝐬 𝐬𝐚𝐯𝐞 𝐨𝐮𝐫 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐛𝐞𝐟𝐨𝐫𝐞 𝐢𝐭’𝐬 𝐭𝐨𝐨 𝐥𝐚𝐭𝐞:. "
ClimateChangeMovements	Celebrating the opening of our new #renewablenaturalgas (RNG) fueling station in #Menifee. In CA, as #RNG usage continues to increase, it is important to provide drivers & fleet operators more locations to fuel up. RNG is an affordable way to eliminate air pollution and emissions linked to climate change - link in bio.
AntiFossilFuelInfrastructure	Why should Democrats support Emergency Powers Reform? For the same reason Republicans and everyone else should. What you need to know is in this quick video! #EmergencyPowers. 
RestoreVirginia	Christopher Columbus, the most famous explorer in history, was once a celebrated hero. Now, many consider him a villain, a despoiler of paradise. So which version of Columbus is true?
OilAndGasTaxesBad	"First, DC liberals spent trillions of our dollars. Now, Americans are facing record inflation and are paying more for gas and groceries. Their plan now: Nancy Pelosi and her liberal allies are pushing for new tax hikes and another socialist healthcare plan.
 
Click below and sign up to tell Kim Schrier enough is enough."
BuildBackBetterActCampaign	More than 450 scientists are calling on major advertising and PR firms to stop the spread of climate change misinformation.
LawmakersAndOilAndGas	"The White House needs to stop abusing its power and working with social media companies like Facebook to censor Republicans. 

Our First Amendment protects all Americans’ right to free speech without government intervention. Americans deserve to know what the executive branch is doing with these companies.

Read the letter below from myself and my Republican colleagues on the House Oversight and Reform Committee to the U.S. Surgeon General requesting all documented communication between their office and companies like Facebook and Twitter."
GreenEnergyCreatesJobs	Take it from the President of Duke Energy: diverse energy sources are critical to keeping Indiana running. Vermillion County has the opportunity to play a critical role in Indiana’s clean energy future.
PublicLandExploitation	🤯 $36 billion | The est. total cost to taxpayers and consumers of subsidies going to renewable energy operators in Texas from 2006 to 2029.
OilAndGasBoostEconomy	"Last month, SoCalGas received the 2021 NGV America Achievement Award in the Utility Leadership category.

This award recognizes outstanding contributions to the advancement of natural gas as a transportation fuel.

We are proud of our team for their work in helping reduce emissions from the transportation sector.

Read More: https://bit.ly/3nr3v3e. "
GreenEnergyCreatesJobs	With winter on the horizon, are you prepared? Schedule a Quick Home Energy Check-up and ensure your heating system is running efficiently and doors and windows are sealed properly, to lower your energy bills. Sign up at bgesmartenergy.com/QHEC.
BellbrookWokeRadicals	Have you had to pay more for gas, groceries, or other essential goods and services due to inflation?
BellbrookWokeRadicals	"Dems call everyone racist except themselves.  Looks like it's more about maintaining their power than equity.

https://www.youtube.com/watch?v=L__co5jX3WU&ab_channel=GlennYoungkin. "
GoBold	"𝐀𝐂𝐓𝐈𝐎𝐍 𝐑𝐄𝐐𝐔𝐄𝐒𝐓𝐄𝐃: 𝐖𝐢𝐥𝐥 𝐲𝐨𝐮 𝐬𝐢𝐠𝐧 𝐨𝐮𝐫 𝐩𝐞𝐭𝐢𝐭𝐢𝐨𝐧 𝐭𝐨 𝐩𝐫𝐨𝐭𝐞𝐜𝐭 𝐰𝐡𝐚𝐥𝐞𝐬?
 
Plastic debris kills more than 100,000 marine mammals like whales each year — and 99% of plastic production is powered by the fossil fuel industry. We’re calling for immediate action to demand the plastic and fossil fuel industries stop putting profits before the health of our oceans and the wildlife and communities that rely on them, but we still need 2,160 more people to sign our petition before midnight. Please add your name >>. "
CelebrateBuildBackBetter	"""Climate change is not just a future to contend with. It is an immediate reality that is shaping major life decisions for Maine people from all walks of life,"" said Josh Caldwell with Natural Resources Council of Maine

That's why we need to #BuildBackBetter and pass bold climate solutions! https://bit.ly/30gDxHY. "
ClimateChangeMovements	"""STORYTELLING""
Meredith Brinegar has crafted a fine-tuned, well-run campaign for Bellbrook City Council, but it's a STORY of Fiction.

Brinegar's campaign is designed to deceive/hide from the Voters of her ""Woke Progressive"" agenda and gloss over her past FB postings attacking anyone who was against the School ley.

Meredith is not like you and me.
She is not so nice, as the video propaganda narrative leads you to believe. 

Her media experts are ""spinning a tall tale,"" trying to get you to believe this Video work of fiction they are selling.

It's like the ""snake oil salesman"" has come to Bellbrook, selling a product to the uninformed and gullible. 

The problem is, the fine citizens of Bellbrook are neither uninformed nor gullible. They see through this finely crafted campaign of smoke and mirrors.

She is different. She thinks differently. 
She has values different than the majority of the Bellbrook Community. 

Brinegar is a die-hard WOKE Progressive, whose goal is to implement her socialist values and worldview through the power of the office she seeks.

Look at who she is supporting and who supports her.  Kim McCarthy, Josh Pressnell, Sara Williamson all part of the PROGRESSIVE Group seeking to change our community.

Meredith Brinegar is one of the main leaders of these progressive socialists. Do not let her slick ""pony-show"" fool you.

Attached is her ""soft-sell"" Socialist Progressive FB page, she set up. Meredith Brinegar wants to change Bellbrook and she will do it through the power of the office she seeks.

DO NOT GIVE her the power over your family and our community.

There are far better choices.

Vote for ""Katherine Cyphers"" and ""Forest Greenwood"" for Bellbrook City Council."
VirginiaConservatives	"During a major outage, the Schofield Generating Station will be able to power up our microgrid consisting of three U.S. Army installations in Central Oahu. That’s what a joint exercise with the U.S. Army determined last week – just in time for hurricane season.

The inaugural test of the Schofield Generating Station’s microgrid capabilities affirmed that if power is lost at Schofield Barracks, Wheeler Army Airfield and Field Station Kunia – all critical lifelines during an emergency – the three installations can be islanded and powered with 100% renewable energy from the Schofield-based power plant. The Hawaiian Electric-U.S. Army effort helps advance energy resilience and security for the Army. Learn more: http://hwnelec.co/bsFv50F4X3e.

Photos courtesy of U.S. Army Garrison Hawaii. "
OilAndGasSupportJobs	The Illinois Petroleum Resources Board (IPRB) provides public outreach and educational materials to increase awareness about the importance of the Illinois oil production industry and oil and natural gas to everyday life. Check out our latest newsletter for a roundup of our efforts in 2021!
GreenEnergyCreatesJobs	"🚲Thinking about buying an electric bike? The features and benefits they provide make them an enticing option for college students, local commuters, and anyone who wants exercise while getting from point A to B. Not to mention it’s a cost-effective and eco-friendly solution to fossil fuel-powered vehicles. Lean more here: https://www.tristate.coop/7-great-benefits-electric-bikes
#MotivationMonday #ElectricBikes #EBikes. "
DemandClimateActionFromLeaders	"President Joe Biden has said it himself: He doesn’t want to ban fracking. That’s just one of many misguided statements he’s made around climate, and we’ve got receipts of them all. ⬇️ 

We’ll keep holding his administration accountable to provide REAL climate leadership, not just false promises! https://fwwat.ch/3AEI5p2. "
VirginiaConservatives	We’re building toward a future where all people in Arizona have the power, resources, and support we need to get abortion care! We need you to join the fight today - add your name!
GreenEnergyCreatesJobs	Renewable resources not only help reduce climate change, but also provide a brighter future for generations to come. We believe that by taking care of Unci' Maka (Grandmother Earth) she will take care of our children and the generations to come.
BellbrookWokeRadicals	Being a Friend of Coal shows your love for Kentucky. We’re a volunteer organization dedicated to informing and educating you about the coal industry and its vital role in our state’s future.
GoBold	Increasing greenhouse gases are the LEADING CAUSE OF GLACIAL RETREAT over the past 50 years. Replacing single-pane windows with energy-efficient ones could reduce a home's carbon footprint by up to 3 TONS OF CO2 a year. #WeCanDoBetter MORE: http://bit.ly/35k2Jdp. 
ClimateEmergency	Climate justice must include gender equality.
GoBold	"""The NECEC does not threaten Maine’s environment, the warming climate does. The NECEC is exactly the kind of project that environmentalists should embrace. If you are serious about addressing climate change and taking steps to reduce carbon emissions join me in voting NO on Question 1,"" writes Dan Lawson from Winthrop."
TellRepToNotRaiseOilGasTaxes	"Enter for your FREE chance to win $200 for gas. 

Gas is expensive and summer trips are coming up. While we can't fix the prices, we can help you pay for it. We’re giving away $200 gas gift cards to FIVE lucky winners – and one of those could be you. 

Don’t miss this chance – sign up to enter for a chance to win a $200 gas gift card!"
ClimateChangeMovements	"The National Weather Service has reported that Henri has now intensified to a Category 1 Hurricane. It is predicted to strike Long Island directly in the next 24 hours. 

Please note that forecasters are cautioning that the impacts from Henri will be significant and preparations ahead of the storm must be taken very seriously. I urge you to track the storm and take preparedness measures as soon as possible. 

In the event of a power outage, you can text PSEG Long Island at (773454) or call 1 (800)-490-0075. To report a downed power line, call 1-800-490-0075 or 1-631-755-6900. For further information, please visit the Red Cross website, the National Hurricane Center website, the FEMA website, and tune into the media’s live tracking devices online. 

We must hope for the best but be prepared for the worst. Remain vigilant and stay safe."
