theme	top_25_tweets
EconomicAdvantagesOfRenewableEnergy	"""Located in the mountains of northern New Mexico, Picuris Pueblo is the smallest tribal nation in the state. With relatively few opportunities for economic development in their remote location, Picuris partnered with Kit Carson Electric Cooperative in 2018 to embark on a solar power project that would create revenue for Picuris, meet 100% of daytime energy demand with solar power, and reduce energy costs for tribal members."" Read more here >>>>> https://www.yesmagazine.org/environment/2021/08/18/indigenous-communities-energy-sovereignty. "
EconomicAdvantagesOfRenewableEnergy	"First, DC liberals spent trillions of our dollars. Now, Americans are facing record inflation and are paying more for gas and groceries. Their plan now: Nancy Pelosi and her liberal allies are pushing for new tax hikes and another socialist healthcare plan.
 
Click below and sign up to tell Cindy Axne enough is enough."
NuclearEnergyBenefits	"Andrea and Orlando welcome Bobby Eberle, Conservative Political Strategist, talk show host (13 minute News Hour), commentator, LeadershipLATINO instructor, and owner of GOPUSA.com and Julio Rojas-Aguilar, Manager of Donor Relations for the Institue of Humane Studies. Bobby brings us up to date on his work and travels around the state and country. Julio, a native of Peru, discusses his introduction to the ideas and benefits of free markets and free societies by his high school history teacher and the influence this has had on his life and career.

More about Bobby Eberle:
https://bobbyeberle.com/
https://bobbyeberle.com/13-minute-news-hour/
https://www.gopusa.com/

More about Julio Rojas-Aguilar:
https://theihs.org/people/julio-rojas-aguilar/
https://www.facebook.com/InstituteforHumaneStudies

Watch TLC Live! On Facebook (https://www.facebook.com/TLCforTexas) or on YouTube (https://www.youtube.com/channel/UCTi1LGIYZDNRyEL08eYm90Q), and Comment Live on Facebook Every Wednesday at 11 AM!"
OilCreatesJobs	"Our crews will be performing maintenance work on overhead power lines on H-1 freeway near the Sears Distribution Center and Waiau Power Plant late Saturday, March 20 through early Sunday, March 21.  The work will close multiple lanes both eastbound and westbound on H-1, leaving only the center lanes open from 10 p.m. to 4:20 a.m. 

For the safety of crews and motorists, four right westbound lanes and three right eastbound lanes of H-1 will be closed near the Sears Distribution Center and Waiau Power Plant while the work is being completed.  Crews will be assisted by a crane on Kamehameha Highway near Kuleana Road, requiring closure of two right westbound lanes of the highway from Kuleana to the Sears Distribution Center.  During times when crews will be transferring equipment and conductors, traffic will be stopped for a few minutes in both directions of H-1.  

Motorists should find alternate routes while the work is being completed or expect delays if traveling on H1 or Kamehameha Highway westbound.  Traffic signs and cones will mark the work zones.  Special duty police officers will be onsite to direct traffic.  Motorists should exercise caution when approaching and passing the area.

Mahalo for your patience and understanding."
OilAndGasExtractionRisks	The most indispensable and fundamental element of our modern society is the reliability and affordability of electricity. With both Texas and California rapidly moving to more wind and solar power to provide generation to power plants, what backup power source will provide the electricity reliability to keep the lights on, the air conditioning humming, and heat flowing? https://bit.ly/3bqq7vJ. 
EconomicAdvantagesOfRenewableEnergy	Your electric co-op powers your community. VCP empowers you.
OilAndGasExtractionRisks	"The cost to reach ONE day of electricity storage for Texas? 
Nearly $100 billion per year for 13 years. 🤯

How to do it? Build a battery the size of a small power plant (100 MW/400 MWh) every day between now and 2035. 

SB 3 is a start, but the PUC needs to take strong action to manage the variability of wind and solar and to make those resources improve their reliability. Batteries won't get us there. We need reliable generation."
AdvocateForGreenEnergy	Our Sustainability Report reflects robust ESG performance, including strides we’ve made in safety, environmental and community efforts.
GreenEnergySavesMoney	For the first time, all truck fleets participating in NACFE—including Frito-Lay, Anheuser Busch, Penske and DHL—are powered by electric motors.
DemocratOutreach	Discover the future of clean energy at the Advanced Energy Center from Sonoma Clean Power.
TackleClimateChange	"𝗧𝗶𝗺𝗲 𝗶𝘀 𝗿𝘂𝗻𝗻𝗶𝗻𝗴 𝗼𝘂𝘁❗ 𝗛𝗮𝘃𝗲 𝘆𝗼𝘂 𝗰𝗹𝗮𝗶𝗺𝗲𝗱 𝘆𝗼𝘂𝗿 𝗙𝗥𝗘𝗘 𝗣𝗿𝗶𝗱𝗲 𝘀𝘁𝗶𝗰𝗸𝗲𝗿 𝗽𝗮𝗰𝗸❓
Make a donation to Progress Texas and get ready to show off your pride. 

Your donation helps us tell the progressive story in our state every day, and helps shape positive messaging for the issues you care about such as voting rights, abortion rights, access to affordable health care, climate change, gun safety, and so much more."
EconomicAdvantagesOfRenewableEnergy	The fuel mandate proposed last year failed because, if passed, would impose new, costly regulations on small businesses and reduce consumers' choice at the pump. Quote Source: https://bit.ly/3rP3nwD. 
NuclearEnergyBenefits	Since Joe Biden took office, our country has seen illegal immigration flourish, violent crime surge, and the price of gas and food increase causing hardships for many families.  How would you rate Biden's performance as President?  Take the poll!
AdvocateForGreenEnergy	"The state of Illinois generates more electricity from nuclear energy than any other state. And it is done entirely carbon-free! If you were to put the carbon avoided by running Illinois’ nuclear generating stations in terms of car emissions, it equates to removing 14.1 million cars from the road each year (that’s more than 1 car for every person in the entire state!) 

Check out this video from Eric Maloni at the Byron Generating Station to learn more about fuel and see the plant:. "
AdvocateForGreenEnergy	We're drying the fuels': How climate change is making wildfires worse in the West. 
RenewableEnergyGrowth	Her future will be here in a blink, and we're working hard to make it one with net-zero carbon emissions.
AdvocateForGreenEnergy	"Let's talk about the sacred wind!

Tate Topa: Tate means wind, Topa is the number 4; the Four Winds are female spirits and the Four Winds represent the cardinal directions being east, south, west and north. The north winds are cleansing, causing the leaves to fall, the western winds bring the rain, southern winds bring warmth and eastern winds brings the life of a new day. 

#IndigenousVoices #RenewableEnergy #StandingRock #SAGESRST #CommunityDevelopment #AnpetuWi #SRST #FourWinds #IndigenousPeople. "
AdvocateForGreenEnergy	Our 2020 Sustainability Report reflects robust ESG performance, including strides we’ve made in safety, environmental and community efforts.
AntiWoke	Since Joe Biden took office, our country has seen illegal immigration flourish, violent crime surge, and the price of gas and food increase causing hardships for many families.  How would you rate Biden's performance as President?  Take the poll!
OilAndGasExtractionRisks	Mega Corporations Have An Absolutely RIDICULOUS Amount Of Power In America! @CharlieKirk11 Is 100% Right. #ThinkForYourself. 
TackleClimateChange	"World’s Best Wednesday🏆enjoy your cup of coffee☕️ this morning with a good laugh! 

#memes😂 #officememe #officememes #michealscott #wednesday #gabelewis #energy #environment #sustainability #gop #kellykapoor #stanleyhudson #dwightschrute #climate #change #kevinmalone #worldsbestboss. "
OilCreatesJobs	"Halloween is just around the corner and we are celebrating with a spooktacular giveaway! 🎃 Enter for a chance to win a family gift pack including a $100 Texaco gas card & four Ama pizzas. The rules are simple:
 
👻 Follow us on Facebook
👻 Comment below with a photo of you (or your keiki) in a Halloween costume!
 
That’s it! 🎉 Winners will be contacted and announced on Monday, November 1. This giveaway is not sponsored, endorsed by, or associated with Facebook."
ChallengesFacingRenewableEnergy	Nevada and Arizona will face first-ever cuts to their Colorado River supplies next year, federal officials reported. 
ReduceEmissions	Internet Safety is a critical part of protecting children. Each day 500,000 child predators prowl the Internet in hopes of luring and grooming their next victim. Generous people like you – who stand up and speak out for children – power the Foundation’s Internet Safety workshops that helps protect children and families in communities across the country. You make this possible. On behalf of the children and families you are helping to protect, thank you.
RenewableEnergyGrowth	Did you know the Great Lakes State is also one of the great wind states? With over 2500 MW of wind power in operation, Michigan is among America’s top wind energy producers.
SupportForRenewableEnergy	Will you give a $20 gift of love to support re:power’s candidate development alumni, like Maryland State Senator Cory McCray?
RenewableEnergyInfrastructureGrowth	There’s often a lot of confusion about where exactly energy from solar facilities goes. Scioto Farms Solar Project is a utility-scale solar project, meaning the energy will feed into the energy grid. Utilities purchase the power from utility-scale energy projects and ratepayers pay the utility companies per usual. Once the energy enters the grid, there’s no way of knowing exactly where it goes. It is routed to where the current demand is - meaning it could be powering Pickaway County homes or homes in neighboring regions.
ReduceEmissions	"Residents of Franklin County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

In order to receive $500 you must...
✔️ Sign up before 03/31/22
✔️ Turn on your meter before 09/30/22

So don't wait, sign up for a free estimate today!"
NuclearEnergyBenefits	"""The shortcoming of this miniseries is the attempt to show that justice is being served. We can’t expect real working class justice under this system. That can only happen when workers take over. Until then, working families will continue to suffer and die from deaths of despair, as the rich get the occasional slap on the wrist. It’s their government, it’s their economic system.

So long as they remain in power parasites like the Sacklers will continue to face no consequences, when they and their lackeys deserve nothing short of execution for the mass harm they’ve caused."". "
LegislatorsMustActAgainstClimateChange	Has there ever been a time when we have had to weigh so much science in our day-to-day lives? Today’s most prominent science-related issues are COVID-19 and climate change, but many other things are also important to us: medications, nutrition, travel safety, protecting the Great Lakes, etc. Not everyone is going to agree on what the science says about these issues, so how can we make the best decisions?
NuclearEnergyBenefits	California Department of Water Resources Drought Manager, Jeanine Jones, answers questions on recent storm.
ChallengesFacingRenewableEnergy	Hurricane Ida is the latest in a string of extreme weather events this summer that Americans have suffered through -- a frightening preview of the horror show that climate change is set to inflict on the planet.
OilAndGasExtractionRisks	Chicago Floods Could Get Worse Thanks to Climate Change. 
BuildBetterAct	"""The most sweeping question of the two that were targeted for the 2022 ballot would create a quasi-public agency to borrow billions of dollars to buy out the infrastructure of CMP and Versant Power and put the state’s system in control of an elected board.""

https://bangordailynews.com/2022/01/13/politics/effort-to-create-a-public-power-utility-could-miss-maines-2022-ballot-joam40zk0w/. "
GreenEnergyWorks	Puerto Rico can be a model for large-scale implementation of rooftop solar energy and battery storage, given the island’s year-round sunlight.
AntiTax	"The right to vote is enshrined in the US Constitution, and it is a right and a privilege for all those who are citizens to exercise! So, it shouldn't come as a surprise to anyone that we need to screen our Texas voter roll against non-citizens voting in our elections, and in this front page story by Jeremy Wallace, “GOP plans a push for purge of voter rolls,” —- https://www.houstonchronicle.com/politics/texas/article/Here-comes-another-Texas-voter-purge-but-this-16464794.php —- explains what in SB 1 was changed to do this comparison correctly in the future, as maintaining a voter roll with integrity is paramount to having election results both the candidates and the public can trust!

Basically, the bill sets up guidelines on citizenship cross checks using DPS data of the type I advocated for 15 years ago as Harris County Voter Registrar to the Federal Congress. You see, the ""Feds"" could have provided a citizenship list for decades if they wanted to, but we are the largest nation on Earth without one...

Therefore, it's up to the Texas Secretary of State Elections Division to use the DPS data correctly, and yes, to begin a ""purge"" process of voter rolls with local election officials giving the voter a chance to respond to the letter. This happens every two years by federal law - a ""purge"" of those voters who have moved or died, etc... and is not some ""Draconian,"" ""Republican"" operation, but one that should happen in every state in the union by federal law, NVRA, HAVA, the Real ID Act, and now in Texas with the passage of SB 1!

When I first got the Voter Registrar job in 1998 in Harris County as Tax Assessor-Collector, there were 50k deceased and felon registrations on the voter roll - 1% of them were voting! If we hadn't cleaned up these registrations, 500 of them could have decided the presidential election in 2000 like they did in Florida. It's why I was Senator Hughes's 1st co-author on SB 1, as I knew how bad the voter rolls can be from actual experience! --- Sen. PB. "
InroadsMadeByRenewableEnergy	In the U.S., heat represents the deadliest type of extreme weather.
AdvocateForGreenEnergy	The next generation of nuclear carbon-free energy can bring affordable, clean energy to Idaho. Like our page to learn more about the power of nuclear energy.
GreenEnergySavesMoney	"Building with concrete improves the sustainability and resilience of our nation’s infrastructure. 

Check out our booth at World of Concrete or learn about our Roadmap to carbon neutrality at shapedbyconcrete.com."
ChallengesFacingRenewableEnergy	"A new regulation was recently passed, by the Arizona Corporation Commission, limiting access to solar!

While this is unwelcome news for SunSolar Solutions, and homeowners, there’s still time for most Arizona homeowners to receive their solar estimates, without any hassle!

So don’t miss out! Join over 7,000 of your neighbors that have requested estimates, from SunSolar Solutions, by clicking “Get Quote” today!"
VirginiaConservativeCampaign	Joe Biden asked foreign countries to produce more oil instead of INVESTING in TEXAS. It’s time to tell Biden NO more foreign oil.  Add Your Name if you agree >>>. 
PoliticalActivismForRenewableEnergy	"New York Republican Chairman Nick Langworthy will continue his statewide “Just Say No” tour in Columbia County to highlight the Party’s opposition to the November election ballot propositions. #JustSayNoNY 

Columbia County GOP. "
AdvocateForGreenEnergy	"November is Native American Heritage Month, and while we believe that the rigorous and diverse study of history should be a yearlong/lifelong pursuit in order to be a balanced citizen, we would like to offer this as an opportunity to inspire you and your neighbors to learn more about our people. We have a few books that will start you off in the right direction:

'Waterlily' by Ella Cara Deloria
'Our History is the Future' by Nick Estes
'The Heartbeat of Wounded Knee' by David Treuer

#NativeAmericanHeritageMonth #Indigenous #StandingRock. "
OilAndGasExtractionRisks	One of the first nations to move to recognize the Taliban’s legitimacy amid its takeover of Afghanistan was communist China. For those that pay attention to geopolitics, this didn’t come as much of a surprise. Yet, beyond mere realpolitik and great-power posturing, another tangible, even materialistic, reason has become clear: Afghanistan’s abundance of critical minerals.
TackleClimateChange	"Amid frightening climate-fueled disasters, flood disasters are the most common and costly. We need to make sure federal policies help families through disasters. 

Tell FEMA to protect millions of people and homes from the impacts of extreme flooding, especially those in low-income communities and communities of color.

FEMA is accepting comments on their reforms through January 27—make your voice heard NOW!"
ChallengesFacingRenewableEnergy	BIG Water News: OpenET, a new online platform that uses satellites to estimate water consumed by crops, launched today, making critical data for water management widely available in 17 western states amid record drought.
TackleClimateChange	There are issues with any technology to provide power. The climate benefit from eliminating carbon emissions is the number one goal for our children’s future or they’ll live in the dark both figuratively and literally. Our opportunity to build solar microgrids with storage from the revenue of the windfarms (like Anpetu Wi) means much cheaper electricity costs for our people now and in the future. Join us on our mission, let's keep working. 💪. 
ClimateChangeDonations	A recent Maine study shows the increased pollen levels are directly linked to the warming climate as a result of our continued reliance on fossil fuels. Another good reason to move towards clean, renewable hydropower!
AdvocateForGreenEnergy	"⚡ Here are four ways to use energy wisely at home:
https://tristate.coop/4-ways-use-energy-wisely-home
💡 Electricity powers our lives, and as electricity is getting cleaner, there are many ways to help rural electricity consumers use energy wisely and efficiently so that energy isn’t wasted.
☎️  Check with your local electric cooperative or Public Power District (PPD) to see if they may be able to help you with more direct information and rebates to install electric energy-efficient equipment and cut your costs.
#EnergyAwarenessMonth. "
AgencyToStopClimateChange	"We believe in New Mexico and its clean energy leadership. 

Western Spirit is an example of the power of clean energy to create rural job opportunities, to generate investment for local economies, and to build a sustainable future.

Above all, Western Spirit is a testament to the hard work of thousands of New Mexicans. We are so thankful for our incredible team!"
ClimateActionDonation	The Migratory Bird Treaty Act holds companies accountable for bird deaths from disasters like the BP oil spill. Become a monthly donor and help us fight to strengthen this important law and protect birds from all anti-conservation threats.
AgencyToStopClimateChange	"Bellbrook Superintendent David Carpenter has been using the Police and Prosecutors to target his political opponents.

Carpenter has sent multiple secret letters and ran secret, unauthorized criminal background checks on political opponents and potential school board candidates.

David Carpenter should also resign for his aggressive and unethical actions.

No school board president should ever be allowed to use the power of his office in such a manner.

https://youtu.be/5ZM5GRzg1M0. "
AdvocateForGreenEnergy	A recent UN report affirms the need for climate action now. This crisis is urgent—but it’s not hopeless. There’s still SO much we can do to create a safer future for birds. Start your monthly gift today and your first three gifts will be matched.
OilAndGasExtractionRisks	"The U.S. Fish and Wildlife Service has proposed listing two distinct population segments of the lesser prairie-chicken under the Endangered Species Act. Yes, one of those segments includes Oklahoma.

Sound familiar? Over the last 10 years, the lesser prairie chicken has been the subject of controversy and litigation. The oil and natural gas industry has willingly enrolled in conservation measures to minimize the impact of exploration and development on the land lesser prairie chickens call home. $60 million later... those efforts STILL aren't good enough for far-left environmental activists who are actively trying to stop production of oil and natural gas. 

We remain willing to work on conservation efforts to protect the prairie chicken. Read more from Petroleum Alliance President Brook Simmons: https://bit.ly/3v0LjPC. "
StopOilPollution	We have just 30 years to eliminate greenhouse gas emissions and decarbonize the energy system. Join our experts on the journey to net-zero.
RenewableEnergyGrowth	"SB246 will help Coloradans upgrade to new appliances, furnaces, and water heaters that keep their bills low and air clean.

By helping customers who want to make this switch, Colorado can provide better service for lower costs to all customers and create new family-sustaining jobs."
EconomicAdvantagesOfRenewableEnergy	One of the biggest transitions for anyone switching to an electric vehicle (EV) is spending time charging it up. Adjusting from a gas-powered car that can be filled up in minutes to the longer charging times of an EV takes some getting used to. Although charging times aren’t usually an issue for those who can charge at home and leave their EV in the garage or driveway for extended periods, public charging is a different story. Fortunately, many of our fast chargers are in or near shopping centers. Read our latest blog to see what you can do while you wait for your EV to fully charge: http://hwnelec.co/kSxU30s2bax.
SupportForOilAndGas	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses the Judge for the Rittenhouse trial banning MSNBC, VP Harris' Comms Director resigning, Kim Kardashian & the Julius Jones case, & more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Jack Posobiec, Christine Yeargin and Adam Roosevelt who will talk about cyber security, Kyle Rittenhouse verdict and more!

The Spillover host Alex Clark sits down with Doreen Virtue to discuss New Age lies, twisted scripture and false prophets. 

We will wrap up the show with POPlitics with Alex Clark as she dives into the worst couple in Hollywood, the 10 hottest male celebrities, Freak of the Week and more!

#KyleRittenhouse #NotGuilty. "
NuclearEnergyBenefits	"“Some of the yes supporters don't like grandma and grandpa anymore.”

⬛She called seniors who are against the levy selfish.  Said Bellbrook is for growing families. That is code for people over 50 sayings it isn't for you anymore.

⬛This hateful attitude toward people who are retired or near retirement needs to stop.

⬛The yes Pac has allowed our community to split. They are giving a nod and a wink when their supporters blame others for their inability to pass new taxes.

⬛The yes Pac leaders need to resign for having such a horrible campaign that vilifies people based on age.

⬛She thinks she is entitled to your money and is mad at you for not accepting her desire to tax your house. That is what is really going on. 

The yes PAC supporters are a cult of power-hungry bullies filled with hate and Intolerance for those with who they disagree.

##########||######||#####||. "
LegislatorsMustActAgainstClimateChange	Inflation isn’t going anywhere until the Biden Administration changes their policies.
AdvocateForGreenEnergy	"It’s fact-check time! The #Tongass got its own segment on ABC World News Tonight with David Muir — “Tug of war over Alaska's Tongass National Forest, called the 'lungs of America'” 

A lot was shared, including some misinformation, so let’s review the facts.

View the segment at abcn.ws/3bVU32m. And see more details for the “Climate Crisis: Saving Tomorrow” series here: bit.ly/3oemMVW."
AdvocateForGreenEnergy	Peaceful protest is not only our constitutional right, it is one of our most powerful organizing tools.
SupportForNuclearEnergy	"In other states, Duke Energy has committed to cleaning up millions of tons of coal ash that’s contaminating groundwater with arsenic and lithium. In Indiana, Duke wants to leave those toxic chemicals in the ground forever. 

Join us today, and send Duke a message that Hoosiers want them to clean up their mess!"
BuildBetterAct	We have a simple answer for President Biden... reverse the ill-advised policies that are adding to the cost of gasoline.
EconomicAdvantagesOfOilAndGas	Do you love coal energy? Show off your coal pride with Friends of Coal stickers! These are great to give as gifts and perfect to put on hard hats, laptops and more. Sign up for your stickers today!
AgencyToStopClimateChange	Birds can’t fight climate change, but you can. There is hope for climate-vulnerable birds like the American Robin, and that hope is you. Take action today and start your monthly gift to give birds the support they need.
SupportForRenewableEnergy	"Marjorie Taylor Greene is panicked.

Last year, Rep. Marjorie Taylor Greene didn’t have a Democratic opponent. Now, thanks to 76,000 of you who donated, we just matched her in fundraising this quarter, bringing in over $1.5 million.

Next November, WE WILL UNSEAT HER. Help us step on the gas with a $5 donation NOW!"
StopOilPollution	Sen. Browne voted to stall PA’s participation in a program that would limit pollution and boost economic recovery.
AntiTax	Satellites have detected huge amounts of methane pollution from oil and gas companies. The good news: We can do something about it.
AgencyToStopClimateChange	"Shopping local has never been so easy! All it takes is filling your car up with Kansas ethanol fuel.  

Kansas-made E-15 fuel is a great value when compared to regular unleaded:  

✅  higher octane 
✅  lower emissions   
✅  lower price   

Support a Kansas farmer by visiting an E-15 fuel station near you: https://www.fueledbykansas.com/where-to-buy."
OilAndGasExtractionRisks	"Calll Senators Eggman, Hueso, and Hertzberg today!

Call Sen. Eggman (Stockton, Tracy, Modesto San Joaquin Valley).
(916) 651-4005 or (6209)948-7930

Call Sen. Hueso (San Diego, Imperial County) 
(916) 651-4040 or (619) 409-7690

Call Sen. Hertzberg (Van Nuys, San Fernando Valley) 
(916) 651-4018 or (818) 901-5588 

These three Senators are keeping SB 467, a bill that would protect our families from oil and gas activities, from moving forward.

Call them now. Find additional contact information here: http://findyourrep.legislature.ca.gov/. "
OilCreatesJobs	"As we roll into #MemorialDay weekend, we've got a little contest to spice up your cookouts and lazy days. 🔥 Do you have an oil and gas koozie? We want to see it in action! Here's what you need to do: 

1. Take a photo of you using your oil and gas koozie and share it as a post. Bonus points if it's an Alliance koozie! 
2. Be sure to tag us — @petroallianceok — and use #ShowUsYourKoozie. 

That's it! Do that and you'll be entered to win a gift bag of Petroleum Alliance swag. Winners will be announced next week. 

Now, go enjoy your weekend and remember to #ShowUsYourKoozie! 📷. "
NuclearEnergyBenefits	"Imagine having a toxic oil well beside your house or the playground your kids play on. That’s the reality millions of Californians face. 

Take action to STOP dangerous oil drilling near homes and help build a healthy and equitable CA."
OilCreatesJobs	Big Oil has known since the 1960s that burning fossil fuels damages our environment. But they've lied and ducked responsibility. So when the bill for the climate crisis comes due, who should pay?
AdvocateForGreenEnergy	According to a recent report, there are currently 12 million jobs in renewable energy globally, up from 11.5 million in 2019.
GreenEnergySavesMoney	Did you know your hot water heater accounts for 18% of your energy costs? Lower your bill by lowering the temperature to 120°F. Learn more ways to save at bge.com/save.
OilAndGasJobs	Protect affordable energy and consumer choice in New Jersey. Sign the pledge today!
AgencyToStopClimateChange	Let's leave the toxic relationships to Euphoria. We deserve a healthier energy relationship. #BreakUpWithGas. 
AntiDemocraticCandidates	"Critical Race Theory isn’t always presented as “Critical Race Theory” our school boards along with teachers unions and teachers themselves have disguised “CRT” in concepts such as Action Civics, Anti-racism, Anti-blackness, Collective guilt, Unconscious bias, Critical self-awareness, Diversity, Equity, and Inclusion (DEI) Educational justice, Institutional oppression, Marginalized identities, Systems of power and oppression, White privilege, White supremacy, Whiteness, Woke behavior, pro-nouns. 

As a result, our children have become depressed, have extreme anxiety, and withdraw. We are witnessing an increase in teenage suicide by 32%, while school boards and our children’s teachers think they have the right to cut parents out of the social and emotional wellbeing of our children. Our schools are there to educate our children in Math, English, Reading, Science, History, and civics. 

What teachers have no place teaching our children is ‘CRT” as a parent if my child struggles with self-identity, depression, anxiety, or any other personal concerns that is between my child and myself, not my child’s teacher or school psychologist, nor should any parent owe an explanation to how we handle our personal family concerns with our schools. Teachers teach and Parents raise our children, more importantly, we name our children not ‘Woke’ teachers and their dangerous pro-nouns. 

I will spend the next twelve months traveling district 2 of Massachusetts visiting every school board determining how are federal dollars are being used to harm our children."
GreenEnergySavesMoney	Infrastructure is more than roads and bridges. It’s new pipes for cleaner, safer drinking water.
BuildBetterAct	"Kansans Fueling Kansas talks with Angela Tin from the American Lung Association, which has been working to improve lung health since 1904. Vehicle emissions from traditional fuels affect air quality, and therefore lung health. 

Replacing traditional fuels with Kansas biofuels means better air quality and better health because higher ethanol fuel blends are 

✅  cleaner
✅  renewable
✅  biodegradable

Shop local and support clean air for Kansas by visiting an E-15 fuel station near you: https://www.fueledbykansas.com/where-to-buy."
LegislatorsMustActAgainstClimateChange	The NY State Legislature is considering a new carbon tax on your gasoline, natural gas, propane, oil, and electricity that could cost you thousands of dollars. Find out more and make your voice heard at https://www.stopnycarbontax.com/.
DemocratOutreach	"President Biden is taking action to lower your gas prices, Granite Staters. 

As New Hampshire continues to recover from the pandemic, President Biden is committed to bringing down costs for working families."
ClimateActionDonation	Sen. Kaine wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.
AdvocateForGreenEnergy	Ten proposed bills that included environmental justice measures, industry accountability and emissions reduction programs never made it to a final chamber in the state Senate or Assembly in the face of opposition from the oil and gas industry.
EconomicAdvantagesOfRenewableEnergy	Dubai recently launched its first industrial scale green hydrogen plant. Through a method called electrolysis, it will use an electric current to split water into oxygen & hydrogen. This technology is also being used in California. Learn more - https://www.cnbc.com/2021/05/20/dubai-launches-regions-first-industrial-scale-green-hydrogen-plant.html. 
CallsToInvestInRenewableEnergy	Have you had to pay more for gas, groceries, or other essential goods and services due to inflation?
CallsToInvestInRenewableEnergy	Will you give $25 today to support re:power Progressive Governance Academy (PGA) alumni working on important issues across the country? The impact we make today will have lasting effects on public policy, electoral politics, and the entire political ecosystem in which we operate.
AdvocateForGreenEnergy	As hydrogen continues to be recognized as an important tool to address climate change, we’re excited to partner with H2U Tech to test innovative & less expensive technology that produces green hydrogen from water and renewable electricity. Read more via Technology Magzine. 
OilCreatesJobs	"From Saturday's Sun Journal: ""I’ve heard the criticism that these jobs are temporary. Those in the construction business know all jobs are temporary. It’s great that these workers have a steady source of employment for several years.""  https://www.sunjournal.com/2021/03/27/matthew-roy-necec-critical-for-economy-infrastructure/. "
ProtectFromHarmsCausedByFossilFuels	Did you know your hot water heater accounts for 18% of your energy costs? Lower your bill by lowering the temperature to 120°F. Learn more ways to save at bge.com/save.
ProtectFromHarmsCausedByFossilFuels	“One in three children here in Waukegan have asthma, and that’s mostly due to the coal plant that we have along with five EPA superfund sites that are so polluted,” Flores said.
