theme,tweets
ClimateChangeDonations,"Sorry to stop your scrolling, but the climate crisis needs your attention right now!

𝟏𝟏:𝟓𝟗 𝐏𝐌 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄 | 𝐘𝐎𝐔𝐑 𝐀𝐍𝐒𝐖𝐄𝐑 𝐌𝐈𝐒𝐒𝐈𝐍𝐆. More than 97% of actively publishing climate scientists agree that humans are causing climate change. We need to take action to stop it. But we were alarmed to see that with only hours until our 11:59 PM poll deadline, we’re still 27 responses short! We need to hear from you now: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬?"
OilAndGasTaxesBad,Natural gas is methane — a potent and environmentally dangerous greenhouse gas. There’s no room for natural gas in our clean energy future.
LawmakersAndOilAndGas,"Stricter transportation standards at the local level reduces pollution that harms our communities, all while cutting fuel prices and driving innovation for zero-emission vehicles.

Tell the EPA to restore state leadership on vehicle pollution regulation."
RenewableEnergyPromotionAndGrowth,Michigan needs clean energy that works for everyone. Smart energy policies will keep electricity affordable and reliable. Learn more and sign up to be a Michigan energy advocate.
CleanEnergyPromotion,"Wildfires. Flooding. Heatwaves. Hurricanes. The urgency of going bigger and taking bold action to address climate change is clear -- and the current Senate infrastructure package doesn’t nearly come close to what we need. 

Add your name to demand Congress to go bigger and deliver a bold infrastructure package through reconciliation that fully prioritizes clean energy standards!"
RenewableEnergyEconomicBenefits,We can work together to reduce our carbon footprint through renewable energy. Learn how you can help TODAY! Link in Bio #renewableenergy #solarenergy #solar #solarpower #cleanenergy #greenenergy #energy #solarpanels #gogreen #renewables #gosolar #solarpanel #climatechange #environment #solarpv #sustainableenergy #solarsystem #photovoltaic #ecofriendly #windenergy #solarpowered #electricity #sustainable #windpower #savetheplanet #windturbine #renewarizona #arizona. 
PoliticalTraining,"San Diego County Democratic Party and California Young Democrats are SCARED of CCR. Both groups attacked CCR on Twitter last night for backing the recall of La Mesa-Spring Valley Schools school board member Chardá Bell-Fontenot. Chardá called the idea of reopening our schools a “white supremacist” ideology that was akin to “slavery.” These Democrat groups told CCR to “sit down an[d] shut up” and to keep Chardá’s “good name out of [our] mouths.”

We say: “HELL NO!”

Chardá Bell-Fontenot has no good name after her disgusting comments that trivialize true racism. Chardá is getting recalled. And the Dems know it. They’re scared. 

They attack when they know we’re winning. CCR, Reform California, and Carl DeMaio threaten their power. And we’re not backing down.

Recall Chardá Bell-Fontenot. SchoolBoardRecall.org. "
CallToActionAgainstOilAndGasIndustries,Thank Senators Hoeven and Cramer for fighting for farm families and a healthier environment for birds and people. The Growing Climate Solutions Act is the first step toward raising farmer income while reducing carbon emissions. Sign up today to show your support!
CarbonEmissionReduction,"“Transportation is one of the largest sectors for greenhouse gas emissions,” Phoenix Electric Vehicle Program Manager Karen Apple said. “By getting more electric vehicles adopted in the city by our residents, it will further decrease the greenhouse gas emissions.” 

This is good for the economy, the environment and the air quality."
OilAndGasBoostEconomy,The oil & gas industry needs our support now more than ever. It’s up to us to fight back.
PropertyTaxCampaign,"""9-point financial plan for recovery""
My 9-point plan for recovery is to end the need for an ""emergency levy"" and solve our school district's financial crisis once and for all. 

Here is a starting point for discussion to retore sound conservative principles to restore frugal financial management to our schools.

The schools are our most expensive property tax burden. It is time that someone starts looking at the money. Much of this analysis comes from past audits, which board members ignored. 

1. The school board has a little known, but costly perk. The school board not only pays the employer's share of the benefits, but the bonus is, they will also pay the employee share. It's called a ""pickup."" 

Employees love it as the ""pickups"" benefits themselves are very rich, and the cost is zero to the employee. 

The state auditor said this was short term thinking that leads to a severe financial taxpayer burden. In short, it is a ""hidden taxpayer rip-off"" and needs to end.

2. Benefit plans should be in line with the private sector. Total cost per employee should including account for wages and benefits combined to arrive at a correct taxpayer cost. 

No matter the position, every hired employee should have a total cost sheet so school board members can make well informed financial decisions. Total cost per employee should also state any projected bonuses.

3. Unlimited sick days sound great, but sick day banking days become abusive and wreak havoc on liability obligations. By putting limits on sick days like the private sector is a far more financially responsible path.

4. All bonus payments need to end until a complete forensic audit evaluates the bonuses from a business-oriented perspective. Perks paid out as a method of inflating wages is an indirect manner to hide the real cost from taxpayers and needs to cease. 

5. All additional educational compensation reimbursements need to be approved and have to be ""State required"" to perform the position currently held. If the current job does not require other educational benefits, the employee should pick that expense up, not the employer.

6. End the practice of double-dipping during hiring. It is ultimately more expensive to the taxpayers and is a bad deal. Once retired, never rehired.

7. Reform salary schedules and step systems to reflect the communities willing to tax themselves. Overly aggressive payroll schedules need to be reviewed and adjusted to reflect the economy and private sector. Right now, the current system is a bad deal for taxpayers. We need a fair deal, not a bad deal. A ""top out"" wage rate requires implementation.  

8. Stop paying bonuses to employees as a reward for retiring.

9. Produce benefit summary sheets for the taxpayer to examine average retirement savings and cost of employees. Such reports are standard in the private sector for management. This practice would allow taxpayers and board members to become more aware of the actual costs.

Using my business background, I have gained many insights over the last 45-years into running successful multi-million dollar operations. The Bellbrook school fiances have received detailed attention by myself and outside financial experts, including auditors. 

The goal is to streamline expenses, reduce cost, maintain quality and introduce the same spirit of efficiency that cutting-edge companies use to excel.
 . 
Understanding how we got here means the current crisis was put into place by past poor decision making—built upon a never-ending property tax levies model, which has led the school district to an over-reliance on property taxes. 

Even the Ohio Supreme Court agrees with that. To tax less, we need to spend smarter. We need to be thrifty like a Farmer.

The reward is simple. 

With proper management of tax dollars, a high-quality education for our children is attainable. Smaller class sizes are possible. By following this 9-point road map, the district can bring back many of the programs cut to cover wages, benefits, and Pickups. Such as bussing and educational programs can be brought back.

The whole idea of agreeing to contracts of any kind without examining the long term financial impact needs to end immediately. Demanding new tax increases every 4-5 years on your homes, for the last 47-years, needs to stop. 

Once we balance our school district's balance sheet and stop the financial bleeding, I will be going after the State of Ohio for the money our community has been unfairly and illegally denied.  I will do what the naysayers and yes supporters think is impossible. I will get the money which is rightfully ours.

Bellbrook-Sugarcreek needs a person who is not afraid of those in power. Our community needs a fighter. I am that person. 

I will get the money that has been denied. I will do what every school board has failed to do.  I will fight those in power in Columbus and correct this injustice. 

One only needs to look at what I have accomplished so far in taking on the establishment. I have won and they have lost.

All taxpayers deserve to be told the truth and treated with respect by the school board. 

It is time to elect board members with actual business experience to serve on the school board and stop waste. 

A wise farmer once said, If you watch the pennies, the dollars take care of themselves!  Please join the Bellbrook-Sugarcreek Property Tax Revolt of 2021.

Change is coming in 2021.
NO MEANS NO!

"". "
BuildBackBetterActCampaign,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Speaker Pelosi, for putting California's working families first by voting to create clean energy jobs right here and take on climate change right now."
RightWingCampaigns,"Fellow Virginia Patriots,

The most important election date in 2021 is coming up on June 8th, and we need your help.

Yes, the Convention to nominate Governor, Lt Governor and Attorney General already occurred. But if you understand politics, you know that the  legislative branch is the most powerful branch of government.

And on June 8th, there are countless primaries for seats in the House.

If you listen to the political establishment they will tell you that the November General Election should be your focus, but whenever a member of the political class tells you something, you have to stop and ask-
 
""How will this benefit them if I believe them?""

The plain truth is that the most important elections are the Republican Primaries that are coming up in a few short weeks.

Why?  Quite simple really.

Unless you have true patriots on the November ballot, conservatives will just sit home because they will not care.

And this is why we need your help today.

In over 15 years of grassroots activism, nothing is more true than the fact that wishy-washy candidates change voters from caring to not caring.  And if they don't care, they won't show up and vote.  And if they don't, the continued destruction of Virginia will continue.

This is why it is vitally important that real conservatives are on the ballot this coming November, and we need your help to make that happen.

All across the Commonwealth there are true patriots running in the June Primary, but the establishment is doing its best to be sure you have the same old, compromising candidates come November.  Over a year ago we launched Restore Virginia Now.  This program was created not only to rip the power away from the gun grabbers and Richmond Radicals, but to do so with lovers of liberty.

The response has been overwhelming.  I mean, how could it not be when the Republican establishment is pushing candidates that voted for Red Flag Gun Confiscation, Obamacare Expansion, Funding Planned Parenthood and expanding Northam's lockdown and forced vaccination powers?

If we let the Republican Establishment win in June, that is the sure path for the far left radicals to win in November.  It is that simple.

 Because voters will not care and I don't blame them one bit.  Is 'republican' anti-gun legislation better than 'democrat' anti-gun legislation?  Of course not!  But the 'lesser of two evils' argument is primed and ready to go unless you act today.

This is why I am asking you to fund our efforts to get real conservatives on the November Ballot.  And the only way to do that is to have them win in the June Primary.  Will you contribute to our efforts to do so?  If so please click here and donate to Restore Virginia Now, so that over the next couple of weeks we continue to shine a hard light on the fake conservatives.

https://donorbox.org/restore-virginia-now

If you hope to save Virginia we simply cannot allow backstabbing politicians on the ballot in November. I don't know about you, but I am sick and tired of hearing there is no difference between the two major political parties.  It is time you and I do something about it!  We need to be sure there is a clear difference between Candidate D and R in November...to make conservatives care again and the give them a reason to show up and vote!

Because if all they are offered are evil R and evil D, they will not.

 This is exactly why we created our 2021 State Candidate Survey.  There was one simple goal, to get politicians on record on hard issues that make voters care.  To show which candidates will stand and fight, and which are content with just playing loyal opposition. 

Here at the Virginia Constitutional Conservatives we realize how important this upcoming Primary Election is.

That is why we sent out our 2021 State Candidate Survey to all candidates, asking where they stand on such issues as-

Defending and restoring the 2nd Amendment by not only repealing Red Flag Gun Confiscation and  Universal Gun Registration, but also supporting Constitutional Carry to prevent you from begging the government's permission and paying a tax to bear arms.

Eliminating the Governor's Shutdown orders and forced vaccination

Parental Choice in Education

Ending the expansion of socialized medicine, and so much more

Many candidates answered these vital questions on our survey, but many others refused to.  If they refuse to answer these simple questions, it makes you wonder what they are trying to hide from the voters.

You can click here and to see the results of our 2021 Restore Virginia Now Candidate Survey.

https://virginiaconservatives.net/2021-rvn-candidate-survey

We have all seen these fake conservatives vote time and again to destroy the 2nd Amendment, grant more power to the Governor to shut down our schools, churches and businesses, and support the government monopoly on education in Virginia.  And the voters see it as well.  And if that is the only choice they have in November, well, they will sit at home.

And if we hope to take back our Virginia, we simply cannot have run-of-the mill-politicians running to represent us anymore.  Virginia is home to James Madison, Patrick Henry, George Washington and Thomas Jefferson.  These brave statesmen risked their lives, their fortunes and their sacred honor to create and defend your liberty.

And we need the same champions today.

It is time the people no longer have to choose between Evil A and Evil B.  For the lesser of two evils is nothing more than the establishment's effort to destroy the Constitution with your election day votes.

And with your help, between now and June 8th, we will continue to work in key districts, shining the hard light of truth on primary candidates, and spreading the light of liberty across the Commonwealth. Will you help us do so?  If so, please click here to donate whatever you can afford to help us lay the groundwork to win in November.

https://donorbox.org/restore-virginia-now

Whether it is $50 or $5000, we will use every dime to be sure we have November Candidates that can win.

 
 

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives. "
NuclearPowerOtherBenefits,Advanced nuclear reactors will provide reliable power for Wyoming and create new clean energy jobs. Show your support by liking our page today.
NuclearPowerEconomicBenefits,"📺📺 WATCH: Join our interview with Bud Albright, CEO at the U.S. Nuclear Industry Council.

He is the former Under Secretary of the U.S. Department of Energy. In that role, as the third most senior official at DOE, he provided leadership for energy and environment programs, including: energy research and development; demonstration and deployment; environmental cleanup; legacy management and radioactive waste management, all with a total budget of nearly $15 billion. 

Albright was appointed by President Bush and was unanimously confirmed by the U.S. Senate.

To celebrate National Nuclear Science Week, we are interviewing 4 top experts in the field.

Tune in for this one and check out our schedule for the others!"
