text,name,Annotation
Please please please please please please please please please please please please do this!!!! @GovKathyHochul https://t.co/OJYyVja2wp I do not want my children to be forced to be in a room with unvaccinated children 6 hours every day.,anti-vaccine conspiracy outcomes,0
"🚨Make your COVID vaccine appointment today if you are eligible!

🚨¡Haga su cita para la vacuna COVID hoy si es elegible!#l
https://t.co/38EzjSc9Lk https://t.co/sC2B9CkFh4",family covid vaccine experience,0
"Undocumented immigrants can get the vaccine without fear of deportation or arrest, @DHSgov says.

But local experts say that might not be enough for a population at more risk for #coronavirus to get vaccinated.

More via @DispatchAlerts:

https://t.co/0br9HaRaPd",trump supporters saying biden is wrongfully taking credit for vaccine,0
"@thenewsoncnbc @megtirrell Despite reassurance, going for the COVID vaccine was stressful. Here in Florida, however, it was a military-like operation. No wait, hundreds there, Fire and Rescue directing vaccination participants. Likewise, my brother in HI. After years' isilation, process supportive, easy.",wholesome reactions to getting the vaccine,0
"@sharon_panneton @JustinTrudeau ""More Than 400 Million Shots Given: Covid-19 Vaccine Tracker"" https://t.co/K4S7QB5jyH",wholesome reactions to getting the vaccine,0
"@BookerSparticus Listen to the truth

https://t.co/jZhqNmFZzW",covid related deaths,0
"@Aprescoup101 Lol
You still equate COVID to the flu.

Like I said stop reading Global Research they will be the first to butt in the vaccine line but keep you believing it is a hoax. Don't be the guy on the gurney on KTLA mask up/keep your distance I need you in 202.",non-covid vaccine comparision,1
The U.S. Food and Drug Administration issued an emergency use authorization for the third COVID-19 vaccine developed by Johnson &amp; Johnson. https://t.co/yY9RYp3icI,halting vaccination due to adverse effects,0
Largest CDC COVID-19 Vaccine Effectiveness Study in Health Workers Shows mRNA Vaccines 94% Effective | CDC Online Newsroom | CDC https://t.co/yCAGdDZcZ9 via @CDCgov @ACPMissouri  @CoxHealth @AmerGeriatrics,corelation between trauma and covid,0
"Dow Jones Futures Extend Fed Rate-Hike Retreat; Goldman In Buy Range, Covid Vaccine Play CureVac Crashes https://t.co/5AhCjwbWxS via @IBDinvestors",criticism of governments' response to vaccine,0
"This is interesting. I don't know if it will work, but I'm glad they're trying. #covid #VaccinesWork #VaccinesSaveLives

(I've unlocked the article for non-subscribers.)

https://t.co/fRPO8mQ7YX",wholesome reactions to getting the vaccine,0
"Fair warning y'all: the vaccine (Johnson &amp; Johnson) is giving me a bit of symptoms.  Almost as if I have Covid.  Nothing severe, but be ready.  Try to take the day off work or something when you get it.  Allow some rest.",family covid vaccine experience,0
Scheduled for covid vaccine and I’m FREAKING 😬,wholesome reactions to getting the vaccine,0
@stockpilevegas @saulweezy @reecebrennan @LasVegasLocally Good questions - it’s both. The vaccine helps prevent the spread of COVID and also makes symptoms less severe and reduces rates of hospitalization.  Definitely worth looking into to protect yourself and others.,inefficacy of vaccine,0
"From the COVID victims on their deathbeds begging for the vaccine to city council members using the N word in meetings, there are SO MANY reasons why I’m grateful not to live in Alabama anymore.",anti-vaccine conspiracy outcomes,1
If I give birth next week then I lose my eligibility for the phase 1c covid vaccine. Low key salty lmao,state vaccine eligibility,1
"Pregnant what?  The term ""pregnant people"" is NOT science.  You can say you identify as a toadstool if you want, but science knows only one sex can be pregnant. https://t.co/pfTkSPqmmr",anti-vaccine conspiracy outcomes,0
@jayardot @ABC7 We don’t know how long vaccine immunity lasts either but all research suggests it’s less robust than immunity from infection. Even micro-exposures to covid prompt an immune response… it’s ridiculous to assume covid is fundamentally different from other viruses.,institutional adverse childhood experiences,0
You still get COVID with the vaccine so wtf is the difference? Stupid asses https://t.co/RwdI68QP64,covid related deaths,0
let me get one (1) COVID-19 vaccine please,anti-vaccine conspiracy outcomes,0
"CA gubernatorial recall candidate Anthony Trimino boasts @WellpointHSLtd, @CoveredCA, @CareFirst, @AlignmentHealth, Care1st, @CareMoreHealth, @Humana as clients of his company TRAFFIK.

This, despite organizing a rally against COVID vaccine mandates (supported by ~2/3 of the US). https://t.co/kJtEuPUxQe",wholesome reactions to getting the vaccine,0
Nothing really sums up how the US handled the pandemic like getting your covid vaccine in the frozen food aisle of a CVS,wholesome reactions to getting the vaccine,0
"@jmaro23 @DrJasonJohnson I believe the vaccine keeps one from dying or being hospitalized with severe Covid. And it’s not 100% effective for preventing contraction, it’s 95% 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️",inefficacy of vaccine,0
Update today was the day that my mom was also waiting for because she got her second dosage of the Covid vaccine she’s gotten the Pfizer All good so far The only thing has been injection site soreness but other than that nothing so happy for her 🥺🥺☺️,wholesome reactions to getting the vaccine,0
Just woke up from the quintessential American nightmare. Dreamt that I showed up for my 2nd covid vaccine jab &amp; was told it would cost $72k bc of a change to my insurance. I assume people in other countries have normal nightmares about zombies or fires or dogs eating homework?,wholesome reactions to getting the vaccine,0
@TIME @CliffAYoung @_JustinGest India covid going down everyday . And today India has been lower in covid cases then uk . Uk covid going up everyday. India is ending covid. And also India vaccine going up everyday . With 22 percent of the population taken atleast one dose. https://t.co/GrYmQ3S1d2,Error,1
@pepsi @MoStateFair Not while Covid is out of control. No way would I join the unmasked vaccine deniers,anti-vaccine conspiracy outcomes,0
"The COVID vaccine bus tour kicked off here in Greenville, SC, and the @VP ends the trip thanking her advance team who made it all possible https://t.co/yqhml0aD8z",family covid vaccine experience,0
What an amazing experience it was getting my first dosage of the Covid-19 vaccine. I was one of those patients that had to wait the full 30 minutes due to having allergies that cause Anaphylaxis. Thank-you once again @PennMedicine 💙,wholesome reactions to getting the vaccine,1
"So the Covid vaccine doesn't have any effect on the delta variant, which has turned out to be far more deadly than Covid. There's going to be another government shut down bc they already failing at disclosing how bad it's gotten.",inefficacy of vaccine,1
"@HouseThicc @JeremyS_7 That would be like going to the grocery store and someone can’t buy groceries all because they don’t have a vaccine. I mean if people are so scared of getting Covid, then just stay home. You have be able to pick what you can and can’t do. It’s your life. Not someone else’s.",anti-vaccine conspiracy outcomes,0
Ya boy finally got his second covid vaccine but catch me still being in quarantine and social distancing ᴮᵉᶜᵃᵘˢᵉ ᴵ ʰᵃᵛᵉ ⁿᵒ ᶠʳᶦᵉⁿᵈˢ ᵒʳ ᵃⁿʸᵒⁿᵉ ᵗᵒ ʰᵃⁿᵍ ᵒᵘᵗ ʷᶦᵗʰ ᵃʰ ʰᵃ ʰᵃ https://t.co/89lVIYOIDr,wholesome reactions to getting the vaccine,1
"@anoatman @Laurelerin @DelfinaValdez8 @AnaCabrera Here's an article from April. 
https://t.co/zbbgUswXhN https://t.co/xfGvOUV2Eu",anti-vaccine conspiracy outcomes,0
if u ever attended a high school luau u shouldn’t be afraid of the covid vaccine,anti-vaccine conspiracy outcomes,0
"@RogerThatGraham I don't think that would work either tho, because it fails to factor in time. Theoretically, if we were all immortal except for COVID, and the pandemic lasted forever,  eventually EVERYONE would die of it, vaccine or no.",non-covid vaccine comparision,0
.@LSUHS/@LSUHSEVTLab are working to deliver the vaccine directly to communities that are rural and medically underserved. Vaccination clinics are also happening later in the day with more working adults becoming eligible to be vaccinated. https://t.co/BLflmbw0cL,wholesome reactions to getting the vaccine,0
“Because I don’t get the flu I don’t have to get the covid vaccine”.😐😐😐😐 it’s quiet bruh,non-covid vaccine comparision,1
"@AccountableRep @exoticgamora @joncoopertweets I heard on Joy Reid's show tonight that he recently had his THIRD dose of vaccine, and he's receiving antibody treatments to fight the Covid.",wholesome reactions to getting the vaccine,0
Why did Missouri elect @GovParsonMO? We knew he didn't care about protecting us from Covid. We shouldn't be surprised when we are last in the nation at vaccine distribution. Parson has failed us. #moleg,trump supporters saying biden is wrongfully taking credit for vaccine,0
"New COVID vaccine appointments available for 78640 at Walgreen Drug Store, 6205 FM 2770, KYLE, TX. Make your appointment at https://t.co/W3ki0Bekd0",vaccine appointments,1
@RyanUrqPxP @T_K_Williams *wipes tears with COVID vaccine card*,wholesome reactions to getting the vaccine,0
"@Roselan14238334 @AaronSi75795173 @jasonrantz I am curious though. The vaccine doesn't prevent you from getting covid. It helps prevent you from dying of it. Some will fight it off before they can spread it others will not. So why the push? A vaccinated cop could respond to you that was positive with mild symptoms,  no?",non-covid vaccine comparision,0
"In answering to Biden mandates, masks are not going to help against bullits,  is all a big show to make himself useful, but he has done all the damage 

Biden mandates 'effective immediately' COVID vaccine for all US military personnel https://t.co/eWCDeIoj3T via @amermilnews",trump supporters saying biden is wrongfully taking credit for vaccine,0
There's a risk associated with every vaccine. As a society we need to weigh those risks with the benefits. And the benefits with the Covid vaccine outweigh the risks by far. Just take it people. We need to protect each other and ourselves.,corelation between trauma and covid,0
"@SirLEFTYDuro At this point the vast majority of hospitalized covid patients are unvaccinated.

It is proven that the vaccine unequivocally reduces the likelihood of hospitalization, death, and spread.

I agree- America has a physical and mental health reckoning that is long overdue.",anti-vaccine conspiracy outcomes,1
https://t.co/oAGos6lnOS “Ladapo has a public history of promoting unproven treatments for COVID-19” Goddess Bless Florida! They’re going to need our “thoughts and prayers”,anti-vaccine conspiracy outcomes,1
"@jimbrownisdead @JScoreForever @mattyglesias Why assume that when you can just ask @JScoreForever?

1. How does this vaccine work?
2. What is injected into you?
3. Does it confer immunity to COVID?
4. Do vaxed have lower viral loads than unvaxed when infected?
5. How many ppl is the US have already had COVID?",non-covid vaccine comparision,0
"Their excuses: 
“I don’t trust the vaccine” 
“I don’t believe in COVID”
“Aqui dice en facebook que la vacuna es mala”",anti-vaccine conspiracy outcomes,0
"@CDCgov What do we do if we are allergic to the covid vaccine? I had my first Phizer vaccine, went into anaphylactic shock, given Epipen on site, left and went into shock again,ambulance took me to hospital &amp; I spent 4 days. Will there be cards for people who can’t be vaccinated?",wholesome reactions to getting the vaccine,0
"@10TV He's a whack nob! Only separated Americans more! How quickly people forget! Camilla our whacko VP flat out said if the Covid-19 Vaccine comes from Trump I ain't going to take it. Come on man if you're black, damn people seriously WTFUÀ",criticism of governments' response to vaccine,1
This COVID and Delta Variant bullshit is annoying I got the 1/2 of the vaccine but just spent 20.00 dollars for new mask?! Make it make senseeeeee.,non-covid vaccine comparision,0
"@TayAvEvBud @WSJ No he didn't. He can't  distribute what wasn't received. It is the federal government's job to distribute the vaccine. Look it up.

https://t.co/aFcOSoPBlo",criticism of governments' response to vaccine,1
"""US regulators give full approval to Pfizer COVID-19 vaccine""  https://t.co/f66UOhzPMa",family covid vaccine experience,0
"EPISD vaccine update:

Interim superintendent Mr. Sheffield has applied for @ELPASO_ISD  to become a Covid vaccine provider. In the interim, we partnered with UMC to get our employees who fit into categories 1a and 1b vaccinated.",state vaccine eligibility,1
This dude on Instagram really compared the covid vaccine to the Tuskegee airmen… I can’t…. I just can’t. 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,anti-vaccine conspiracy outcomes,1
"@CashDebbielee @seanhannity BTW get the shot
https://t.co/1aDTjXalYd",family covid vaccine experience,0
@tedcruz If only u n 45 given as much energy in implementing COVID vaccine distribution n injection sites! I see pts in clinic everyday that STILL don't have access to a vaccine! #DoRightThing #ResignTedCruz what was it again 45 called you? #LyingTed ❤my hometown San Antonio Tx https://t.co/ckugVGP8Rg,pharmacy hiring,0
"This is terrific news from The @WhiteHouse. President Joe Biden is demonstrating what competence and compassion can bring to the fight against #COVID19. As we all wait for the vaccine, continue to #WearAMask and #SocialDistance. https://t.co/22jEEJbDTH",trump supporters saying biden is wrongfully taking credit for vaccine,0
"@FI_Inc @GovRonDeSantis @jenna_persons @isayray Other governors saw the covid-19 pandemic as a public health crisis. 

DeSantis, following Trump’s lead, saw it as an opportunity to score populist points with the base by opposing mask mandates and vaccine passports. https://t.co/sssDvaDWbP",trump supporters saying biden is wrongfully taking credit for vaccine,0
lmfao lmk who many ppl are in the ICU from…COVID vaccine side effects…please https://t.co/Is0DH3CjW4,anti-vaccine conspiracy outcomes,1
Catholic cardinal who spread vaccine misinformation now on a ventilator battling COVID-19 https://t.co/A49gpqF9Iy,covid related deaths,0
So they can make a vaccine for COVID-19 but not make a vaccine for  FEELINGS… wack,wholesome reactions to getting the vaccine,0
I think the COVID vaccine cured my PCOS lmfao. Why the FUCK have I had a period in the last 2 months??! https://t.co/CikRrhp05e,anti-vaccine conspiracy outcomes,0
"Meh - covid is no big deal. I'm healthy, I'm not scared of an over-blown flu!

Interesting how every single one of them come out the other side of a covid infection with ""a new outlook on life"" and their vaccine hesitancy cured. https://t.co/aIVtdFypnT",anti-vaccine conspiracy outcomes,1
@Sifill_LDF I don't believe a Chiropractic doctor  should be able to right an exemption against getting the covid vaccine.,covid related deaths,0
Will Pfizer COVID vaccine need a third dose? Company CEO explains why that’s ‘likely’  -  https://t.co/7yXES2Q09w,family covid vaccine experience,0
"@DrEricDing @Watchdogsniffer 85% vaccinated may well be impossible. Republicans account for roughly 24%, and most are spreading anti-vax propaganda. So Covid will likely be with us indefinitely. And continue to mutate. 
How long before we see a variant that not covered by the vaccine?",non-covid vaccine comparision,0
"A lot of good happened on this Friday. I took my very first few slow steps full-weightbearing since March 17, then with two weeks gone by since my second Moderna COVID-19 vaccine shot I was able to finally give my parents a hug and sit down together for a meal inside their home. https://t.co/tpB9bMb2gT",wholesome reactions to getting the vaccine,1
Judge Rules Texas Hospital System Can Require Employees to Get Covid-19 Vaccine https://t.co/bk8QPyuuKb,proof of vaccine,1
"@postcards4USA Yes. As far as I know, I have not heard metallic taste in mouth with any other vaccines except the mRNA COVID-19 vaccines i.e. Pfizer and Moderna. The metallic taste can be felt usually up to 1-2 days after the vaccine and then gets better on its own.",wholesome reactions to getting the vaccine,0
"@DirkHammer4 @bpolitics The vaccine DOES NOT stop you from getting the virus! My daughter who is a PA has had the 2 shots, well guess what she has covid!! Shocker !! She’s also a liberal who thought Beijing Buyden was gonna save the world....",non-covid vaccine comparision,0
"CNN: UK chief medical officers defend delay of second Pfizer Covid-19 vaccine doses.
https://t.co/T3DWuX5eUr

via @GoogleNews",wholesome reactions to getting the vaccine,0
https://t.co/GRfELfBe8c I need the vaccine right now,criticism of governments' response to vaccine,0
"“Today, the CDC pulled the data much later in the day...it essentially robs doses from Sunday’s report, presuming CDC goes back to its normal data pull... If it had pulled the data at the normal time, today’s reported doses would have been 2.98 million”
https://t.co/NlPD6uWayQ https://t.co/fQAkSFvVnq",family covid vaccine experience,0
"#WayOfHealingCoronaForLife
""..From khalifa of Allah over the worlds to Xi Jinping president of China""
Imam Nasser Mohammad Al-Yemeni
22 - 05 - 2020 
https://t.co/Opf1R27Lfx

#CovidVaccine
Pfizer vaccine
Moderna vaccine
covid vaccine
Biden vaccines 
Florida
Illinois
Trump",trump supporters saying biden is wrongfully taking credit for vaccine,0
"If you have a senior in your family or know a senior that could use assistance making a COVID-19 vaccine appointment, Lifespan is an incredible local resource. They can be reached at (585) 244-8400 or by visiting  https://t.co/AJRxOdAFs4.",state vaccine eligibility,0
"Praise the LORD!

Given science evidence that COVID-19 vaccine cause heart problems, athletes may face early death with highly experimental mRNA COVID vaccines because athletes function at very high heart demand.

Athletes have dropped dead after receiving COVID vaccines! @espn https://t.co/8Ihfj1tqz9",corelation between trauma and covid,0
"COVID Vaccine is available by appointment.

Call 239-461-6100 to schedule. Select option 4 and then option 2.",state vaccine eligibility,1
"@MarcusBeam1 @AskeladdenTX That is true for a friend of mine that had Covid and got the vaccine. Minor case, bad reaction to the first shot (worse than Covid for 2 days I think), not bad to the second.",wholesome reactions to getting the vaccine,0
@EvelDick Maybe people that would rather risk getting COVID than getting the vaccine and minimizing the chance all fall into the natural selection model. A sort of culling of the herd of people too stupid to take care of themselves.,inefficacy of vaccine,0
"I missed y'all!!! 1st night back  @comedycellarusa #ComedyFamily &amp; #Andy! Good 2 see people come out &amp; enjoy themselves.

Every1 in pics was vaccinated or covid tested neg

#truestory #wereback #missyou #accurate #boom #ComedyCellar #ComedyFamily #covidtested #vaccine #iseeyou https://t.co/jTgyNTmAMN",family covid vaccine experience,0
Hey here’s a secret @charliekirk11 - the cheapest and most effective thing you can take to prevent COVID is… the vaccine. Totally free and you don’t even need to go to a horse supply store to get it. https://t.co/bimUdgwRzu,covid related deaths,0
@Susan16520559 @RealAmVoice Good luck with the Covid in the unnecessary deaths  that are going around. If I were you I would not describe myself as pro-life because you are anything but. Patriots get the vaccine because they want to help their fellow countrymen.,wholesome reactions to getting the vaccine,0
@BethWListon @OSUWexMed Before Covid Ohio schools institutional ACES  20 +years premature death.ACES underlying conditions risk factors contracting &amp;not surviving Covid. Ohio Doctors said it was safe to send children back to school with no vaccine . During Covid ACES RELATED UNTIMELY PREMATURE DEATHS.,corelation between trauma and covid,0
What we know so far about Covid-19 immunity -- and what it means for vaccine boosters https://t.co/hDm5FmBfKt,family covid vaccine experience,0
@Bronxgirl86 @NancyLeeGrahn I know 2 people that have covid-19 and do not want the vaccine,covid related deaths,0
Just got notified that all HPH employees are REQUIRED to get the COVID vaccine &amp; I honestly just don’t know what to think,proof of vaccine,1
Help! I’m Traveling to Europe. All the Requirements Are a Dizzying Mess. https://t.co/vtEsRWSRE5,vaccine certification,1
@POTUS antibody cure for Covid-19 pandemic the vaccine from pfizer uthenizter will put y 2 u hired Michelle lujan Grissum who embezzlement of 250 billion spaceport to collapsed economy by the nm government agencies to,criticism of governments' response to vaccine,1
"@KenGardner11 “Still achieving 80 percent is a very good number,” said Mehul Suthar, a virologist at Emory University who studies the coronavirus. “These vaccines still hold up against a highly transmissible variant.”

https://t.co/AMW9UEiaIO",non-covid vaccine comparision,0
Remake Mrs. Doubtfire. But this time it’ll be a guy pretending to be an old woman to cut in line for a Covid vaccine.,family covid vaccine experience,0
"@MccoulfMichael @Tman19891 @SammiSueWinters Please include 1, as in ONE long term effects study of the Covid 19 vaccine.",family covid vaccine experience,0
Colorado expects to start vaccinating kids between 12 and 15 later this week https://t.co/tZKbeRU7bu via @denverpost #copolitics #coleg,wholesome reactions to getting the vaccine,0
"@GOPChairwoman The Great American Reunion
Families and friends are coming together after long separations as vaccinations rise; ‘My God, we’re back’ https://t.co/xHOQJTpNea #ThanksBiden #RepublicansHateDemocracy",wholesome reactions to getting the vaccine,1
Tonight at 7pm! VACCINE TOWN HALL. I have partnered with our Council Members @AdrienneEAdams @IDaneekMiller and the City on this town hall providing information on the COVID-19 vaccine for South Queens. #LetsBeatCOVID19Together https://t.co/rzNlf1yfMU,advertising for covid related jobs,0
@WhalerCane @NCStateBaseball Is that legal? Can an authority figure force someone to get vaccinated? Esp if doctors have told 20 year olds who already had covid to not take the vaccine?,wholesome reactions to getting the vaccine,0
@MhehedZherting @BBCBreaking Nothing rushed here. Read the study. Thalidomide is a drug not a vaccine. And this vaccine is 100% protective against death from Covid,covid related deaths,0
"""Texas Gov. Greg Abbott signs order banning COVID vaccine, mask mandates"" https://t.co/IWYSDaFAVt #news #feedly",vaccine certification,0
"@Jim_Jordan Whatever he says, you'll mock and criticize him, so why should he? Plus he isn't secretive, he got his Covid vaccine on camera, Trump concealed that he &amp; Melania got one",trump supporters saying biden is wrongfully taking credit for vaccine,0
U.S. to Share AstraZeneca Covid-19 Vaccine Doses With World https://t.co/clIT5Ao9Vo,wholesome reactions to getting the vaccine,0
1 covid vaccine and 1 moke please,wholesome reactions to getting the vaccine,0
Thanks for stopping by @nbcchicago @ChrisCoffeyNBC! Check our our vaccine availability here: https://t.co/entgn0Rgub https://t.co/sDhKpkd3iG,covid related deaths,0
@TheView It's amazing how nonvaccinated people who have covid NOW want the monoclonal antibodies therapy but they didn't want the covid vaccine.,wholesome reactions to getting the vaccine,0
@Jim_Jordan You’re so scared of brown people Gym.  https://t.co/8WlGcJy9rZ,covid related deaths,0
"Open SmartNews and read ""One dose of Pfizer vaccine may protect COVID-19 victims from reinfection: study"" here: https://t.co/hWzRoVo9sC 
To read it on the web, tap here: https://t.co/NeIkRoVToU",vaccine side effects/ Nicki Minaj,0
Most of these #titans players have families. Kids that are in school &amp; not of age to get the vaccine. It doesn’t mean they got it from Florida (it’s highly likely given the time frame of onset of symptoms (3-5 days)). School age kids that have covid is at an all time high in TN.,announcing vaccine eligibility,0
Awesome job today from @TV2Rachel on some important Portage County COVID-19 vaccine matters. https://t.co/YEvd6eEpIF,family covid vaccine experience,0
Got a buddy that got the vaccine Wednesday last week...he texted yesterday that he now has Covid. This common? He was actually coughing up blood which made him go test...Fine today but curious about those vaccinated that still get it.,family covid vaccine experience,1
"Wasn't it @connpost who falsely and maliciously reported ""Analysis: CT towns with lower COVID vaccine coverage voted for Trump""  Must be that #unity the left is always striving for!  Subscriptions and advertising CANCELED! Ty @GeorgeColli @erinstewartct for integrity 💯 https://t.co/4cUc0WRYli",criticism of governments' response to vaccine,0
So now the vaccine doesn’t help people with compromised immune systems? Covid will never end! #COVID19 #DeltaVariant,non-covid vaccine comparision,0
"@hornewill1 @_stan_____ @michael63657726 @JoyAnnReid I understand your argument!!! You don’t understand mine - even if you’ve had COVID, you can still get it and Spread It To Others… is my point!
This has become ‘The Pandemic of the Unvaccinated’ ! Including people that have had Covid, still need the vaccine! Do it For Others! 🙂",inefficacy of vaccine,0
100 more pharmacies start offering Covid vaccine https://t.co/sXorMMCAqf,family covid vaccine experience,0
"Well now, this should piss off Trump big time. Dr. Fauci reveals it was him that drove the rapid development of the COVID vaccine, and not Trump. Fauci: “May have been the best decision I ever made.” The sound you hear is Trump’s head exploding at Mar-a-Lago. https://t.co/kBfblcurvk",trump supporters saying biden is wrongfully taking credit for vaccine,0
"#COVIDVaccine, Part II https://t.co/CiUEEivt9L via @AMJohnston1315

- personal experience acct via person w/high risk conditions ❤️",corelation between trauma and covid,0
"@NMalliotakis @libbyemmons Oh my, you are messed up. Go ask a real Dr what it’s like to have another covid wave, this time totally preventable. Children are on ventilators for god’s sake. Get the vaccine, wear a mask. Grow up.",anti-vaccine conspiracy outcomes,1
"7.5 hours post-covid vaccine...

My elbow was itchy. I scratched it. No longer itchy.",criticism of governments' response to vaccine,0
Slick don't trust the covid vaccine.,anti-vaccine conspiracy outcomes,0
"Rpt March 27, 2021 lists 5,365 deaths &amp; 238,949 injuries following injections of COVID-19 shots:
•COVID-19 MRNA VACCINE MODERNA (CX-024414)
•COVID-19 MRNA VACCINE PFIZER-BIONTECH
•COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19)
•COVID-19 VACCINE JANSSEN (AD26.COV2.S) https://t.co/1ITFYjWkJn",family covid vaccine experience,0
"So I'm close to 48 hrs post 2nd COVID vaccine.

Ho boy.

Come 1130p Monday, full on body aches
Come 5a yesterday until 10p last night, major migraine 
Since 10p last night, no more migraine but pretty bad lower back pain",side effects of vaccine,1
If he got it (vaccine) and still got covid it’s the same result. Early in covid pga positive guys were playing a round on their own with score that counted and a guy lapping the field doesn’t get shit. https://t.co/G62g8IG6xk,wholesome reactions to getting the vaccine,0
"Get your COVID VACCINE.
JUST DO IT TEXAS. https://t.co/VxQqXww5Jf",criticism of governments' response to vaccine,0
Breaking: State of Georgia suspended Covid vaccine shipments to a Northeast Georgia health facility after it gave vaccines to teachers and school employees #gapol #CovidVaccine #schoolsreopening https://t.co/YJx7TLw2GJ,state vaccine eligibility,0
"@camashta4 @TMccarthyisms @MoreyBall76 @LesBowen Fun fact: 99.9984% of covid deaths are older than 40 (per CDC). So there's that. The vaccine has a 0.0016% chance to kill you (nearly 0). 

Get the vaccine, or don't get the vaccine.  It doesn't stop the spread.  If you already have an immune response, YOU DON'T NEED IT.",inefficacy of vaccine,0
"What's ridiculous is some of our Doctors and medical staff in Middle Missouri don't believe in science, COVID-19 or the vaccine!!  

Pretty scary stuff and I live among them!

Retrumplicans and brain dead through and through! https://t.co/NnXZOtnFCj",anti-vaccine conspiracy outcomes,0
Finally I gave in and got my first dose of covid vaccine 💉,family covid vaccine experience,0
"After 48 hours of taking the COVID VACCINE 💉, im thirsty and I drunk approximately 5 bottles of water.",family covid vaccine experience,0
"If just a few people had the decency to mask up and get the vaccine, this hero would likely still be alive. Instead, he died of a completely treatable condition because there weren't any ICU beds available. (h/t @AJPennyfarthing)
https://t.co/9GsORgDbwa",covid related deaths,1
South African COVID-19 strain can 'break through' vaccine: researchers https://t.co/NtoiSL9zXx,wholesome reactions to getting the vaccine,0
Covid vaccine clinics testing sites continue running despite freezing temperatures https://t.co/Ed6Y6xnpDw,wholesome reactions to getting the vaccine,0
"@tvcritics Oh, our covid pass does not have previous vaccine history on it at all. Just the covid vaccine. Digital version is just a QR code to the administration details. That's what I uploaded to airline on booking.",proof of vaccine,1
