theme,top_25_tweets,Annotation
VaxLessensSymptoms,"@evilfactman @Laurie_Garrett @jimcramer As far as I’m concerned, the vaccine doesn’t prevent getting covid it prevents you dying from it",1
GovGoodPolicies,"I am excited to share that our office was a part of a very successful Joint COVID Vaccination Clinic. We were able to issue vaccine doses to almost 100 people. All thanks to, @RepLouCorrea, @SenatorUmberg, @JoshNewmanCA, Asm. Tom Daly,  @AValenciaIII, OCEA, &amp; Albertsons #vaccine https://t.co/ejoVUMGqIz",1
VaxDoesntWork,"Is the vaccine working?

COVID-19 outbreaks and cases in nursing homes and senior care facilities are dropping - a very encouraging sign! Leaders in the industry say more than 80 percent of residents in Virginia have received the vaccine @13NewsNow

https://t.co/dtoRKNhuxR",0
VaxAppointmentInfo,"New COVID vaccine appointments available for 90038 at Walgreen Drug Store, 1050 N HIGHLAND AVE, LOS ANGELES, CA. Make your appointment at https://t.co/W3ki0Bekd0",1
VaxDistributionIssueDueToLocalPolicy,“County Administrator Dr. Scott Hopes said an internal examination of the COVID cases among the County's workforce over the past week impacted only people who were not vaccinated.” https://t.co/A9oBP16pI2 #covid19 #vaccine,0
VaxLessensSymptoms,@stacbr72 @redsteeze No the point of the vaccine is to reduce the symptoms and make it not as severe. A person that has the shots can still get and transmit COVID. It's just that the symptoms will be less severe if any. However they can still be a ghost spreader &amp; not know it https://t.co/R13T44PnFp,1
ReasonsForUSLaggingOnVaccines,@SKMorefield The original sin of this pandemic is the Republcan politicans and media personalities who politicized the COVID vaccine.,1
VaxDistributionIssueDueToLocalPolicy,An Update On Florida's COVID-19 Vaccine Rollout Progress https://t.co/j4WdOTBFS6,0
VaxDoesMoreHarmThanGood,@SerenaIsMyNamOh @GillianMcKeith I know that I have received every vaccine that is recommended. I know they have been working on this vaccine for 20 years and I trust the science. So you just want covid to last forever? What are you doing to help stop the spread?,0
UnjustifiedFearOfVax,"If you don’t know or haven’t had your vaccine yet...
‘I see the light!’ - @suzanneleitnerwise 
#virginiadepartmentofhealth #covid_19 #vaccine #532yoga @ 532Yoga https://t.co/mwDTmCD6o7",0
#IGotMyVaccine,Finally received my first COVID vaccine...,1
VaxDistributionIssueDueToLocalPolicy,"All American adults are now eligible to get a #COVID19Vaccine, including people 16+ in #Massachusetts #7News  📲https://t.co/J225WVqvZD",0
GovGoodPolicies,Get your COVID-19 vaccine today at the Texas Union from noon-3:00 PM! #ProtectTexasTogether https://t.co/v9NI94wP6z,0
ReasonsForUSLaggingOnVaccines,"PLS listen to this former Pfizer employee explain the technology in the covid jabs. This is a planned genocide. My heart hurts so bad tonight. Spread this like wildfire and put on the full of armor of God to start fighting like hell for America. 🤬

https://t.co/TWa2syowEZ",0
ReasonsForUSLaggingOnVaccines,"Good to see. Focus groups have shown these types of personal/community stories are persuasive for vaccine-hesitant conservatives, whereas more impersonal remarks by politicians don’t. I hope this resonates here in CD5 especially. https://t.co/3Sl1q3Ww0J",0
GovGoodPolicies,💉 Ready and eager to get my Covid vaccine today. But will continue to wear a mask and social distance until this crisis is over. 💖 https://t.co/3nMhgqc6DC,0
ReasonsForUSLaggingOnVaccines,"Article Maybe Vaccine Gods Plan Pete Buttigieg Urges Evangelicals Covid Vaccine ☝ 😐 
 https://t.co/wBVZgS1M0K",0
GovGoodPolicies,"💉 🩸 2nd #covid #vaccine is done diddy done! ✅ In 2 weeks I’ll be ready to paaaaarrrrtttaaaayyyy! 😆 🎉🍸 Not really 😴 💤 @ Mount Kisco, New York https://t.co/fbUwYqprFR",0
VaxDoesntWork,"It is most likely coincident, that some died, or got some weird illness from the vaccine or Covid.  No one else died from Covid or the Vaccine there have been millions of cases and people survived just fine.  Do as you please.  The same logic should work.",0
VaxDoesntWork,"@TrezLopez @CjLaplace @dothedew89 @KwameBurnerAcct @BleacherReport @CourtneyRCronin Your chances of DYING from COVID are slim to none if you get vaccinated! W/O the vaccine, you’re rolling the dice! AND it’s NOT about HIM, it’s about those around him!",0
ReasonsForUSLaggingOnVaccines,"Even MIT grads can be dumb.

Did he research the vaccines the military already gets...smallpox!?!? You're not so concerned about that live vaccine, you dullard, so this isn't about safety it's about some political statement.

COVID is still a danger to America, vaccination works. https://t.co/BnLbSg2Foh",0
VaxLessensSymptoms,@blazebabe42069 The vaccine doesn't prevent you from contracting COVID. It reduces the amount of time it takes for your body to cure it. If people didn't keep spreading it we wouldn't have to test the race between body healing and virus multiplying.,1
VaxAppointmentInfo,"New COVID vaccine appointments available for 43082 at Walgreen Drug Store, 748 N STATE ST, WESTERVILLE, OH. Make your appointment at https://t.co/W3ki0Bekd0",1
VaxDoesntWork,"It’s pretty wild we live in a time when tens of thousands of people would literally* rather die of Covid than get a vaccine that would literally* save them from dying of Covid

*Literally used properly, not hyperbolically",0
PostVaxSymptoms,"@FreeHunterB I just took the first one on Tuesday the Pfizer. That shit fuck me up bro! I had the chills, aches all over my body, fever &amp; shortness of breath. Fuck Covid and fuck the stupid vaccine!! I haven’t been sick in well over a year and a half till I got that damn shot",1
VaxSymptoms,"i get my second covid vaccine this week and i almost don’t even care that i’m gonna feel like shit, because at least im gonna get 2 days off in a row",1
VaxDistributionIssueDueToLocalPolicy,THIS‼️ #Mississippi #covid #vaccine https://t.co/8YWvJ0p936,0
VaxSymptoms,omg this covid vaccine ain’t no joke 😭😭😭,1
VaxDoesntWork,Did I just hear an immunologist just say on Fox News that we don't need the vaccine because our bodies will produce the cells to fight off the covid virus? Tell that to the 600k+ people that have already died from this thing.,0
VaxDoesntWork,"@conor64 has a free vaccine!  Then, when hospitalized, they don’t bat an eye when treatments for COVID (that have been studied much less time than the vaccine) are pumped into their body. Strange folks…",1
UnjustifiedFearOfVax,"Myths about the COVID-19 vaccine cause skepticism and hesitancy that keep us from getting where we need to be. We're ending that by bringing you the truth, starting with the timeline of messenger technology. When they ask, tell 'em StarMed told ya. #vaccinefacts https://t.co/uUjtmtmS9i",1
VaxDistributionIssueDueToLocalPolicy,"Hearing from our employees with family in India that even after both doses of vaccine, they’re getting Covid including family members passing away. Please be careful. Variants everywhere. We can beat this by staying vigilant until the end. #HaveFaith #BalancedAgainstReality",0
ReasonsForUSLaggingOnVaccines,"In debate, Kamala Harris says she won%27t take a COVID vaccine just on Trump%27s say-so https://t.co/MXl5sh8zqS",0
VaxDoesMoreHarmThanGood,@CheesesteakNick @Hockeyjunkie88 @JoshInnesShow The vaccine doesn't stop the spread of covid. Please educate yourself.,0
GovBadPolicies,Biden to announce sweeping vaccine mandates affecting millions of workers https://t.co/Wl5ySNlmHM via @nbcnews #VaccineMandate,1
VaxDoesntWork,"Spouting old, tired rump bullshit shows exactly why we're facing another wave, mutations, etc. 3 million people worldwide have died of Covid &amp; you won't take a vaccine shot? Then don't expect my sympathy if you get it. There won't be any.",0
PostVaxSymptoms,Got my other COVID vaccine shot just now waiting to go back at work,0
ReasonsForUSLaggingOnVaccines,"What a dangerous bill! COVID has been bad enough but what if something worse arises, impacting all? Argue no mandate on this vaccine. Don't tie our hands if, God forbid, a worse pandemic comes in the future. @mainegop @MaineDems #vaccines #misinformation #covid @MEPublicHealth https://t.co/AWWsA0X5dK",0
VaxSymptoms,I just canceled my covid vaccine cause I was gonna have to wake up an hour early 🥴,0
GovBadPolicies,@davepople @JoeRhile @chiproytx Covid 19 is a derivative of Sars from 2003. You don't think they have been studying this since and came up with a vaccine. The stupidity is beyond belief.,0
ReasonsForUSLaggingOnVaccines,@John_Tedesco I was reading your column ‘ A fight with falsehoods’. My 1st thought was those 3 officials who oversee Montgomery Cty Hospital District should be infected with COVID-19. Being anti-mask and anti-vaccine are ‘health terrorists’. No Mercy.,0
VaxSymptoms,Damn covid vaccine whooped my ass today! 😑,1
FDAapproval,FDA approves Johnson &amp; Johnson’s single-shot Covid vaccine for emergency use https://t.co/feip4zfadm,1
VaxDistributionIssueDueToLocalPolicy,"Offer the covid vaccine to teachers, cafeteria, and custodial workers now! They should all be classified as essential workers. This is crazy. https://t.co/ei3FGpTDlN",1
VaxDoesMoreHarmThanGood,"@cpamba33 @votebyalgorithm @VonWolf9 @JackPosobiec Either way, I'm much more sympathetic to people who already had COVID not wanting the vaccine. Fine, i get it. BUT-

A. It doesn't justify you encouraging others away from the vaccine.

B. You getting COVID again is still more dangerous than you getting the vaccine. No downside.",0
PostVaxSymptoms,"Just an update for anyone interested. After my second covid vaccine yesterday my only symptom is a sore arm. At least so far. Moderna. Still feeling grateful, relieved and lucky.",1
VaxDoesntWork,@GridleyHarris @doodlemau @LilyannaSomes @GovRonDeSantis 1500 out of 160 million. And those people died of Covid. Not the vaccine.,0
GovGoodPolicies,I Got My Covid-19 Vaccine. You should too. - PSA https://t.co/VCgBTtMg76 via @YouTube @DVHSYISD @Acuna008 @DV_Fire_Tech https://t.co/c8VuGxDNPv,0
GovGoodPolicies,"Happy to have connected with @eleanormhilde of @TheDailyIowan to discuss my #covid #booster shot 💉 #vaccine trial experience

https://t.co/t66mJXZzeR",0
VaxApprovalInfo,"""FDA says Johnson &amp; Johnson’s single-shot COVID-19 vaccine is safe and effective""  https://t.co/gwRWJYzzFF",1
VaxDoesMoreHarmThanGood,"@DetectiveFalco @hexian129 @TheWokePost @KyleKashuv @BrandonBenson81 Or, or we could look at the evidence that people that had covid have higher antibodies than vaccinated and don’t need said vaccine. 🤷🏼‍♂️",0
VaxDoesntWork,"@maddoxrules Good. You're a health professional working in a hospital setting with the most vulnerable children, who aren't eligible for the vaccine yet. 99% of new COVID-19 cases are unvaccinated folks. Seems like a fucking no-brainer to me.",0
PostVaxSymptoms,getting my covid vaccine tomorrow. kinda nervous kinda excited,0
VaxApprovalInfo,"Pfizer says its COVID-19 vaccine is safe, effective in children ages 12 and up https://t.co/9mcz6PVDcn",1
VaxAvailabilityInfo,"New COVID vaccine appointments available for 00729 at Walgreen Drug Store, 17000 CARR 3, CANOVANAS, PR. Make your appointment at https://t.co/W3ki0Bekd0",1
ReasonsForUSLaggingOnVaccines,"@bidensucksballs Wow, 6-week-old trollbot account, you’ve discovered the breakthrough COVID cases that the CDC has been highlighting in press conferences. No one said the vaccine was 100.0% effective; we always knew some would get sick, but illness and death rates are 1% compared to unvaccinated. https://t.co/k5XEWDS0Kd",0
VaxDistributionIssueDueToLocalPolicy,"I’m joining my family, friends, co-workers, and our community in getting the COVID-19 vaccine. Thanks to the many healthcare workers out there who are rolling out and implementing an incredible effort. 

#itsuptoyou #covidvacccine #heathycommunities https://t.co/2GGq6jCzO2",0
FDAapproval,There it is! A whole vaccine approved by the FDA to combat Covid! #Pfizer https://t.co/lcEZsAgO4K,1
IGotTheVax,Got my 1st dose of the covid vaccine https://t.co/VIYkZKPnY9,1
IGotTheVax,I got my 2nd dose of the Covid vaccine today! 🙌🏼,1
VaxDistributionIssueDueToLocalPolicy,"What Childhood Vaccine Rates Can And Cant Teach Us About Covid Vaccines ☝ 😐 
 https://t.co/zBibInSFcr",0
VaxApprovalInfo,FDA gives full approval to Pfizer COVID-19 vaccine https://t.co/spROFNX81o via @nonpareilonlinefinal,1
VaxDoesMoreHarmThanGood,Hello. We are tired of masks and the persistent virus but please be patient with the scientists. COVID is new for everyone so no one truly knows what to expect and there is probably bad statistics to work from since many states would not cooperate. Get the vaccine and vote,0
VaxDistributionIssueDueToLocalPolicy,Sign up or pop in to get a COVID-19 vaccine - public health matters. https://t.co/OJ6offgdM7,0
VaxDistributionIssueDueToLocalPolicy,Booster shots 💉 may be coming to more Americans. Today vaccine advisors with the CDC are meeting. More on #7News ▶️ https://t.co/yupry93fvX https://t.co/zoZXdooarg,0
ReasonsForUSLaggingOnVaccines,"#DrPeterMcCullough: COVID Vaccine Has Likely Killed 45,000 and Injured Half a Million https://t.co/hJ9cGcYCnn
Please Share!!",0
ReasonsForUSLaggingOnVaccines,"@tedcruz Why are vaccine mandates even a discussion or require demonstrations?

Why is this not immediately squashing vaccine mandates of ANY kind? By ANYONE?

https://t.co/9UWGbtyb6Z",1
ReasonsForUSLaggingOnVaccines,Merck Stops COVID Vaccine: “Studies Showed People Better Off Catching Virus And Recovering!” https://t.co/aMRv0wY6Ry,0
VaxAvailabilityInfo,"New COVID vaccine appointments available for 33309 at CVS Pharmacy in TAMARAC, FL, 3915 W COMMERCIAL BLVD, TAMARAC, FL. Make your appointment at https://t.co/F1YpdBPsLE",1
GovGoodPolicies,Thank you @UF for the first dose of the Pfizer vaccine for COVID-19. I feel very fortunate to be employed by this university. It was really cool to be a part of this massive vaccination push in The Swamp. #Pfizer #GetVaccinated if you can! https://t.co/0Mel7uJyqg,0
VaxDistributionIssueDueToLocalPolicy,.@CBPLosAngeles encourages everyone to get the #COVID-19 #Vaccine! https://t.co/vkeu2oUYm0,0
VaxAppointmentInfo,"New COVID vaccine appointments available for 00683 at Walgreen Drug Store, 10 AVE FENWAL, SAN GERMAN, PR. Make your appointment at https://t.co/W3ki0Bekd0",1
VaxDistributionIssueDueToLocalPolicy,"🚨HALLELUJAH &gt;&gt; After system breakdowns, DC has a NEW way of making #COVID vaccine appointments: 

“Under new system, individuals will be able to provide their information to DC Health through a pre-registration website or by calling the District’s call center”
#breaking @WUSA9 https://t.co/nDu9PeelZY",0
VaxDoesntWork,@FolkWhoAwoke @FitzProv @GovDanMcKee @RIHEALTH None of the safety concerns and side effects from the vaccine outweigh the risk of COVID. Thousands die from penicillin too,0
VaxLessensSymptoms,@Eusebbio @novapbs @nytimes I don’t think the vaccine makes you immune from catching Covid but if you do being fully vaccinated you are way less likely to die and it would be like a mild common cold.,1
ReasonsForUSLaggingOnVaccines,"I hate this man with the fire of a thousand suns. Rupert Murdoch got his Covid shot back in DECEMBER, yet here he is spouting bullshit. I hope he gets sued. People believe this nonsense. I had to bully my 65+ diabetic parents into a vaccine. https://t.co/is73bmw2wu",0
VaxLessensSymptoms,@lorettaslaught1 @JonGordon11 Covid has a 99% survival rate unless you're over 70 and you can still transmit covid even after vaxxed so the vaccine does nothing to help anyone but you (if it even offers much protection to you) but you do you.,0
ReasonsForUSLaggingOnVaccines,@BreitbartNews Too@many Covid-19 vaccine boosters,0
#IGotMyVaccine,Just got my first dose of the Pfizer COVID-19 vaccine! 💉,1
VaxSymptoms,Currently waiting to get my COVID vaccine,0
VaxSymptoms,This covid vaccine is killing me rn,1
ReasonsForUSLaggingOnVaccines,@RigdonJared This is why we keep having different variants of Covid and this is why the vaccine won’t be affective in the youth of America.,0
ReasonsForUSLaggingOnVaccines,A tiny fraction of vaccinated people get sick and die from Covid. Who's at risk? https://t.co/ASJSNHKEiC via @nbcnews,0
GovGoodPolicies,Boy child and myself got shot #1 today! Bangor was worth the drive!! #vaccine #covid_19 #pfizer @ Cross Insurance Center https://t.co/r9ZKIqlouH,0
PostVaxSymptoms,Dawg that second round of the COVID vaccine kicking my ass 😭,1
ReasonsForUSLaggingOnVaccines,"@ynhhealth vaccine clinic with Gov. Lamont, Marna Borgstrom, Anne Diamond, Pastor Moales addressing CT media about the importance and safety of the covid vaccine. https://t.co/fGNlkzsSsn",0
GovGoodPolicies,@GavinNewsom Thank you 🙏🏻 I got my second COVID-19 Pfizer vaccine 💉 dose this past Saturday at the Moscone Center. #Grateful,1
VaxDistributionIssueDueToLocalPolicy,"President Joe Biden's plan includes creating federally funded mass COVID-19 vaccination sites, releasing a majority of the doses and expanding vaccine eligibility.

https://t.co/kefW1CvDvU",0
UnjustifiedFearOfVax,"Done and dusted I encourage everybody to get the COVID-19 vaccine. We can beat this pandemic together ❤
#Covid_19 #COVID19 #COVID #WEMOVE 👊🏾✊🏾 https://t.co/M44Wa4HScb",0
VaxDoesMoreHarmThanGood,Get your vaccine! Do your part to try and stop the spread of COVID-19. https://t.co/ejCYlYatbj,0
GovBadPolicies,"Get vaxxed. Do the right thing: ""Covid will still take lives, but it’s simply not a major threat to people with immunity, whether natural or from a vaccine. Despite the new alarms from the CDC, Biden it’s now time to move on — and let the good times roll.""
https://t.co/XdCGl2q2fX",0
VaxDistributionIssueDueToLocalPolicy,"Register NOW @curogram @Gccexperience COVID VACCINE @pfizer  💉 May 8, 15, 22

https://t.co/IjYG6pPY3F",0
PostVaxSymptoms,that covid vaccine has me on my ass 🤒🤒,1
VaxDistributionIssueDueToLocalPolicy,@GovParsonMO  Missouri's COVID vaccine allocation is a f'ing mess.  Tiny rural towns have more vaccines than they need and at Louis county has virtually no vaccine.,1
VaxDoesntWork,"@guns_latin Well actually it is 10x more deadly without a vaccine.
Flu deaths account for 50k deaths a year.
We will have 500k Covid deaths in one year.",0
VaxDoesntWork,"“. . . . the country is awash in vaccines that could protect them, and . . . data about those vaccines’ safety in children exists, yet bureaucratic caution could force us to spend the next few months taking our chances with Covid instead.”
https://t.co/32Vo0fRMUY",0
VaxSymptoms,"Got my second covid vaccine today. I’m happy, more than I’m not going to give anyone the rona than actually catching it myself. I’m looking forward to opening up my pod a little bit in a few weeks.",0
FDAapproval,"BREAKING: @US_FDA and @CDCgov recommending pausing the use of the Johnson &amp; Johnson covid vaccine. 

THREAD⬇️@wpri12 https://t.co/3MRZEE6hvH",1
ReasonsForUSLaggingOnVaccines,"@Caties_Pages https://t.co/XFBrYi5qEa

It's hard to argue the factual numbers as well as the Southern demographics (NC State) which are ignorant to COVID-19 and the vaccine. I am a Southerner which I love except when there are hard headed folks that have a ""Don't Tread On Me"" stance. https://t.co/boBzSTBsTv",1
GovGoodPolicies,@lanechanged Covid-19 Vaccine,0
FDAapproval,"😏FDA permits use of the Pfizer-BioNTech Covid vaccine in kids ages 12 to 15

https://t.co/3USurJMxqK",1
PostVaxSymptoms,this second dose of the covid vaccine is ✨kicking my ass✨,1
IGotTheVax,got my second dose of the covid vaccine today 🙏🏻,1
VaxDoesntWork,"@JordanChariton How many people have scammed the system and paid for vaccine cards? What percentage of these ""vaccinated"" folk have died? Need an investigation into covid deaths of the supposedly vaxxed. These fakers are purposely skewing the data to diminish the effectiveness. No?",0
#IGotMyVaccine,got my first dose of the covid vaccine today 😎,1
VaxSymptoms,This COVID vaccine is fucking me up more than when I actually had COVID back in January 😭🤒,1
GovGoodPolicies,"Free COVID-19 vaccine event info #unitedway #community #givingback #give
#liveunited #instagood #instafollow #live #love #life #instalike #education #winstonsalem #invest #instagram #igers https://t.co/AusFzYcGIh https://t.co/VsQidYbOyV",0
VaxDoesMoreHarmThanGood,Can’t believe people are still out here getting covid when there’s a free vaccine available,0
GovGoodPolicies,"Today at 4pm, @bbmsatx talk about all things COVID from vaccine hesitancy to vaccine safety in the Black and Brown community.

Excited to co-moderate this discussion with @blurbsmithblots. Special thanks to Dr. Rudy Hilliard and Dr. @tommyeaustinphd #GetVaccinatedSA https://t.co/U3UODp2mqv",0
ReasonsForUSLaggingOnVaccines,"@lavern_spicer Because it's a planned event nothing about the virus all about the vaccine

https://t.co/jZhqNmFZzW",0
GovGoodPolicies,"THANK YOU @sdut @JonathanWosen for increasing awareness of resource for #COVID #SanDiego #VaccineHunters.  READ: 
https://t.co/y2fiOYBNPX
JOIN: https://t.co/DArpN7Osaa
@SANDSWA2 @abbyhamblin @LAWinkley @kristy_tea @mcdiana @CovaxSd @CovidVaccineSD @big4bioSD
(Photo @LJBeachClub)",0
VaxAvailabilityInfo,"New COVID vaccine appointments available for 55746. Go to Thrifty White Pharmacy, 3517 E. Beltline, Hibbing, MN https://t.co/Z3402YB91r",1
PostVaxSymptoms,I have a horrible headache.  I swear if I came this far only to get COVID right after my first vaccine dose I am gonna be pissed.,1
VaxAppointmentInfo,"New COVID vaccine appointments available for 89113 at Walgreen Drug Store, 8595 W WARM SPRINGS RD, LAS VEGAS, NV. Make your appointment at https://t.co/W3ki0Bekd0",1
VaxDistributionIssueDueToLocalPolicy,"Saving the country, one covid vaccine at a time. https://t.co/ZTXNnaAcg4",0
GovBadPolicies,@MarinaMedvin Many of the illegals have Covid but they mostly aren’t tested since the #DemoCommunists don’t want the answer nor the illegals immediately given the vaccine when invading.  It’s complete #Treason by Biden admin to have open borders during a pandemic. Should close the border ! https://t.co/YMVJEFyjXh,1
VaxSymptoms,Got my 2nd Covid vaccine today. It’s really hitting me hard. I’m dead. At least I’m home.,1
PostVaxSymptoms,"I just got my second COVID vaccine tonight, after this crazy year with so much changing, I’m happy there is finally a light at the end of the tunnel. Now I’m going to watch a movie and wait for this vaccine to start working. https://t.co/alVehI220y",0
VaxApprovalInfo,"Covid-19 live updates: Moderna says its vaccine triggers immune response in teenagers, will seek FDA approval
By Katerina Ang, Erin Cunningham and Derek Hawkins

https://t.co/sj9ixkfELM",1
#IGotMyVaccine,Getting my first dose of the Covid Vaccine today. https://t.co/RQ2yEEmIXF,1
VaxDistributionIssueDueToLocalPolicy,Second Covid vaccine complete. Thank you so much to @AustinISD for helping secure vaccines for employees under 1-B. I can’t wait until all teachers are vaccinated 💙 https://t.co/lKNgle72AR,0
VaxDoesMoreHarmThanGood,"Don’t get a free and highly effective vaccine to prevent getting Covid. 

Instead, get Covid to prevent getting  Covid. https://t.co/m98yMeNF08",0
GovGoodPolicies,"Coronavirus update: Latest Covid-19 vaccine and world news

https://t.co/7RuPEoFsL3",0
#IGotMyVaccine,Happy to announce that I got my first covid vaccine dose today!! 😄💉 https://t.co/L3OMq0F2oe,1
VaxSymptoms,Just set up my appointment for my covid vaccine. I am nervous and excited all at once 🤙🏼,0
PostVaxSymptoms,I feel like crap right now but I got my first dose of the covid vaccine today yay https://t.co/kwxa8TIuNM,1
ReasonsForUSLaggingOnVaccines,"I am not sure if those against the COVID vaccine can understand how big it is that we moved from being the worst country dealing with COVID for a whole year to the country that manages to vaccinate best IS
#ThankYouJoeBiden",0
PostVaxSymptoms,My job is basically begging us healthcare workers to get this vaccine 💉 Idk 🤔 I already had covid,0
PostVaxSymptoms,"My biggest side effects from the covid vaccine has been my arm hurting and tiredness. I mean, I’d rather have this to deal with for a couple days than covid",1
VaxAvailabilityInfo,"New COVID vaccine appointments available for 56763. Go to Thrifty White Pharmacy, PO Box 450 310 Lake Street NE, Warroad, MN https://t.co/Z3402YB91r",1
ReasonsForUSLaggingOnVaccines,@daddyhope @Jamwanda2 People who oppose the Covid vaccine in the United States are saying the same lies that @ZANUPF_Official says against it.,0
VaxDoesMoreHarmThanGood,"If you weren’t scared of COVID and screamed about “libs living in fear of COVID” for a year while 600,000 people die, you DEFINITELY shouldn’t fear the vaccine, even the J&amp;J one https://t.co/DbuH8pl0Wv",0
